data,fechamento,abertura,maxima,minima,volume
2022-03-14,77.7,76.68,79.0,74.44,35039
2022-03-21,80.11,77.01,81.36,76.67,67923
2022-03-28,80.88,81.33,84.94,78.88,32897
2022-04-04,80.34,81.22,81.8,78.02,42327
2022-04-11,83.57,81.12,85.94,80.46,27932
2022-04-18,80.9,83.98,84.48,79.02,80677
2022-04-25,80.2,81.0,82.97,79.53,73296
2022-05-02,78.78,79.94,81.0,77.38,68780
2022-05-09,78.93,78.79,79.47,77.45,15782
2022-05-16,78.99,79.1,79.79,78.4,17291
2022-05-23,79.98,78.98,80.0,78.45,30768
2022-05-30,78.62,79.97,80.47,78.5,19107
2022-06-06,77.25,78.81,78.95,77.0,36723
2022-06-13,76.87,77.23,77.59,75.03,16435
2022-06-20,76.27,77.44,77.6,76.0,18073
2022-06-27,75.28,76.27,76.57,74.58,51522
2022-07-04,74.37,75.39,75.97,73.52,41413
2022-07-11,75.0,74.35,75.09,72.99,26349
2022-07-18,73.57,74.98,75.0,73.09,27635
2022-07-25,74.5,73.56,74.61,73.13,15636
2022-08-01,72.7,74.62,74.82,71.78,41627
2022-08-08,75.8,72.71,76.09,72.01,26915
2022-08-15,79.82,76.5,79.82,75.56,25266
2022-08-22,80.14,79.82,80.9,78.85,39333
2022-08-29,79.77,80.13,82.0,78.05,31564
2022-09-05,79.81,79.75,80.06,77.96,47289
2022-09-12,79.4,79.75,79.75,76.11,45965
2022-09-19,79.97,79.4,81.3,77.95,39138
2022-09-26,79.07,80.0,81.0,78.84,38693
2022-10-03,79.55,79.63,80.75,78.34,34635
2022-10-10,79.3,79.87,80.69,79.11,20809
2022-10-17,79.21,79.29,80.0,79.0,29093
2022-10-24,76.0,79.22,79.92,74.02,42052
2022-10-31,74.98,75.41,76.68,73.29,33109
2022-11-07,73.15,75.0,76.37,73.15,60452
2022-11-14,72.0,73.2,75.46,71.1,18166
2022-11-21,71.65,72.99,72.99,70.24,18050
2022-11-28,70.0,71.65,72.99,69.36,33349
2022-12-05,69.95,70.0,70.49,68.8,26916
2022-12-12,68.41,69.94,69.99,68.03,15741
2022-12-19,67.99,68.41,68.95,67.51,30157
2022-12-26,69.45,68.94,69.45,67.2,38090
2023-01-02,66.7,68.02,68.12,66.0,38154
2023-01-09,67.88,66.95,68.0,66.35,18113
2023-01-16,66.9,68.09,68.09,66.7,26532
2023-01-23,66.69,66.9,67.0,66.35,26168
2023-01-30,65.68,66.69,67.83,65.37,25242
2023-02-06,63.34,65.72,65.97,62.74,27357
2023-02-13,62.09,63.34,63.8,61.51,28262
2023-02-20,62.38,62.09,64.0,62.03,16407
2023-02-27,61.66,62.3,63.66,60.55,32372
2023-03-06,63.05,61.67,64.62,61.6,26062
2023-03-13,61.1,63.06,64.35,60.07,46251
2023-03-20,60.69,61.1,62.15,60.39,32598
2023-03-27,61.0,60.69,61.47,59.5,27244
2023-04-03,59.61,60.12,60.65,59.31,21053
2023-04-10,60.31,59.62,60.92,59.01,29788
2023-04-17,59.8,60.3,60.5,59.25,26647
2023-04-24,60.22,59.81,60.5,59.8,44945
2023-05-01,60.39,60.22,60.8,59.4,25042
2023-05-08,59.68,60.39,60.46,58.53,57156
2023-05-15,62.23,59.97,62.96,59.71,54784
2023-05-22,64.89,62.3,67.0,62.09,50963
2023-05-29,64.15,64.9,65.86,63.5,25517
2023-06-05,65.28,64.5,65.94,62.61,40783
2023-06-12,66.82,65.75,69.51,65.2,44831
2023-06-19,69.57,67.64,69.77,66.9,29273
2023-06-26,70.85,69.57,71.49,68.98,35725
2023-07-03,71.98,69.99,73.62,69.39,29043
2023-07-10,71.09,71.97,71.97,70.01,33952
2023-07-17,70.06,71.16,71.7,69.69,42657
2023-07-24,70.9,70.89,71.1,68.52,41678
2023-07-31,68.94,71.05,71.75,68.05,50090
2023-08-07,71.35,69.04,71.55,68.94,78821
2023-08-14,72.36,71.42,73.48,71.0,52984
2023-08-21,70.24,72.9,72.9,69.92,40793
2023-08-28,65.83,70.23,70.24,65.46,80536
2023-09-04,67.2,66.39,67.28,65.78,23922
2023-09-11,68.2,67.37,69.4,67.2,31343
2023-09-18,68.4,68.2,70.05,67.6,47596
2023-09-25,65.69,68.41,68.82,63.25,91676
2023-10-02,62.78,65.39,65.39,61.85,65599
2023-10-09,62.4,62.85,63.61,62.0,49295
2023-10-16,62.01,62.51,62.99,62.0,34724
2023-10-23,59.95,62.0,62.64,59.32,44779
