data,vp_cota,patrimonio_liquido,n_cotas,fonte_doc_id
2020-09,96.566364,465931451.73,4824987,121462
2020-12,100.153316,483238446.51,4824987,140652
2021-03,100.227580,483596768.76,4824987,165467
2021-06,100.220626,483563218.73,4824987,195291
2021-09,100.533040,485070676.94,4824987,223137
2021-12,101.788254,491127002.75,4824987,257776
2022-03,101.220198,488386140.04,4824987,291285
2022-06,101.213895,488355728.68,4824987,326172
2022-09,101.413423,489318445.52,4824987,364099
2022-11,102.556896,494835689.55,4824987,397773
2023-03,94.245531,454733464.25,4824987,447212
2023-06,94.605292,456469305.49,4824987,489807
2023-09,94.895150,457867865.93,4824987,534761
2023-12,83.153848,401216234.32,4824987,584038
2024-02,83.994558,405272651.50,4824987,637068
2024-06,84.436118,407403169.34,4824987,698045
2024-08,84.580853,408101518.31,4824987,750824
2024-12,74.567068,359785135.48,4824987,821177
2025-03,77.745502,375121034.47,4824987,881369
2025-06,77.565160,374250889.38,4824987,946842
2025-09,79.079959,381559773.98,4824987,1013857
2025-12,76.573358,369465454.72,4824987,1085555
2026-03,75.907459,366252503.18,4824987,1161039
