data,fechamento,abertura,maxima,minima,volume
2021-02-08,108.96,101.0,109.0,101.0,57689
2021-02-15,107.9,108.96,108.97,107.0,6822
2021-02-22,108.97,108.0,108.97,106.0,23606
2021-03-01,109.99,108.97,109.99,107.0,39564
2021-03-08,109.98,109.26,110.0,106.0,71406
2021-03-15,106.5,109.97,109.99,101.33,64114
2021-03-22,106.99,102.64,108.95,102.64,96798
2021-03-29,105.0,107.5,107.5,104.03,59927
2021-04-05,104.99,106.99,107.49,103.58,48724
2021-04-12,104.98,109.86,109.86,104.35,24211
2021-04-19,104.03,105.1,105.1,103.0,15665
2021-04-26,104.98,104.99,105.0,99.43,25192
2021-05-03,104.06,104.98,104.98,102.9,14297
2021-05-10,103.81,103.31,105.0,100.0,35563
2021-05-17,102.47,103.92,103.92,99.8,44685
2021-05-24,101.05,102.64,103.3,100.51,39567
2021-05-31,102.0,102.33,103.0,100.1,119417
2021-06-07,101.85,102.0,104.5,100.0,53231
2021-06-14,101.2,101.99,102.99,100.9,51670
2021-06-21,100.0,101.32,102.64,98.5,39508
2021-06-28,99.79,100.26,100.26,97.24,25895
2021-07-05,99.25,99.81,102.51,98.0,33424
2021-07-12,100.0,101.99,104.89,98.01,62872
2021-07-19,102.84,100.0,102.89,98.31,34942
2021-07-26,102.43,102.0,103.38,99.06,41404
2021-08-02,100.0,102.45,103.19,100.0,34321
2021-08-09,99.56,100.23,101.2,97.52,43428
2021-08-16,98.87,99.56,99.8,94.66,46002
2021-08-23,98.25,97.99,99.8,96.2,42519
2021-08-30,97.29,98.35,99.0,96.58,37117
2021-09-06,99.4,97.5,99.79,96.02,43063
2021-09-13,98.48,99.33,100.33,97.09,45395
2021-09-20,96.91,98.58,99.5,94.66,62997
2021-09-27,97.75,96.23,99.19,95.61,34909
2021-10-04,95.72,97.75,98.97,95.56,47439
2021-10-11,96.76,96.2,97.99,94.0,27285
2021-10-18,95.67,96.76,98.45,94.79,44780
2021-10-25,96.64,95.47,97.93,94.09,23388
2021-11-01,93.9,96.0,97.9,93.13,23004
2021-11-08,89.55,94.59,95.1,89.46,46258
2021-11-15,90.14,90.62,91.45,87.22,29916
2021-11-22,87.98,88.65,90.47,85.05,45750
2021-11-29,90.17,87.58,95.15,87.56,36013
2021-12-06,92.66,90.24,95.49,90.23,37060
2021-12-13,90.3,93.8,95.0,90.02,46142
2021-12-20,91.1,91.0,92.99,89.2,38038
2021-12-27,93.6,91.34,93.65,90.64,21380
2022-01-03,93.47,93.65,93.82,91.68,35135
2022-01-10,94.59,93.0,94.59,92.5,24483
2022-01-17,94.3,94.7,97.11,92.5,53196
2022-01-24,92.88,94.3,95.39,91.0,48099
2022-01-31,96.18,93.85,97.11,90.02,46446
2022-02-07,91.9,96.18,96.38,90.42,40429
2022-02-14,93.02,91.91,95.0,91.06,37864
2022-02-21,91.56,93.01,94.29,90.54,54877
2022-02-28,90.71,91.56,93.4,89.9,20740
2022-03-07,83.84,91.26,91.91,82.35,69596
2022-03-14,78.97,84.0,84.49,77.08,63212
2022-03-21,83.91,79.1,84.34,77.57,71042
2022-03-28,82.45,83.49,85.35,81.08,61173
2022-04-04,84.25,82.45,88.43,82.44,48894
2022-04-11,81.83,84.35,85.25,81.0,47509
2022-04-18,85.5,82.23,85.85,80.5,30152
2022-04-25,86.94,85.6,87.0,84.0,39523
2022-05-02,85.0,85.97,86.89,83.23,28040
2022-05-09,79.16,84.2,84.2,78.41,51459
2022-05-16,80.5,79.7,80.6,78.7,49896
2022-05-23,83.27,80.07,84.6,79.11,38398
2022-05-30,83.85,81.91,84.78,81.08,36431
2022-06-06,79.74,83.91,83.95,78.23,38652
2022-06-13,76.9,79.8,80.1,76.53,31434
2022-06-20,79.25,77.0,80.76,77.0,28303
2022-06-27,78.3,79.85,79.85,77.59,48515
2022-07-04,77.4,78.3,79.1,76.68,29027
2022-07-11,76.34,77.4,77.44,75.51,22887
2022-07-18,75.2,76.34,76.93,73.54,35873
2022-07-25,75.99,75.21,76.15,74.0,26202
2022-08-01,76.45,75.99,77.4,75.05,29455
2022-08-08,77.59,76.56,77.62,74.56,32253
2022-08-15,79.5,77.21,81.4,77.21,45771
2022-08-22,80.57,80.97,82.8,79.86,26644
2022-08-29,84.9,81.25,84.98,80.8,31788
2022-09-05,84.23,84.9,85.03,83.19,15300
2022-09-12,83.78,84.25,84.29,82.52,20667
2022-09-19,86.77,83.93,86.77,81.5,27222
2022-09-26,86.73,86.89,86.89,84.0,33637
2022-10-03,89.63,86.73,91.99,85.74,39246
2022-10-10,88.14,89.65,90.0,86.53,43006
2022-10-17,88.1,88.14,88.93,87.0,39962
2022-10-24,87.0,88.41,88.41,87.0,29097
2022-10-31,87.81,87.0,88.2,84.99,20325
2022-11-07,81.46,87.81,88.2,81.04,26927
2022-11-14,76.02,81.46,82.38,75.5,29983
2022-11-21,74.81,76.99,78.94,73.44,29353
2022-11-28,77.71,73.73,79.85,73.4,32818
2022-12-05,73.63,78.95,78.95,73.55,19516
2022-12-12,68.3,73.63,73.79,67.7,26216
2022-12-19,75.99,68.29,78.0,66.2,55849
