data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2020-10,96.2745,182921579.89,1900000.0,182959467.39,126691
2020-12,97.1292,184545436.39,1900000.0,11412620.52,140491
2021-03,99.4967,189043776.02,1900000.0,1607071.3,164270
2021-05,99.5956,379517704.96,3810588.0,82654383.08,220576
2021-06,99.6299,379648621.85,3810588.0,14926780.39,194678
2021-12,94.8113,361286958.6,3810588.0,2296050.07,256048
2022-03,98.9546,377075285.33,3810588.0,3737865.94,289909
2022-06,92.5425,352641152.53,3810588.0,2510161.74,326433
2022-09,92.4553,352309146.03,3810588.0,17751918.33,364738
2022-12,89.5174,341113833.97,3810588.0,16304552.58,401384
2023-03,92.6126,352908327.64,3810588.0,13338895.75,446503
2023-06,87.3759,332953514.57,3810588.0,5602503.78,491790
2023-09,87.2838,332602539.25,3810588.0,3244573.9,537139
2023-12,84.3706,321501534.85,3810588.0,1054104.98,585339
2024-03,80.2629,342626652.94,4268807.0,428514.73,641967
2024-06,72.4265,309174633.4,4268807.0,223666.16,700168
2024-09,69.9591,298641885.93,4268807.0,4796462.54,760137
2024-12,71.0549,303319465.36,4268807.0,36543259.89,821638
2025-03,70.5483,301157029.45,4268807.0,9863173.47,881551
2025-06,71.2597,333106992.36,4674548.0,1716951.08,947799
2025-09,71.3193,333385384.48,4674548.0,2946571.3,1015801
2025-12,48.8453,228329780.84,4674548.0,4005267.17,1085253
2026-03,47.2259,220759848.11,4674548.0,1943674.92,1164535
