data,fechamento,abertura,maxima,minima,volume
2019-12-02,113.79,110.01,115.0,110.0,382381
2019-12-09,115.65,113.89,116.17,113.8,344373
2019-12-16,119.98,115.65,123.5,115.0,247243
2019-12-23,136.0,119.99,138.69,119.99,105881
2019-12-30,138.0,137.0,149.5,136.0,58662
2020-01-06,135.1,138.0,139.48,130.05,138719
2020-01-13,131.64,135.0,135.6,125.12,214523
2020-01-20,130.8,131.64,132.45,127.06,312646
2020-01-27,130.0,130.8,131.0,127.5,49133
2020-02-03,130.12,129.9,134.99,123.82,81832
2020-02-10,128.5,130.12,133.19,127.71,68619
2020-02-17,129.0,130.63,130.71,127.54,36147
2020-02-24,126.2,129.0,131.5,123.25,35205
2020-03-02,125.5,128.0,129.45,124.81,47109
2020-03-09,116.52,125.15,127.99,109.99,61391
2020-03-16,97.0,113.94,114.8,85.0,78293
2020-03-23,102.12,95.0,107.86,91.01,48745
2020-03-30,109.8,107.88,115.0,101.01,83873
2020-04-06,114.85,110.0,120.0,108.0,31288
2020-04-13,114.0,114.0,119.97,110.0,53399
2020-04-20,114.0,114.0,117.24,113.2,49595
2020-04-27,114.5,114.0,116.74,112.51,38468
2020-05-04,115.0,115.0,117.41,113.41,28702
2020-05-11,116.99,115.2,118.0,114.0,55374
2020-05-18,119.5,116.95,123.4,114.0,55715
2020-05-25,120.0,119.6,124.56,117.1,84461
2020-06-01,124.6,121.25,127.0,119.56,60247
2020-06-08,126.55,125.11,128.99,122.01,42582
2020-06-15,123.58,128.0,128.0,121.01,66651
2020-06-22,126.5,125.0,128.01,124.0,48252
2020-06-29,126.37,127.45,131.0,125.01,67328
2020-07-06,126.5,126.37,128.5,122.05,50502
2020-07-13,122.2,126.44,126.5,122.04,62950
2020-07-20,124.93,122.24,126.0,121.55,56263
2020-07-27,123.0,124.93,126.15,122.13,44973
2020-08-03,124.0,123.79,124.5,118.46,55951
2020-08-10,124.6,124.45,126.5,122.74,50566
2020-08-17,125.0,124.6,125.0,122.02,39275
2020-08-24,124.47,125.05,125.9,123.37,44904
2020-08-31,125.4,124.47,125.89,123.91,30163
2020-09-07,125.65,125.4,126.0,123.5,47438
2020-09-14,126.5,125.66,129.7,124.17,55979
2020-09-21,129.3,126.5,129.51,125.3,27090
2020-09-28,123.9,129.3,133.0,122.5,69188
2020-10-05,122.4,123.9,123.99,120.53,111784
2020-10-12,121.0,122.4,123.0,120.26,86249
2020-10-19,121.11,120.98,129.1,120.41,62647
2020-10-26,123.45,122.23,123.9,120.01,37514
2020-11-02,121.05,123.45,123.55,120.3,43363
2020-11-09,120.75,121.21,125.0,118.99,65307
2020-11-16,119.09,121.0,121.89,118.53,57404
2020-11-23,124.64,119.65,124.87,117.0,117950
2020-11-30,117.0,122.0,123.99,116.65,103528
2020-12-07,116.16,116.52,117.1,114.9,147687
2020-12-14,115.45,116.16,116.45,110.01,113653
2020-12-21,117.07,115.4,117.07,113.95,49351
2020-12-28,115.5,117.07,117.5,115.07,51758
2021-01-04,114.56,116.29,117.12,113.68,121856
2021-01-11,115.5,114.4,116.1,113.2,138847
2021-01-18,115.5,115.56,116.4,114.3,112409
2021-01-25,113.9,115.5,115.5,113.8,77886
2021-02-01,114.1,113.81,114.37,112.55,66988
2021-02-08,113.54,114.36,114.84,113.03,123179
2021-02-15,112.8,113.54,113.99,112.18,80988
2021-02-22,112.3,112.8,113.4,111.12,143237
2021-03-01,109.44,111.9,112.67,109.0,173886
2021-03-08,111.6,110.4,112.1,109.45,195404
2021-03-15,109.39,111.6,112.0,109.14,122795
2021-03-22,109.91,109.6,110.92,108.93,164834
2021-03-29,111.2,109.91,113.14,109.91,79734
2021-04-05,111.45,111.3,111.98,110.3,103322
2021-04-12,110.53,111.5,111.98,110.12,110292
2021-04-19,109.53,110.95,110.95,108.6,96659
