data,fechamento,abertura,maxima,minima,volume
2016-04-25,104.3535,105.0172,105.9879,103.1253,224043
2016-05-02,104.3932,104.0266,104.9776,103.1253,268106
2016-05-09,87.6629,83.1956,90.1194,81.472,597397
2016-05-16,83.9484,88.1681,89.644,83.7206,359849
2016-05-23,84.929,83.879,85.6719,83.7106,220822
2016-05-30,85.3946,85.0875,85.7809,84.196,132154
2016-06-06,88.1582,85.4936,89.753,85.4441,217027
2016-06-13,87.97,87.4648,89.6341,87.237,140241
2016-06-20,88.6535,88.3959,88.6535,87.2964,117721
2016-06-27,88.1582,88.9407,88.9506,86.1771,129596
2016-07-04,87.544,88.1285,88.4652,86.1969,148188
2016-07-11,89.1487,87.5539,89.1487,85.7314,132729
2016-07-18,95.1316,89.535,96.0627,89.1982,201344
2016-07-25,94.3986,95.2009,96.0528,93.1406,186402
2016-08-01,97.0631,94.4184,97.0631,94.4184,216431
2016-08-08,95.9835,95.5575,96.132,92.3185,200765
2016-08-15,91.734,95.7457,96.9641,86.3851,291646
2016-08-22,93.6062,91.734,94.1014,90.1393,91958
2016-08-29,94.1014,93.517,94.567,93.309,79762
2016-09-05,93.408,94.0915,94.5571,93.1109,82708
2016-09-12,92.3185,93.7052,94.0816,89.2775,111464
2016-09-19,95.4486,92.3185,96.2707,92.3185,110223
2016-09-26,96.6768,95.5971,96.7759,95.5971,131306
2016-10-03,96.6174,96.6669,97.3207,96.1122,148981
2016-10-10,95.8349,96.4886,96.4886,93.7151,141008
2016-10-17,96.3797,95.8349,96.8254,95.5971,202488
2016-10-24,96.0825,96.0825,96.5679,95.8844,169855
2016-10-31,96.1816,96.0825,96.8155,95.5872,120434
2016-11-07,94.6066,96.2806,96.8254,94.1014,191165
2016-11-14,93.4873,96.0726,96.5778,90.6345,181363
2016-11-21,92.5067,93.0415,95.191,91.8133,162192
2016-11-28,92.8633,93.4576,94.1014,91.1298,128343
2016-12-05,93.101,93.1208,94.1014,91.635,125459
2016-12-12,92.467,93.1109,93.1109,91.1199,140174
2016-12-19,94.1212,92.467,96.033,92.1302,100617
2016-12-26,94.5967,94.3292,95.5377,94.0519,44397
2017-01-02,96.0825,94.5967,96.5283,94.4184,103527
2017-01-09,95.1019,96.0033,96.5183,94.7255,169541
2017-01-16,95.0028,95.1019,96.0033,93.9033,163546
2017-01-23,95.2901,95.3792,95.9537,95.092,165034
2017-01-30,97.0731,95.399,97.0731,95.092,103663
2017-02-06,97.2712,97.0631,98.9947,96.2707,173899
2017-02-13,102.9172,97.5584,103.0064,97.2216,214294
2017-02-20,105.9879,103.0262,105.9879,102.105,242144
2017-02-27,105.77,105.9879,106.4238,104.7993,99175
2017-03-06,105.1757,105.978,105.9879,104.0167,148815
2017-03-13,104.6111,105.1658,105.4927,104.0167,155272
2017-03-20,105.2351,104.1653,105.4827,102.0357,163617
2017-03-27,104.2545,105.2945,105.2945,102.4319,112312
2017-04-03,100.5399,103.0856,103.8087,98.6777,181413
2017-04-10,100.0249,99.8367,100.5598,98.0636,115001
2017-04-17,99.5593,99.5494,100.7381,99.0838,75311
2017-04-24,100.53,99.5296,100.5399,99.0541,102580
2017-05-01,101.3324,100.53,101.6196,100.0645,85173
2017-05-08,103.363,101.3324,107.969,99.4702,146316
2017-05-15,103.0163,104.0266,106.7804,97.0731,197329
2017-05-22,102.0555,103.0064,103.0163,99.7475,130435
2017-05-29,102.0258,102.0555,102.7885,101.1442,98400
2017-06-05,100.0447,102.0258,102.5904,98.9749,190274
2017-06-12,100.0843,100.5399,100.9263,99.2621,156798
2017-06-19,99.797,100.0348,100.4409,99.5692,184196
2017-06-26,99.9456,100.0447,100.3121,98.1924,119706
2017-07-03,98.6777,99.9456,100.2923,98.5787,130796
2017-07-10,93.6062,98.0636,98.0636,93.1604,233260
2017-07-17,91.9619,93.626,93.9627,91.3378,192802
2017-07-24,90.6841,92.0411,92.1005,88.9704,160668
2017-07-31,91.1298,90.7435,91.6251,89.1982,143153
2017-08-07,90.6246,91.1298,91.9222,89.1586,140759
2017-08-14,88.069,89.9412,90.6345,87.97,157492
2017-08-21,91.0803,88.1582,91.8232,88.1582,183915
2017-08-28,92.0213,91.2784,92.1104,90.0501,131278
2017-09-04,95.3396,92.0015,97.0731,91.1595,184608
2017-09-11,94.9929,95.3198,95.3198,93.1208,194877
2017-09-18,95.0821,94.9632,95.0821,94.0024,205985
2017-09-25,94.4481,94.8839,95.0821,94.2005,95559
2017-10-02,98.9551,94.4481,99.5098,94.1014,195365
2017-10-09,98.3112,98.539,99.0343,97.083,102633
2017-10-16,98.856,98.3608,99.4503,97.0929,151340
2017-10-23,99.0541,98.757,99.6385,97.1919,183812
2017-10-30,99.0541,99.0541,100.4607,98.856,124597
2017-11-06,100.0447,99.064,101.0352,98.5985,156924
2017-11-13,101.0154,99.797,101.0352,98.856,118552
2017-11-20,100.6984,101.0154,102.0158,98.9551,148552
2017-11-27,99.173,100.8074,101.5305,99.1037,133411
2017-12-04,103.7097,99.5098,104.5318,98.856,267815
2017-12-11,104.1059,103.6998,104.9875,102.7786,114550
2017-12-18,104.4922,104.1158,104.7993,104.1158,2046776
2017-12-25,104.9974,104.4922,105.7403,104.1158,52251
2018-01-01,105.4927,104.9974,106.3742,104.9974,84052
2018-01-08,104.8983,105.4827,105.9285,104.0167,168214
2018-01-15,104.5021,104.8785,105.0865,104.1752,115326
2018-01-22,103.9276,104.3932,104.9974,103.0757,101692
2018-01-29,104.8983,103.8484,105.4827,103.2342,181422
2018-02-05,103.779,105.037,105.037,103.0262,142532
2018-02-12,104.5021,103.779,104.5021,103.1253,69225
2018-02-19,104.4031,104.2743,104.7497,103.779,213301
2018-02-26,104.0068,104.4031,107.0676,103.0559,215330
2018-03-05,103.7592,104.0068,104.4526,103.3135,131799
2018-03-12,103.0163,103.7493,104.2545,103.0163,136047
2018-03-19,105.5917,103.0262,108.4247,102.8281,151161
2018-03-26,106.4238,105.8889,106.8992,103.3234,127483
2018-04-02,105.8889,106.186,106.186,104.7002,144502
2018-04-09,104.4229,104.9974,104.9974,102.6201,117966
2018-04-16,102.422,103.4125,103.462,101.9762,117335
2018-04-23,103.2144,102.422,103.9969,99.0541,165474
2018-04-30,101.7187,103.2144,103.4026,101.2036,81322
2018-05-07,99.8069,101.5206,101.7088,99.0938,149107
2018-05-14,93.6062,99.3018,99.7376,92.1302,231293
2018-05-21,91.4963,93.4972,94.9434,91.1595,185213
2018-05-28,90.1393,91.7241,92.368,88.8516,125606
2018-06-04,86.4346,90.9515,91.9916,86.2761,139179
2018-06-11,84.0276,86.5832,87.6431,83.2154,159587
2018-06-18,86.1771,83.6116,86.1771,82.7201,149281
2018-06-25,87.8709,86.1573,90.0402,85.8799,98584
2018-07-02,94.2797,87.8709,95.7556,87.1676,126042
2018-07-09,89.4162,94.2797,94.2797,88.2671,122617
2018-07-16,89.0001,89.6341,90.9812,86.8606,123578
2018-07-23,88.2374,88.7327,89.9312,87.861,115069
2018-07-30,90.1294,88.5445,90.1294,86.92,123393
2018-08-06,89.1487,89.6341,92.1005,88.9011,119138
2018-08-13,90.7336,89.1487,93.5665,87.9105,209806
2018-08-20,90.1393,91.3378,92.9029,88.4157,153186
2018-08-27,89.8916,90.6048,91.1298,88.9803,198779
