data,fechamento,abertura,maxima,minima,volume
2021-02-01,101.87,105.34,107.12,101.0,92967
2021-02-08,103.9,102.44,104.0,101.67,40562
2021-02-15,103.85,103.9,104.5,103.0,28145
2021-02-22,101.2,103.99,104.49,101.2,39622
2021-03-01,101.98,101.32,103.3,99.51,46332
2021-03-08,104.32,101.96,105.25,101.17,57562
2021-03-15,103.93,104.31,104.5,101.5,37403
2021-03-22,102.5,103.93,104.04,101.99,33064
2021-03-29,102.71,103.33,104.0,102.33,20048
2021-04-05,102.91,103.0,103.8,102.12,31040
2021-04-12,104.0,103.0,104.0,102.62,53450
2021-04-19,104.3,104.0,105.79,103.02,81686
2021-04-26,105.0,104.3,105.0,103.5,52690
2021-05-03,106.0,104.31,106.29,104.22,71644
2021-05-10,105.0,105.89,106.0,104.52,46062
2021-05-17,101.57,104.8,105.79,100.51,59158
2021-05-24,103.22,102.45,104.26,100.81,32990
2021-05-31,101.9,103.22,103.99,101.0,21399
2021-06-07,104.29,101.97,104.29,101.8,20589
2021-06-14,101.08,104.0,104.35,101.01,44463
2021-06-21,98.02,102.0,102.0,92.0,94368
2021-06-28,97.02,98.02,99.75,93.08,59035
2021-07-05,97.45,97.2,99.37,97.02,15023
2021-07-12,100.0,97.46,100.0,97.46,25672
2021-07-19,101.34,99.99,101.91,94.99,33460
2021-07-26,100.79,101.33,101.89,97.76,37126
2021-08-02,97.9,100.77,100.77,97.27,21866
2021-08-09,98.89,97.9,99.69,95.55,25346
2021-08-16,96.8,98.88,99.49,96.0,36095
2021-08-23,95.8,97.01,98.45,95.08,36059
2021-08-30,94.7,95.82,96.05,94.02,35917
2021-09-06,95.0,94.86,95.0,93.51,22083
2021-09-13,92.58,95.0,95.79,91.92,50587
2021-09-20,94.8,92.71,95.45,90.9,44146
2021-09-27,94.25,94.49,95.08,91.83,48053
2021-10-04,94.87,94.27,95.0,92.39,49346
2021-10-11,99.0,94.87,100.19,94.6,34971
2021-10-18,96.02,99.01,101.34,95.95,59707
2021-10-25,92.5,96.5,98.73,92.5,45478
2021-11-01,95.8,92.69,98.0,91.95,22944
2021-11-08,92.49,95.87,95.99,92.0,34040
2021-11-15,92.3,93.13,93.36,92.01,29193
2021-11-22,88.0,92.26,92.48,86.02,50232
2021-11-29,91.0,88.94,94.06,88.1,45403
2021-12-06,94.54,91.0,95.45,90.99,24374
2021-12-13,95.41,94.54,97.0,91.19,46840
2021-12-20,98.2,95.0,98.5,93.66,31756
2021-12-27,99.0,98.17,99.99,95.95,29754
2022-01-03,97.1,100.0,100.0,96.97,37194
2022-01-10,97.62,97.13,98.3,97.13,31402
2022-01-17,94.1,98.29,98.3,93.3,96439
2022-01-24,95.0,95.0,95.37,93.2,58250
2022-01-31,94.49,95.24,95.24,93.88,41631
2022-02-07,95.0,94.93,95.1,93.85,33498
2022-02-14,93.61,94.97,95.89,92.99,58336
2022-02-21,94.14,93.61,94.44,93.01,55623
2022-02-28,95.98,94.15,97.65,94.13,22957
2022-03-07,95.99,95.98,97.71,95.0,29657
2022-03-14,96.9,96.46,97.9,95.5,31823
2022-03-21,95.51,96.21,96.8,93.2,57981
2022-03-28,98.65,96.0,98.98,95.3,53946
2022-04-04,99.0,98.65,99.95,96.95,57598
2022-04-11,98.99,99.59,99.88,97.8,45707
2022-04-18,97.25,99.0,100.47,96.75,52715
2022-04-25,97.58,98.8,99.27,96.4,60860
2022-05-02,97.5,97.78,98.57,96.5,40098
2022-05-09,95.37,97.5,98.39,94.6,57763
2022-05-16,96.5,95.68,98.39,95.51,53957
2022-05-23,96.9,96.5,97.0,94.7,49087
2022-05-30,97.74,96.9,99.47,96.82,42492
2022-06-06,97.62,98.59,98.99,97.51,46297
2022-06-13,98.49,97.71,98.53,97.09,39271
2022-06-20,93.94,98.45,99.12,93.0,75701
2022-06-27,93.66,93.94,96.53,92.99,53784
2022-07-04,92.4,93.67,94.19,92.2,38355
2022-07-11,93.96,92.25,94.0,91.42,47696
2022-07-18,92.33,93.94,95.0,91.0,45003
2022-07-25,90.9,92.33,92.88,90.0,57009
2022-08-01,94.53,90.33,94.87,90.25,42787
2022-08-08,96.06,94.75,97.45,94.71,52489
2022-08-15,96.47,96.09,98.8,95.33,64374
2022-08-22,99.05,96.5,99.16,96.46,45944
2022-08-29,100.0,99.05,101.75,98.5,56420
2022-09-05,100.0,100.38,101.69,99.32,42560
2022-09-12,101.47,100.0,102.9,99.98,49127
2022-09-19,101.49,101.79,102.9,100.53,48409
2022-09-26,100.45,101.49,101.5,99.02,47241
2022-10-03,100.7,100.49,101.95,100.23,43245
2022-10-10,100.0,100.78,101.77,99.87,51342
2022-10-17,100.17,100.57,101.99,100.0,50094
2022-10-24,99.1,100.45,100.99,98.6,48003
2022-10-31,97.97,99.08,99.44,97.41,41281
2022-11-07,96.98,97.91,98.29,96.67,43416
2022-11-14,95.96,96.98,99.02,95.31,52043
2022-11-21,90.17,95.8,96.6,89.0,63715
2022-11-28,90.34,90.17,90.96,88.2,68375
2022-12-05,92.93,90.34,93.51,90.01,34056
2022-12-12,91.0,92.95,94.01,90.9,58044
2022-12-19,91.13,91.0,92.0,88.2,64742
2022-12-26,95.0,91.25,97.0,91.14,34569
2023-01-02,93.9,95.0,95.46,93.0,31127
2023-01-09,94.11,93.9,96.33,93.24,54864
2023-01-16,90.85,94.11,96.3,90.41,85057
2023-01-23,89.92,90.85,92.28,89.45,60032
2023-01-30,89.59,90.07,91.3,87.01,62440
2023-02-06,87.55,89.59,90.23,87.0,33839
2023-02-13,88.92,87.55,89.98,87.1,42896
2023-02-20,87.34,87.35,88.02,86.5,28697
2023-02-27,87.0,87.34,87.99,83.0,73212
2023-03-06,84.8,86.99,86.99,84.6,41620
2023-03-13,86.04,84.8,86.37,84.26,34293
2023-03-20,83.97,85.21,85.87,83.21,36992
2023-03-27,85.0,84.02,85.0,81.75,60818
2023-04-03,82.85,85.0,85.57,82.12,33304
2023-04-10,88.95,82.85,90.0,82.85,43109
2023-04-17,89.93,89.0,91.99,88.9,28390
2023-04-24,89.63,89.69,91.43,85.51,52063
2023-05-01,91.7,89.64,93.19,89.01,54653
2023-05-08,92.97,91.7,95.5,91.25,44734
2023-05-15,90.69,92.49,93.98,90.03,57707
2023-05-22,90.99,91.0,93.49,89.6,46118
2023-05-29,88.6,91.55,91.56,87.25,54967
2023-06-05,90.12,88.57,90.7,88.41,37212
2023-06-12,94.5,90.12,94.5,90.11,49646
2023-06-19,94.0,94.5,95.7,91.15,40670
2023-06-26,91.0,93.46,94.87,89.95,70577
2023-07-03,94.22,91.99,94.99,90.62,50110
2023-07-10,96.31,94.25,96.32,92.73,32805
2023-07-17,93.84,96.35,97.67,93.0,50833
2023-07-24,91.75,93.8,93.84,89.64,74917
2023-07-31,90.7,91.5,93.83,90.25,63397
2023-08-07,89.78,90.7,90.7,89.25,60344
2023-08-14,90.37,90.0,92.99,89.75,39765
2023-08-21,88.25,90.66,91.24,87.93,42005
2023-08-28,87.7,88.37,89.2,85.89,50280
2023-09-04,90.09,87.7,90.93,87.7,23568
2023-09-11,87.53,90.5,91.1,87.03,46571
2023-09-18,86.86,87.75,90.0,86.75,58888
2023-09-25,86.4,87.04,87.88,84.5,64975
2023-10-02,85.82,86.5,88.5,85.68,41275
2023-10-09,86.16,85.82,86.8,85.0,36929
2023-10-16,84.1,86.4,87.0,83.9,51679
2023-10-23,81.26,84.1,84.53,81.0,54098
2023-10-30,81.11,81.84,83.0,80.98,38732
2023-11-06,80.69,81.23,82.08,80.55,40834
2023-11-13,81.9,80.69,82.38,80.5,33359
2023-11-20,77.14,82.0,82.39,77.06,70786
2023-11-27,73.04,77.15,77.9,72.75,130205
2023-12-04,75.5,73.05,75.5,71.6,86486
2023-12-11,73.43,75.5,76.47,73.0,72686
2023-12-18,72.83,73.5,74.5,71.73,72235
2023-12-25,79.44,73.0,80.0,72.83,37776
2024-01-01,76.95,79.44,80.32,76.95,37750
2024-01-08,77.89,76.95,79.9,75.9,60924
2024-01-15,75.9,77.89,80.18,75.21,55229
2024-01-22,75.4,75.89,76.8,75.05,43209
2024-01-29,74.0,75.4,75.49,73.67,39999
2024-02-05,72.5,74.0,74.0,72.22,57562
2024-02-12,72.81,72.5,73.48,72.3,35974
2024-02-19,71.89,72.81,73.63,71.88,71641
2024-02-26,71.15,72.0,72.07,70.0,73605
