data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2021-01,100.1218,599002009.16,5982736.0,599065101.4,148079
2021-03,100.2008,599475171.69,5982736.0,315455952.78,165489
2021-06,102.4906,613174427.09,5982736.0,207574921.34,195569
2021-09,102.3508,612337743.99,5982736.0,101667122.01,226374
2021-12,103.4658,619008357.28,5982736.0,77608062.18,257484
2022-03,103.6808,620294632.17,5982736.0,35086438.24,290677
2022-06,103.0992,616815074.35,5982736.0,32487592.54,327845
2022-09,106.2887,635897361.69,5982736.0,29913362.21,365789
2022-12,105.0564,628524855.6,5982736.0,22263218.49,402758
2023-03,105.1448,629053590.88,5982736.0,18409267.85,447279
2023-06,109.2013,653322263.24,5982736.0,17204065.55,493205
2023-09,103.8572,621350045.86,5982736.0,16313381.66,537484
2023-12,104.5364,625413908.8,5982736.0,16382282.37,585384
2024-03,107.1127,640827020.85,5982736.0,16713492.16,640619
2024-06,111.7453,668542737.57,5982736.0,16915482.24,699249
2024-09,112.4397,672696794.75,5982736.0,17963870.31,758799
2024-12,110.3582,660243934.68,5982736.0,19243922.01,821600
2025-03,111.537,667296194.63,5982736.0,20761384.95,881155
2025-06,115.1838,689114321.28,5982736.0,22082600.08,1010462
2025-12,116.1562,694931637.72,5982736.0,138302885.1,1084582
