data,fechamento,abertura,maxima,minima,volume
2016-04-25,7.344,6.8256,7.344,6.7478,18829
2016-05-02,7.3259,7.3431,7.3431,6.9552,14617
2016-05-09,6.8774,7.1721,7.3259,6.8688,75137
2016-05-16,7.0416,6.9932,7.3259,6.9111,69036
2016-05-23,6.9984,6.9984,7.3431,6.9301,6329
2016-05-30,7.452,7.1712,7.452,7.0848,4766
2016-06-06,7.4304,7.4736,7.5557,7.2576,14477
2016-06-13,7.4736,7.4736,7.56,7.4304,12881
2016-06-20,7.5168,7.4727,7.56,7.4727,8528
2016-06-27,7.5177,7.5514,7.6896,7.5168,7753
2016-07-04,7.6464,7.6887,7.6896,7.6032,5622
2016-07-11,8.0352,7.6896,8.0352,7.6576,19697
2016-07-18,8.0525,8.0352,8.2071,8.0274,3240
2016-07-25,8.1225,8.0784,8.1648,7.9056,6606
2016-08-01,7.776,8.1216,8.2935,7.776,24141
2016-08-08,7.789,7.8615,8.0179,7.7846,7291
2016-08-15,7.8624,7.8633,7.9065,7.8192,8991
2016-08-22,7.8192,7.9488,8.0715,7.776,24268
2016-08-29,8.1216,7.8615,8.1216,7.7328,30367
2016-09-05,8.2503,8.1199,8.2935,8.1199,32650
2016-09-12,8.0784,8.208,8.208,8.0784,542
2016-09-19,7.668,8.0784,8.0784,7.668,15079
2016-09-26,7.7328,7.7112,7.8624,7.56,45668
2016-10-03,7.776,7.6032,7.8615,7.5168,29616
2016-10-10,7.6464,7.6896,7.776,7.6213,15404
2016-10-17,7.4736,7.6887,7.6913,7.4477,5796
2016-10-24,7.4304,7.6032,7.6032,6.9993,13644
2016-10-31,7.3008,7.5514,7.5997,7.3008,27718
2016-11-07,7.5159,7.452,7.5168,7.4304,14027
2016-11-14,7.3872,7.4727,7.4736,7.3656,19651
2016-11-21,7.465,7.471,7.4745,7.3872,25379
2016-11-28,8.208,7.5168,8.2944,7.439,51096
2016-12-05,8.3808,8.2944,8.6391,8.208,29605
2016-12-12,8.3376,8.3808,8.3808,8.208,32486
2016-12-19,8.3419,8.3376,8.3808,8.208,29419
2016-12-26,8.3808,8.3419,8.3808,8.2175,5194
2017-01-02,8.64,8.3808,8.7264,8.221,12903
2017-01-09,8.4672,8.6391,8.7178,8.2944,11815
2017-01-16,8.2944,8.2944,8.5545,8.2512,18841
2017-01-23,8.3376,8.2866,8.3799,7.776,78007
2017-01-30,8.4586,8.208,8.4672,8.208,39975
2017-02-06,8.4456,8.4162,8.4499,8.2253,11548
2017-02-13,8.4499,8.2944,8.4499,8.2944,5031
