data,fechamento,abertura,maxima,minima,volume
2016-04-25,10.15,10.19,10.19,9.91,44660
2016-05-02,10.0,10.15,10.15,10.0,22420
2016-05-09,10.0,10.0,10.1,10.0,47740
2016-05-16,10.1,10.1,10.12,9.801,40730
2016-05-23,10.0,10.05,10.12,9.911,44140
2016-05-30,10.0,10.12,10.12,9.901,38280
2016-06-06,9.998,10.0,10.049,9.96,52410
2016-06-13,10.2,10.05,10.3,10.0,90810
2016-06-20,10.5,10.195,10.5,10.051,19210
2016-06-27,10.1,10.55,10.55,10.1,48740
2016-07-04,10.1,10.2,10.298,10.0,43200
2016-07-11,10.1,10.156,10.291,9.963,119400
2016-07-18,10.0,10.147,10.179,9.973,117780
2016-07-25,10.197,10.136,10.198,9.999,51810
2016-08-01,10.148,10.05,10.148,10.05,33310
2016-08-08,10.665,10.19,10.665,10.19,20270
2016-08-15,10.203,10.665,10.7,10.2,82920
2016-08-22,10.3,10.399,10.499,10.2,34580
2016-08-29,10.451,10.499,10.598,10.251,22940
2016-09-05,10.65,10.499,10.65,10.26,19130
2016-09-12,10.399,12.999,12.999,10.3,44480
2016-09-19,10.289,10.399,10.422,10.167,76680
2016-09-26,10.599,10.289,10.599,10.289,36140
2016-10-03,10.52,10.55,11.689,10.13,17300
2016-10-10,10.205,10.519,10.52,10.205,30050
2016-10-17,10.61,10.5,10.9,10.39,37790
2016-10-24,11.1,10.599,11.2,10.4,64850
2016-10-31,10.6,11.1,11.15,10.4,10720
2016-11-07,10.055,10.412,10.598,10.055,171370
2016-11-14,10.15,10.25,10.795,10.15,43340
2016-11-21,10.248,10.199,10.5,10.0,69350
2016-11-28,10.13,10.25,10.273,10.0,223020
2016-12-05,10.0,10.248,10.248,9.9,33490
2016-12-12,10.05,10.0,10.099,9.85,19400
2016-12-19,10.05,10.05,10.2,9.971,39300
2016-12-26,9.9,10.05,10.21,9.855,24110
2017-01-02,10.05,10.06,10.06,9.801,14780
2017-01-09,10.089,10.049,10.1,9.873,49380
2017-01-16,10.0,10.089,10.089,9.95,70950
2017-01-23,10.0,10.0,10.03,9.901,27120
2017-01-30,10.0,10.0,10.39,9.95,32080
2017-02-06,9.999,9.999,10.0,9.953,21680
2017-02-13,10.0,9.999,10.0,9.962,69550
2017-02-20,10.1,9.999,10.1,9.95,107600
2017-02-27,10.0,10.0,10.049,9.998,40850
2017-03-06,10.0,10.034,10.034,9.984,46360
2017-03-13,10.0,9.999,10.034,9.992,108880
2017-03-20,9.951,10.015,10.299,9.951,123410
2017-03-27,10.0,10.198,10.198,9.95,60640
2017-04-03,10.0,10.0,10.049,9.96,109610
2017-04-10,9.965,10.018,10.018,9.958,45580
2017-04-17,10.0,10.0,10.0,9.98,76130
2017-04-24,10.0,9.999,10.0,9.975,210830
2017-05-01,9.994,10.0,10.0,9.9,48890
2017-05-08,9.95,9.995,9.998,9.945,53120
2017-05-15,9.801,9.93,9.998,9.701,120380
2017-05-22,10.0,9.85,10.0,9.701,50000
2017-05-29,9.79,9.997,9.999,9.75,158470
2017-06-05,9.916,9.83,9.95,9.701,64590
2017-06-12,9.8,9.917,9.917,9.8,13440
2017-06-19,9.85,9.85,9.878,9.648,44150
2017-06-26,9.615,9.849,9.849,9.5,43680
2017-07-03,9.615,9.561,9.799,9.561,20340
2017-07-10,9.823,9.615,9.823,9.592,55180
2017-07-17,9.792,9.77,9.825,9.751,12380
2017-07-24,9.85,9.8,9.85,9.79,18540
2017-07-31,9.8,9.85,9.85,9.75,31180
2017-08-07,9.85,9.849,9.85,9.801,40680
2017-08-14,9.992,9.85,9.998,9.773,87700
2017-08-21,9.977,9.881,9.997,9.881,57050
2017-08-28,9.88,9.95,9.98,9.88,65550
2017-09-04,9.95,9.949,9.965,9.811,31670
2017-09-11,9.95,9.949,9.978,9.908,42390
2017-09-18,9.95,9.976,9.978,9.902,36660
2017-09-25,9.901,9.976,9.978,9.9,60080
2017-10-02,9.945,9.911,9.98,9.88,87930
2017-10-09,9.9,9.945,9.975,9.815,60960
2017-10-16,9.87,9.92,9.95,9.855,37350
2017-10-23,9.899,9.9,9.9,9.8,40320
2017-10-30,9.835,9.88,9.99,9.813,53800
2017-11-06,9.84,9.881,9.89,9.825,68380
2017-11-13,9.887,9.803,9.89,9.802,22470
2017-11-20,9.884,9.89,9.89,9.851,77390
2017-11-27,9.9,9.884,9.918,9.821,72670
2017-12-04,9.894,9.9,9.9,9.82,128530
2017-12-11,9.87,9.861,9.9,9.85,116120
2017-12-18,9.899,9.89,9.9,9.862,133920
2017-12-25,9.898,9.9,9.9,9.869,84570
2018-01-01,9.86,9.869,9.895,9.843,130460
2018-01-08,9.85,9.86,9.887,9.8,108530
2018-01-15,9.845,9.884,9.9,9.845,193010
2018-01-22,9.89,9.898,9.9,9.841,131680
2018-01-29,9.85,9.89,9.908,9.84,186720
2018-02-05,9.877,9.869,9.877,9.821,96840
2018-02-12,9.872,9.878,9.878,9.843,32810
2018-02-19,9.86,9.873,9.892,9.84,168380
2018-02-26,9.845,9.892,9.9,9.701,115590
2018-03-05,9.847,9.844,9.865,9.752,262670
2018-03-12,9.86,9.855,9.868,9.803,127990
2018-03-19,9.855,9.871,9.877,9.84,117190
2018-03-26,9.85,9.852,9.875,9.845,212950
2018-04-02,9.85,9.829,9.88,9.82,116250
2018-04-09,9.85,9.86,9.873,9.8,140330
2018-04-16,9.82,9.868,9.868,9.8,137750
2018-04-23,9.86,9.821,9.88,9.821,156520
2018-04-30,9.955,9.879,9.955,9.842,136560
2018-05-07,9.965,9.958,9.981,9.916,164550
2018-05-14,9.99,9.962,10.0,9.915,164030
2018-05-21,9.966,9.979,9.999,9.94,297660
2018-05-28,9.9,9.96,9.968,9.54,180140
2018-06-04,9.701,9.91,9.94,9.7,82280
2018-06-11,9.78,9.8,9.8,9.675,59860
2018-06-18,9.856,9.78,9.93,9.752,75260
2018-06-25,9.963,9.86,9.963,9.811,36930
2018-07-02,9.94,9.885,10.0,9.799,107660
2018-07-09,9.905,9.9,9.909,9.875,37420
2018-07-16,9.905,9.9,9.98,9.872,90060
2018-07-23,9.92,9.923,9.98,9.89,93300
2018-07-30,9.865,9.921,9.97,9.861,122250
2018-08-06,9.893,9.9,9.95,9.87,52300
2018-08-13,9.93,9.894,9.93,9.89,78510
2018-08-20,9.969,9.93,9.974,9.91,44700
2018-08-27,10.0,9.924,10.0,9.924,91840
2018-09-03,9.95,9.949,9.997,9.851,23520
2018-09-10,9.979,9.9,9.979,9.9,32660
2018-09-17,9.95,9.996,9.996,9.92,55370
2018-09-24,9.991,9.978,10.0,9.88,70200
2018-10-01,9.945,9.89,9.984,9.89,56850
2018-10-08,9.963,9.95,9.979,9.915,32690
2018-10-15,10.028,9.978,10.084,9.9,75750
2018-10-22,10.3,10.0,10.3,10.0,34710
2018-10-29,10.29,10.205,10.32,10.198,18600
2018-11-05,10.2,10.29,10.29,10.19,49220
