data,fechamento,abertura,maxima,minima,volume
2020-11-23,147.0,140.0,154.99,138.1,44121
2020-11-30,122.5,149.0,170.0,121.0,37965
2020-12-07,118.99,122.81,126.99,114.99,70746
2020-12-14,120.8,118.99,121.95,116.0,39006
2020-12-21,120.92,122.3,122.3,119.0,25865
2020-12-28,117.99,120.92,122.71,117.0,62017
2021-01-04,116.96,118.0,119.15,113.31,244181
2021-01-11,118.87,114.97,118.99,112.99,138194
2021-01-18,120.7,118.87,124.99,117.03,117477
2021-01-25,122.81,120.87,124.0,120.0,105028
2021-02-01,144.0,124.8,144.43,124.79,235426
2021-02-08,115.97,145.01,148.19,115.62,604709
2021-02-15,118.99,115.8,118.99,114.2,304661
2021-02-22,119.6,118.97,120.4,115.02,466788
2021-03-01,119.98,119.99,121.89,116.52,208458
2021-03-08,117.65,116.0,118.81,114.89,220634
2021-03-15,118.01,117.8,118.89,115.85,136989
2021-03-22,117.89,118.85,119.17,117.0,108390
2021-03-29,118.75,117.84,118.94,116.0,74251
2021-04-05,114.47,118.75,119.0,112.0,164135
2021-04-12,115.78,113.58,116.09,112.8,377993
2021-04-19,115.38,115.8,116.19,113.99,145601
2021-04-26,110.24,115.38,115.39,109.0,584767
2021-05-03,110.0,111.0,115.25,108.9,545294
2021-05-10,104.91,107.89,108.66,104.0,442643
2021-05-17,104.68,105.0,106.89,104.4,515482
2021-05-24,105.0,104.8,105.61,104.33,413948
2021-05-31,109.71,104.75,109.95,104.75,186937
2021-06-07,106.3,109.71,110.48,106.18,202560
2021-06-14,106.0,106.3,108.5,104.87,149246
2021-06-21,104.82,106.0,107.46,103.52,199104
2021-06-28,106.09,104.0,106.8,101.0,183966
2021-07-05,103.99,106.54,106.85,103.11,109662
2021-07-12,104.92,103.5,105.8,103.5,230891
2021-07-19,104.02,105.1,105.3,103.8,215978
2021-07-26,104.0,104.37,104.51,103.2,227931
2021-08-02,105.25,104.17,105.28,103.92,163883
2021-08-09,102.2,104.25,104.3,101.31,285029
2021-08-16,102.07,102.6,103.0,101.5,234382
2021-08-23,102.89,102.2,103.19,102.2,189334
2021-08-30,104.3,102.89,105.1,102.7,238159
2021-09-06,103.49,104.67,104.8,102.46,222829
2021-09-13,102.0,103.66,104.01,101.91,423180
2021-09-20,102.0,102.0,102.39,101.4,347343
2021-09-27,102.41,101.95,102.77,101.55,284317
2021-10-04,101.93,102.41,103.64,101.69,370431
2021-10-11,101.7,101.93,102.0,101.28,392261
2021-10-18,101.7,101.7,102.14,101.22,395693
2021-10-25,102.39,101.7,102.69,101.61,265482
2021-11-01,103.9,102.41,104.15,102.41,196536
2021-11-08,101.71,103.9,103.97,101.07,242306
2021-11-15,99.8,101.71,101.97,98.5,327653
2021-11-22,97.57,99.28,99.5,97.55,378325
2021-11-29,99.66,97.6,100.32,97.57,333317
2021-12-06,98.8,99.66,100.5,98.33,322209
2021-12-13,98.8,98.85,99.2,98.5,317196
2021-12-20,100.09,98.8,100.24,98.4,302138
2021-12-27,103.8,100.09,103.98,99.92,240195
2022-01-03,102.98,103.82,104.99,102.03,356790
2022-01-10,100.98,101.63,102.1,99.75,341685
2022-01-17,102.9,101.28,103.14,101.28,301054
2022-01-24,102.0,102.9,103.33,101.2,402910
2022-01-31,103.6,102.18,103.7,102.01,280234
2022-02-07,101.2,103.61,103.84,101.0,290583
2022-02-14,101.48,101.2,101.86,101.2,201816
2022-02-21,101.58,101.48,101.8,99.53,232671
2022-02-28,102.4,101.58,102.49,101.47,147983
