data,fechamento,abertura,maxima,minima,volume
2023-01-16,9.828,9.2,9.849,9.2,570
2023-01-23,9.797,9.715,9.849,9.229,1050
2023-01-30,9.76,9.797,9.798,9.004,250
2023-02-06,9.66,9.76,9.76,8.851,1640
2023-02-13,9.655,9.65,9.66,9.002,120
2023-02-20,9.66,9.655,9.68,9.655,100
2023-02-27,9.679,9.595,9.68,8.804,780
2023-03-06,9.68,9.679,9.68,9.679,50
2023-03-13,9.649,9.595,9.649,8.625,2400
2023-03-20,9.6,8.999,9.619,8.999,130
2023-03-27,9.8,9.6,9.8,9.568,300
2023-04-03,10.36,9.8,10.36,9.3,2940
2023-04-10,9.75,10.198,10.198,9.75,40
2023-04-17,9.604,9.75,9.8,9.604,11030
2023-04-24,9.75,9.8,9.8,9.6,41360
2023-05-01,9.699,9.75,9.75,9.699,35280
2023-05-08,9.6,9.745,9.785,9.599,16440
2023-05-15,9.11,9.774,9.774,9.0,980
2023-05-22,9.679,9.11,9.679,9.11,40
2023-05-29,9.65,9.679,9.679,9.299,40
2023-06-05,9.65,9.65,9.65,9.65,0
2023-06-12,9.647,9.659,9.659,9.2,190
2023-06-19,9.495,9.529,9.529,8.7,120
2023-06-26,9.9,9.495,10.0,9.495,9750
2023-07-03,9.9,9.9,9.9,9.9,0
2023-07-10,10.0,10.0,10.0,10.0,5790
2023-07-17,9.799,10.0,10.0,9.799,30
2023-07-24,9.614,9.501,9.614,9.5,270
2023-07-31,9.5,9.614,9.614,9.5,280
2023-08-07,9.614,9.614,9.614,9.614,100
2023-08-14,9.55,9.614,9.614,7.628,1130
2023-08-21,9.468,9.002,9.729,9.002,1140
2023-08-28,9.468,9.468,9.468,9.468,0
2023-09-04,9.469,9.468,9.469,9.468,90
2023-09-11,9.661,9.299,9.661,9.299,60
2023-09-18,8.816,8.501,9.387,8.376,2120
2023-09-25,8.897,9.01,9.01,8.897,360
2023-10-02,8.685,8.79,8.79,8.685,70
2023-10-09,8.999,8.729,9.5,8.702,610
2023-10-16,9.445,8.999,9.445,8.92,190
2023-10-23,9.443,9.445,9.445,9.443,10
2023-10-30,9.296,9.443,9.443,8.625,400
2023-11-06,8.0,9.296,9.296,7.5,1120
2023-11-13,7.904,7.99,8.0,7.904,190
2023-11-20,8.21,7.904,9.0,7.904,733
2023-11-27,9.05,8.22,10.65,8.03,23785
2023-12-04,8.83,9.48,9.7,8.01,10904
2023-12-11,8.0,8.82,8.82,7.57,10334
2023-12-18,8.15,8.0,8.2,7.65,8899
2023-12-25,8.13,8.15,8.8,7.65,4153
2024-01-01,7.98,8.13,8.3,7.65,7263
2024-01-08,7.81,8.14,9.63,7.65,6051
2024-01-15,8.43,7.97,9.57,7.72,3601
2024-01-22,8.04,8.42,8.94,7.8,3118
2024-01-29,7.95,8.1,8.23,7.8,2705
2024-02-05,7.8,7.95,8.16,7.75,1556
2024-02-12,8.01,8.1,8.1,7.65,152982
2024-02-19,7.91,7.84,8.2,7.66,1617
2024-02-26,7.75,7.78,8.05,7.59,18276
2024-03-04,7.61,7.78,8.04,7.56,522
2024-03-11,7.74,7.63,7.77,7.6,164780
2024-03-18,7.7,7.75,7.75,7.58,1823
2024-03-25,7.6,7.72,7.75,7.52,936
2024-04-01,7.51,7.62,7.75,7.49,711
2024-04-08,7.62,7.48,7.97,7.45,502
2024-04-15,7.65,7.62,7.75,6.62,720
2024-04-22,6.7,7.49,7.49,6.21,3139
2024-04-29,6.85,6.56,7.74,6.36,731
2024-05-06,6.78,7.26,7.3,6.78,315
