data,fechamento,abertura,maxima,minima,volume
2019-06-24,101.97,101.27,105.0,100.9,168530
2019-07-01,102.4,101.6,102.51,101.6,63052
2019-07-08,101.9,102.4,102.47,101.56,70303
2019-07-15,101.95,101.83,102.44,101.83,67056
2019-07-22,102.48,101.95,102.48,101.72,95951
2019-07-29,102.6,102.47,102.75,102.0,395565
2019-08-05,102.56,102.5,103.0,102.0,88991
2019-08-12,103.0,102.5,103.48,102.21,77309
2019-08-19,103.0,103.0,103.97,103.0,52284
2019-08-26,103.19,103.0,103.5,101.5,195584
2019-09-02,102.99,103.09,103.49,102.5,72330
2019-09-09,103.04,102.98,103.99,102.8,71095
2019-09-16,103.61,103.49,104.88,103.0,81513
2019-09-23,104.25,103.99,104.25,103.11,111459
2019-09-30,104.49,104.47,105.0,103.8,73336
2019-10-07,104.7,104.5,104.7,103.81,63185
2019-10-14,106.48,104.8,107.39,104.3,53036
2019-10-21,107.95,106.48,109.74,106.06,93450
2019-10-28,109.61,109.0,110.79,108.5,68522
2019-11-04,110.5,112.65,112.65,109.0,101659
2019-11-11,111.9,111.6,112.0,110.0,87076
2019-11-18,111.5,111.89,112.96,111.0,76978
2019-11-25,109.97,111.5,111.5,104.64,113072
2019-12-02,109.99,109.0,109.99,107.99,197159
2019-12-09,111.0,109.99,111.49,108.51,181037
2019-12-16,109.25,110.99,110.99,108.25,312478
2019-12-23,114.25,109.24,114.25,108.91,150906
2019-12-30,118.99,114.5,122.8,114.5,73408
2020-01-06,120.0,118.99,121.9,116.05,146720
2020-01-13,122.25,119.99,122.8,118.6,131753
2020-01-20,121.5,122.0,122.24,120.0,112432
2020-01-27,116.2,121.5,122.0,115.56,134833
2020-02-03,114.98,116.19,117.28,113.02,165931
2020-02-10,117.74,114.5,117.75,114.16,141076
2020-02-17,118.9,117.73,119.55,117.2,190901
2020-02-24,117.0,118.9,118.9,114.19,60804
2020-03-02,117.49,116.4,118.59,115.01,77778
2020-03-09,108.5,117.44,117.44,100.03,230063
2020-03-16,100.08,107.89,107.89,80.0,123954
2020-03-23,107.45,100.24,107.45,91.01,115519
2020-03-30,102.4,106.97,107.44,101.05,50744
