data,fechamento,abertura,maxima,minima,volume
2019-07-08,112.0,111.038,112.0,111.038,990
2019-07-15,111.2,111.0,111.5,111.0,42080
2019-07-22,109.0,111.25,111.309,109.0,1140
2019-07-29,111.803,105.1,111.803,103.5,2770
2019-08-05,112.035,111.869,112.035,111.5,5460
2019-08-12,112.236,112.091,112.237,111.313,3630
2019-08-19,114.288,112.236,114.288,112.013,5490
2019-08-26,117.049,114.516,117.049,114.002,4410
2019-09-02,118.12,117.2,125.001,115.138,17450
2019-09-09,119.999,118.201,128.498,118.201,16870
2019-09-16,131.0,121.0,133.3,119.5,17210
2019-09-23,133.92,134.998,141.0,131.0,8640
2019-09-30,143.5,134.001,145.0,133.001,11064
2019-10-07,139.99,143.5,145.0,138.01,11150
2019-10-14,140.0,139.99,141.49,137.2,8529
2019-10-21,144.01,140.5,147.99,138.0,7426
2019-10-28,161.7,144.01,162.71,143.63,5332
2019-11-04,160.16,161.6,177.6,148.0,5039
2019-11-11,138.5,156.0,156.0,135.33,26284
2019-11-18,138.5,139.09,139.68,136.15,11557
2019-11-25,141.94,138.52,143.78,125.07,22954
2019-12-02,137.49,141.93,141.93,132.97,9401
2019-12-09,129.21,135.98,135.98,127.6,43746
2019-12-16,127.8,129.32,129.96,126.5,22846
2019-12-23,132.96,129.0,135.55,129.0,21950
2019-12-30,136.5,132.98,139.0,132.98,16750
2020-01-06,134.0,136.9,137.44,134.0,16070
2020-01-13,130.93,132.0,133.43,130.1,35372
2020-01-20,130.5,132.0,133.38,129.9,83803
2020-01-27,129.3,130.53,132.01,127.56,50399
2020-02-03,129.92,129.5,130.25,128.9,47188
2020-02-10,124.24,129.52,129.99,122.32,46845
2020-02-17,121.0,124.98,124.99,120.06,49860
2020-02-24,119.99,121.0,121.5,119.47,42741
2020-03-02,121.37,120.32,121.46,120.0,73758
2020-03-09,117.85,120.29,121.7,114.97,64059
2020-03-16,97.27,115.0,117.85,85.0,45635
2020-03-23,100.01,97.3,106.0,90.97,37199
2020-03-30,105.26,101.0,105.99,98.98,20001
2020-04-06,114.98,105.5,115.0,105.48,21861
2020-04-13,114.72,115.05,116.0,112.0,63925
2020-04-20,110.7,113.88,113.98,107.1,40579
2020-04-27,115.52,112.91,116.5,111.8,27159
2020-05-04,118.31,115.7,119.49,115.09,51269
2020-05-11,114.71,116.41,116.7,112.4,30187
2020-05-18,115.32,115.0,115.45,113.71,24061
2020-05-25,116.49,115.32,116.49,114.8,33346
2020-06-01,120.0,116.48,120.97,116.42,62600
2020-06-08,119.05,119.99,120.3,118.9,65022
2020-06-15,124.33,119.71,124.98,118.95,111709
2020-06-22,129.37,125.02,134.89,125.02,78571
2020-06-29,129.0,129.29,134.19,127.52,101024
2020-07-06,120.0,122.4,124.5,119.51,136677
2020-07-13,120.01,120.15,120.8,119.62,80898
2020-07-20,120.4,120.28,123.5,119.52,90270
2020-07-27,121.78,120.76,122.9,120.13,64371
2020-08-03,127.39,122.0,127.4,122.0,66526
2020-08-10,127.0,126.23,128.4,123.41,94788
2020-08-17,128.4,127.0,128.98,125.59,79749
2020-08-24,128.02,128.46,131.1,127.96,105167
2020-08-31,129.22,129.0,130.49,127.98,118099
2020-09-07,125.1,129.22,130.99,124.74,185729
2020-09-14,126.58,125.24,127.27,121.95,309581
2020-09-21,127.04,126.79,127.9,125.8,155162
2020-09-28,131.96,127.07,132.0,126.5,189731
2020-10-05,129.45,131.96,132.85,129.05,220109
2020-10-12,138.4,129.45,141.0,129.45,182253
2020-10-19,146.0,139.0,146.97,138.4,218022
2020-10-26,146.0,145.49,146.0,133.0,164452
2020-11-02,148.79,146.0,149.5,136.83,162589
2020-11-09,145.63,148.7,150.95,143.0,268617
2020-11-16,140.89,145.65,149.99,138.0,342623
2020-11-23,145.79,140.83,145.87,138.15,168762
2020-11-30,145.54,145.79,146.97,144.82,183623
2020-12-07,138.84,145.7,146.3,138.15,244648
2020-12-14,140.4,138.84,141.25,134.69,288463
2020-12-21,143.0,140.4,143.0,139.16,126112
2020-12-28,147.35,143.0,148.0,143.0,124237
2021-01-04,150.06,147.35,153.92,147.35,259227
2021-01-11,148.0,147.59,150.0,142.12,220692
2021-01-18,150.4,148.03,151.35,148.0,176945
2021-01-25,152.0,150.4,152.0,147.1,211051
2021-02-01,155.5,153.0,161.8,150.05,415913
2021-02-08,148.46,152.0,153.2,148.0,305742
2021-02-15,147.33,148.46,148.9,145.51,177172
2021-02-22,149.01,147.5,153.5,145.6,297757
2021-03-01,149.79,150.0,150.68,146.73,250905
2021-03-08,145.6,146.99,147.77,143.58,265151
2021-03-15,145.5,145.67,147.6,144.86,208508
2021-03-22,149.3,146.0,149.49,144.5,181954
2021-03-29,152.4,149.28,152.96,148.96,118289
