data,fechamento,abertura,maxima,minima,volume
2016-04-25,16.5901,15.6906,16.6001,15.5007,158893
2016-05-02,16.79,16.6101,16.79,16.1204,173500
2016-05-09,16.9549,16.7899,16.9799,16.4102,322091
2016-05-16,16.8899,16.9698,16.9699,16.69,158892
2016-05-23,16.9399,16.8898,17.1896,16.7906,123171
2016-05-30,17.6894,17.0898,17.7693,16.9399,228234
2016-06-06,17.5895,17.6892,17.8387,17.3896,115867
2016-06-13,17.5395,17.6894,17.7794,17.1,159993
2016-06-20,17.1897,17.5393,17.5395,16.69,127274
2016-06-27,17.3745,17.1398,17.4895,16.4902,143683
2016-07-04,17.2397,17.3694,17.3694,17.0049,72441
2016-07-11,17.5395,17.1598,17.5395,17.1598,157491
2016-07-18,18.2891,17.6493,18.4888,17.2897,184507
2016-07-25,18.439,18.289,18.439,18.0492,155690
2016-08-01,18.3886,18.439,18.489,17.9793,320288
2016-08-08,18.9887,18.3885,19.6582,18.0692,175102
2016-08-15,19.0886,18.9887,19.3783,18.489,260654
2016-08-22,19.1884,19.0486,19.1884,18.8887,137078
2016-08-29,18.8288,19.1883,19.1885,18.589,122170
2016-09-05,19.1885,18.789,19.4384,18.6888,94054
2016-09-12,19.0486,18.9887,19.1881,18.8092,175602
2016-09-19,19.3884,18.9886,19.3884,18.8887,189312
2016-09-26,19.9881,19.3883,19.9881,19.0886,218527
2016-10-03,19.9882,19.9882,20.5877,19.9381,214426
2016-10-10,20.1079,19.9883,20.2677,19.5283,478083
2016-10-17,20.088,20.0879,20.2778,19.9881,237939
2016-10-24,19.9931,20.0879,20.2676,19.9881,217528
2016-10-31,20.0979,20.0781,20.7375,19.9881,239141
2016-11-07,19.8382,19.9882,20.1873,19.5882,362415
2016-11-14,19.7882,19.988,19.9881,19.5883,273362
2016-11-21,19.9881,19.7883,19.9881,19.3884,632574
2016-11-28,19.6384,19.988,19.9881,19.6383,622969
2016-12-05,19.988,19.7882,20.1879,19.5383,287169
2016-12-12,20.1779,19.6983,20.2778,19.5883,122371
2016-12-19,19.9781,19.9984,20.6875,19.9781,209423
2016-12-26,20.2879,20.0481,20.3678,19.5883,100857
2017-01-02,20.1879,20.2876,20.2878,20.058,46124
2017-01-09,20.138,20.1679,20.8775,19.9982,184708
2017-01-16,20.9575,20.3379,21.0525,20.1879,157492
2017-01-23,20.7376,20.9575,20.9874,20.4991,157192
2017-01-30,20.9079,20.7575,21.7869,20.5995,104860
2017-02-06,21.3872,20.9677,21.4317,20.9677,88550
2017-02-13,22.5865,21.3872,22.9417,21.2875,116767
2017-02-20,23.3462,22.7863,23.9857,22.2367,103158
2017-02-27,23.9757,23.3462,24.2353,22.4967,33618
2017-03-06,23.2161,23.9756,23.9756,22.8364,129575
2017-03-13,23.3061,23.0862,23.9756,22.8065,115068
2017-03-20,22.3067,23.3062,23.4759,21.987,104461
2017-03-27,21.9869,22.7363,22.7363,21.4873,357811
2017-04-03,21.5271,21.9869,22.7864,21.1873,211623
2017-04-10,21.5269,21.5372,21.9766,21.2778,139881
2017-04-17,20.9875,21.587,21.587,20.5877,228634
2017-04-24,21.3571,20.7176,21.4369,20.6376,436557
2017-05-01,20.9975,21.3571,21.9757,20.9875,257851
2017-05-08,20.7876,21.0175,21.567,20.1879,659190
2017-05-15,21.1873,20.7879,21.527,19.5883,275061
2017-05-22,21.6371,20.9875,21.9468,20.9875,263655
2017-05-29,21.6771,21.6371,21.9768,21.5971,140582
2017-06-05,21.4872,21.6771,21.9658,21.1873,593653
2017-06-12,21.4872,21.6669,21.6869,21.2873,460073
2017-06-19,21.6269,21.4874,21.7269,21.4377,329394
2017-06-26,21.6071,21.5871,21.7369,21.0076,554328
2017-07-03,21.487,21.5874,21.6569,21.2878,109463
2017-07-10,21.387,21.4772,21.4772,21.1873,227333
2017-07-17,21.0374,21.3373,21.3871,20.9875,545423
2017-07-24,21.1774,21.0373,21.2073,20.9875,301178
2017-07-31,21.5371,21.0874,21.6568,20.9978,291473
2017-08-07,21.667,21.536,21.8669,21.1873,382326
2017-08-14,21.9351,21.6571,22.4865,21.2384,178705
2017-08-21,22.3865,21.9349,22.4735,21.7371,139880
2017-08-28,22.5866,22.3865,23.1861,21.3872,220929
2017-09-04,22.9863,22.137,23.466,22.1369,126574
2017-09-11,23.7358,22.9618,23.9857,22.7864,194714
2017-09-18,24.1157,23.7357,24.7843,23.6959,295573
2017-09-25,23.9857,24.1856,24.2334,23.8957,246445
2017-10-02,24.5353,24.2855,24.5353,23.6359,234838
2017-10-09,23.3861,24.3406,24.3851,23.3161,153890
2017-10-16,23.486,23.3861,24.1355,22.7364,453267
2017-10-23,24.1856,23.2861,24.1856,22.9963,225432
2017-10-30,23.0862,24.3054,24.5353,22.9366,399436
2017-11-06,23.6859,23.0862,23.8856,22.5966,279165
2017-11-13,22.8762,23.486,23.6808,22.7864,201818
2017-11-20,22.9863,22.8762,23.236,22.1228,192513
2017-11-27,22.8364,22.9863,23.0761,22.3367,204120
2017-12-04,22.2163,22.8364,22.8364,21.4972,390632
2017-12-11,22.2367,22.2062,22.2367,21.7071,218429
2017-12-18,22.2867,22.2365,22.4866,22.0868,310082
2017-12-25,23.436,22.2867,23.4859,22.209,44925
2018-01-01,23.9257,23.436,24.0056,23.1963,276563
2018-01-08,24.0656,23.9257,24.5752,23.386,211724
2018-01-15,24.2352,24.2754,24.6753,23.9858,116566
2018-01-22,24.3854,24.2354,24.3854,23.7858,118268
2018-01-29,23.9757,24.0855,24.6351,23.6859,118969
2018-02-05,23.2661,23.596,23.9857,22.5366,244143
2018-02-12,23.2661,23.2661,23.2861,23.0365,119169
2018-02-19,23.4859,23.1761,24.1855,23.1262,303178
2018-02-26,23.6159,23.4859,24.1753,23.3062,1835292
2018-03-05,23.5759,23.5659,23.6308,23.386,207420
2018-03-12,23.7357,23.386,23.9645,23.0963,295974
2018-03-19,23.7858,23.7356,23.9856,23.4359,163496
2018-03-26,23.8258,23.8359,23.9858,23.436,887628
2018-04-02,23.8757,23.8651,23.8857,23.486,334198
2018-04-09,23.7858,23.8756,23.8757,23.386,238541
2018-04-16,23.6859,23.7857,23.9657,23.436,161394
2018-04-23,24.0856,23.6858,24.0856,23.436,199316
2018-04-30,23.8358,24.0846,24.3854,23.514,261845
2018-05-07,23.7358,23.8348,23.8358,22.9863,171280
2018-05-14,23.1362,23.7098,23.8348,22.8364,314204
2018-05-21,22.7304,23.1362,23.384,22.3397,448445
2018-05-28,22.7164,22.7554,22.9853,22.0498,171830
2018-06-04,21.6171,22.7874,22.9863,20.5877,239851
2018-06-11,21.1574,21.6191,21.8749,20.8875,262665
2018-06-18,20.1879,21.0734,21.1574,19.8901,320089
2018-06-25,20.4278,20.3878,20.4878,19.9881,304008
2018-07-02,20.3079,20.4018,20.9875,20.011,306770
2018-07-09,19.6613,20.3079,20.3079,19.1885,751737
2018-07-16,19.7862,19.7182,20.088,19.4884,906118
2018-07-23,19.5983,19.7872,19.9381,19.5084,441622
2018-07-30,19.9871,19.6882,20.088,19.6453,341112
2018-08-06,19.9381,19.9891,20.2379,19.8891,231857
2018-08-13,20.159,19.9881,20.4868,19.9381,482745
2018-08-20,19.6782,20.2879,20.2879,19.5983,348975
2018-08-27,19.8082,19.8042,19.8082,19.1995,292302
2018-09-03,19.7642,19.3884,20.4878,19.3684,139961
2018-09-10,20.2879,19.9771,20.2879,19.4894,460212
2018-09-17,20.4868,20.2709,20.6657,19.9881,286980
2018-09-24,20.2119,20.5867,20.6367,19.8881,453547
2018-10-01,20.163,20.088,20.2879,19.9981,318857
2018-10-08,20.3478,20.2119,20.6377,20.058,197116
2018-10-15,20.5128,20.3488,20.7866,20.3478,244804
2018-10-22,20.8875,20.5377,21.5102,20.4878,283747
2018-10-29,21.3872,20.9865,21.4872,20.9465,273481
2018-11-05,21.687,21.3972,21.789,21.2973,349375
2018-11-12,21.807,21.6861,21.9069,21.5871,135638
2018-11-19,21.8869,21.8559,21.9869,21.4882,369218
2018-11-26,22.1218,21.9869,22.1368,21.5371,327303
2018-12-03,22.1468,22.0808,22.2587,21.703,308792
2018-12-10,22.9713,22.1458,22.9863,21.9869,338619
2018-12-17,23.463,22.9703,23.485,22.3866,399816
2018-12-24,23.7858,23.463,23.9257,23.2261,110724
2018-12-31,23.7338,23.7858,23.7858,23.6859,232788
2019-01-07,24.2605,23.7328,24.4824,23.6459,519328
2019-01-14,23.6609,24.2805,24.9751,23.2871,555659
2019-01-21,23.485,23.6549,23.7848,23.1862,576233
2019-01-28,23.6959,23.486,24.6853,22.4966,747093
2019-02-04,23.478,23.7858,23.9357,22.9613,758311
2019-02-11,23.2111,23.477,23.6899,22.9933,516447
2019-02-18,24.3605,23.38,24.7802,23.2371,499485
2019-02-25,25.185,24.3844,25.4738,23.9857,358831
2019-03-04,25.3848,25.185,25.4348,24.7872,261724
2019-03-11,25.7836,25.3828,25.9745,25.11,462774
2019-03-18,25.3838,25.7846,25.7946,25.186,395874
2019-03-25,25.3649,25.3848,25.4698,24.7862,601677
2019-04-01,25.2829,25.3619,25.4348,24.7082,651677
2019-04-08,25.2099,25.2829,25.2849,24.9951,528432
2019-04-15,25.3838,25.2049,25.3838,25.135,376533
2019-04-22,25.3049,25.3848,25.3848,25.137,393443
2019-04-29,25.2839,25.3039,25.6227,25.058,411384
2019-05-06,25.119,25.2839,25.4798,24.9831,522700
2019-05-13,25.185,25.114,25.2339,24.9051,551087
2019-05-20,25.183,25.185,25.3649,25.045,445433
2019-05-27,25.9835,25.184,25.9835,25.175,314095
2019-06-03,25.9895,25.8426,26.0544,25.4668,452768
2019-06-10,25.8785,26.0834,26.1844,25.7856,600535
2019-06-17,25.7836,25.8845,26.0834,25.5847,778813
2019-06-24,25.7736,25.7846,25.8805,25.3938,668416
2019-07-01,25.7846,25.7646,25.7846,24.9861,621438
2019-07-08,25.6297,25.7816,25.7846,25.4848,648775
2019-07-15,25.4828,25.6237,25.6347,25.2799,856148
2019-07-22,25.4418,25.5797,25.5797,25.3259,1160340
2019-07-29,24.8851,25.5338,25.5737,24.0856,1082274
2019-08-05,24.3854,24.8951,24.9241,24.1356,1489316
2019-08-12,24.1786,24.3834,24.4754,24.0456,1169085
2019-08-19,24.8132,24.1746,24.8152,23.9357,1931471
2019-08-26,25.4838,24.8152,25.4838,24.3864,862972
2019-09-02,25.4298,25.3299,25.4848,25.052,875970
2019-09-09,25.2889,25.4298,25.4838,24.7852,1177420
2019-09-16,25.175,25.2889,25.3049,24.9851,830354
2019-09-23,25.183,25.172,25.185,24.9981,1155867
2019-09-30,25.5847,25.183,26.0844,25.04,1096932
2019-10-07,25.7346,25.6847,25.8845,25.4358,748275
2019-10-14,25.8596,25.7456,25.9345,25.6047,825660
2019-10-21,27.6085,25.8596,27.6835,25.8156,992340
2019-10-28,27.5925,27.6085,27.8833,26.5841,1078791
2019-11-04,28.6829,27.6775,28.6829,26.6831,1397851
2019-11-11,27.6455,28.6719,28.6719,27.2947,878292
2019-11-18,27.9533,27.6455,27.9733,27.4846,990849
2019-11-25,28.6819,27.9833,28.6819,27.8674,1212941
2019-12-02,28.6929,28.6819,28.7388,28.0333,1093671
2019-12-09,28.6829,28.6329,28.8328,27.6835,2394476
2019-12-16,29.4194,28.7798,29.6623,28.485,2051222
2019-12-23,29.6193,29.5314,30.142,29.4284,1061692
2019-12-30,30.121,29.7322,30.6807,29.6523,755039
2020-01-06,28.9477,30.122,30.122,28.494,1791657
2020-01-13,29.4124,28.9827,29.6793,28.9827,1368534
2020-01-20,28.8818,29.4824,29.4824,27.9833,1073809
2020-01-27,28.9027,28.8818,29.0826,28.521,772157
2020-02-03,28.479,28.8728,28.9817,28.2231,808500
2020-02-10,28.3121,28.48,28.493,28.1832,1209280
2020-02-17,28.3731,28.3231,28.6239,28.2331,1986674
2020-02-24,28.0832,28.3731,28.3731,27.4676,611353
2020-03-02,28.0303,27.9233,28.3231,27.8334,1308760
2020-03-09,25.7346,27.8843,27.9323,24.0306,3283686
2020-03-16,19.1895,24.4454,24.4454,14.2415,3955748
2020-03-23,21.3692,18.5399,22.8344,16.4902,1641647
2020-03-30,19.8881,21.1873,21.9539,18.9987,2039805
