data,fechamento,abertura,maxima,minima,volume
2016-04-25,97.3434,97.7607,97.7607,95.8458,2282
2016-05-02,95.3466,94.8474,97.3434,93.3498,580
2016-05-09,95.8458,95.3466,96.345,94.9502,3473
2016-05-16,99.0407,96.8442,99.0407,95.9456,8221
2016-05-23,98.7411,99.0407,99.0407,97.8426,370
2016-05-30,97.3434,97.9424,97.9424,95.8458,5597
2016-06-06,97.8426,97.3434,97.8426,95.3466,2762
2016-06-13,97.7428,97.8426,97.8426,96.5447,4345
2016-06-20,96.6445,97.6429,97.7428,95.8508,2111
2016-06-27,96.8442,96.2452,96.8442,94.0587,3144
2016-07-04,94.9502,95.3466,96.345,94.8474,540
2016-07-11,96.8442,94.9502,96.8442,94.9502,2743
2016-07-18,95.9456,96.7434,96.8442,95.8458,5326
2016-07-25,96.8442,95.4464,96.8442,95.4464,3773
2016-08-01,94.8474,95.9456,95.9456,93.849,2602
2016-08-08,95.3466,95.9446,96.345,94.7476,1831
2016-08-15,96.8442,94.8484,97.3434,94.0487,4475
2016-08-22,96.5447,96.8442,96.8442,95.3466,1651
2016-08-29,94.8474,96.6445,96.6445,93.7492,8812
2016-09-05,95.8458,95.8468,96.8442,95.8448,1481
2016-09-12,95.7959,95.1469,95.8458,94.8474,6348
2016-09-19,95.8458,95.7959,95.8458,94.8474,4264
2016-09-26,95.8458,95.8448,95.8458,94.8684,5998
2016-10-03,95.8458,95.8458,97.8426,95.8458,5076
2016-10-10,97.8426,96.8432,98.841,96.8432,5057
2016-10-17,98.841,98.3418,98.841,97.8426,3123
2016-10-24,98.841,98.84,98.841,98.7411,4505
2016-10-31,98.841,97.8426,98.841,96.6445,2713
2016-11-07,96.8442,96.8442,98.841,96.8442,2101
2016-11-14,96.8442,97.2436,97.2436,96.8442,3273
2016-11-21,98.841,97.2426,98.841,96.8442,4734
2016-11-28,98.3418,98.84,98.841,96.8442,3934
2016-12-05,97.7408,98.3418,98.3418,95.9476,4246
2016-12-12,97.8426,97.0439,97.8426,95.8458,2681
2016-12-19,99.3402,97.0459,99.3402,96.8442,9112
2016-12-26,100.3386,99.8394,100.3386,98.841,860
2017-01-02,100.0391,100.3386,100.3386,98.3418,5978
2017-01-09,100.1389,99.9402,100.3386,99.9392,2152
2017-01-16,99.8394,100.1399,102.9344,99.8394,4865
2017-01-23,100.8378,99.8414,100.8378,99.8394,3795
2017-01-30,101.6365,100.8378,102.8346,99.9402,4624
2017-02-06,99.8394,100.4424,101.8362,99.8394,3473
