data,fechamento,abertura,maxima,minima,volume
2016-04-25,100.1664,100.0682,103.1115,99.6764,18022
2016-05-02,106.8442,100.3628,107.8645,98.6993,8846
2016-05-09,105.8622,106.8442,106.8442,101.1484,28011
2016-05-16,106.4023,106.6478,107.9234,105.1777,15393
2016-05-23,105.0765,106.3964,106.5496,103.5544,18725
2016-05-30,102.1314,105.0765,107.9234,101.6404,18714
2016-06-06,105.0765,102.5233,105.4693,101.6395,22838
2016-06-13,104.7809,105.0755,105.0765,103.2107,20394
2016-06-20,104.5855,104.78,104.7819,103.7017,17970
2016-06-27,105.0765,104.5845,110.4767,103.3089,20374
2016-07-04,103.1125,104.8772,107.6298,102.7197,24946
2016-07-11,105.5685,103.1115,108.0226,102.2797,32767
2016-07-18,113.4237,109.7893,117.0562,104.1102,20232
2016-07-25,116.6644,114.3046,120.7811,113.9147,9335
2016-08-01,114.8968,112.0499,120.2979,112.0499,11433
2016-08-08,113.9157,114.4067,117.5482,112.4417,8439
2016-08-15,115.0735,113.9138,115.0735,112.9327,13246
2016-08-22,114.8968,115.0725,115.0725,113.0309,15547
2016-08-29,111.8525,114.4067,115.8788,110.187,16290
2016-09-05,111.4597,112.0479,112.8345,110.9687,6098
2016-09-12,111.0541,111.9507,111.9507,108.0265,14173
2016-09-19,115.8788,111.0531,115.8788,108.6236,35006
2016-09-26,113.9147,115.7776,115.7776,111.0669,10955
2016-10-03,114.2094,114.6022,116.8598,112.2551,9418
2016-10-10,112.9317,114.9459,116.8588,108.0226,23235
2016-10-17,113.4237,112.8335,113.4237,111.2633,26107
2016-10-24,113.4237,113.4228,113.4237,112.7363,18316
2016-10-31,113.9147,113.4237,117.3508,109.9866,20323
2016-11-07,109.9984,113.9138,116.8608,109.9975,24417
2016-11-14,109.0046,111.0983,111.4597,107.1633,26159
2016-11-21,110.0849,109.0036,111.8476,106.1607,13591
2016-11-28,109.201,110.0829,112.9308,107.4334,13215
2016-12-05,107.5316,109.2001,110.9687,106.0605,19660
2016-12-12,110.0849,107.5326,110.1821,106.0586,18694
2016-12-19,107.3352,109.4947,109.4947,106.2059,27196
2016-12-26,108.0226,107.0406,108.0226,106.6478,12391
2017-01-02,108.0226,108.0226,108.0226,106.3532,12401
2017-01-09,108.5146,108.0216,109.0046,107.3411,21686
2017-01-16,111.5481,109.0027,114.6012,108.6128,33297
2017-01-23,116.2696,110.4806,116.3394,110.4806,18032
2017-01-30,124.226,116.2657,127.0729,115.3878,15853
2017-02-06,125.699,124.2368,126.6801,122.753,25567
2017-02-13,126.9757,125.698,126.9757,123.8332,24711
2017-02-20,132.5732,126.9737,134.4351,125.8984,10334
2017-02-27,136.0103,132.5732,137.4823,128.6451,5039
2017-03-06,130.6082,136.0093,136.0093,124.717,16524
2017-03-13,121.7709,130.509,130.509,120.7889,22593
2017-03-20,110.9687,121.2809,123.734,109.0046,40658
2017-03-27,117.1751,113.0329,119.8069,109.7019,36515
2017-04-03,124.5206,117.7937,125.9887,115.8788,12166
2017-04-10,123.244,124.5196,126.0918,120.891,14397
2017-04-17,123.5386,124.2113,125.699,119.5123,11485
2017-04-24,121.1807,123.5376,124.223,119.8069,12390
2017-05-01,122.7431,121.1807,123.9314,118.0432,12513
2017-05-08,122.7431,122.7422,122.7431,120.2979,20211
2017-05-15,122.753,122.7422,129.6271,117.8428,31463
2017-05-22,122.2619,122.3611,124.3232,120.7899,12879
2017-05-29,122.7539,121.3958,124.715,121.3958,26515
2017-06-05,120.5925,124.1258,124.1258,118.8249,16799
2017-06-12,121.9673,120.7791,122.752,119.5123,17147
2017-06-19,122.2619,122.6528,124.1258,121.6148,36148
2017-06-26,122.2619,123.734,123.734,118.4321,32511
2017-07-03,120.2046,122.1608,122.9464,119.8069,16056
2017-07-10,121.3781,121.2789,123.736,119.3159,26809
2017-07-17,121.7709,123.1428,125.699,121.1365,20435
2017-07-24,121.5745,121.4017,121.769,119.909,27053
2017-07-31,118.8347,121.5735,123.6211,118.4321,40374
2017-08-07,121.4272,119.8069,123.5376,118.924,24895
2017-08-14,123.3441,121.7709,124.9114,120.7899,23061
2017-08-21,123.243,123.734,125.5998,121.3781,22075
2017-08-28,124.4224,123.2449,125.208,121.7709,15505
2017-09-04,124.1278,124.2751,125.646,122.0164,17564
2017-09-11,126.6811,124.1258,136.0093,122.2619,28225
2017-09-18,127.6631,127.6631,131.0226,125.7982,30017
2017-09-25,128.0873,129.6271,130.019,125.9013,30374
2017-10-02,130.4127,130.2163,131.002,126.3874,19957
2017-10-09,129.2323,131.0972,131.0972,127.6641,18490
2017-10-16,129.8235,129.1351,129.8245,126.7793,20272
2017-10-23,130.4127,129.9207,130.4127,128.2523,24569
2017-10-30,125.3543,130.4127,132.5732,123.3981,23816
2017-11-06,127.2703,123.2931,131.5892,123.2931,19815
2017-11-13,128.9397,128.6451,129.6271,127.665,18868
2017-11-20,130.6091,128.9397,130.6091,128.4006,18471
2017-11-27,126.19,130.6082,130.6091,125.699,27686
2017-12-04,125.7108,127.1711,128.8405,123.4404,20302
2017-12-11,126.6811,125.7982,128.6431,124.7661,22624
2017-12-18,126.9757,127.5472,135.5193,125.208,36391
2017-12-25,131.8858,126.9757,132.5732,126.9757,13378
2018-01-01,127.6631,131.8858,131.8858,123.7369,38215
2018-01-08,126.6811,127.6621,127.6631,126.3256,36056
2018-01-15,128.8415,126.8765,129.9777,126.3864,39967
2018-01-22,128.6618,129.4307,129.6242,127.6621,18420
