data,fechamento,abertura,maxima,minima,volume
2016-04-25,117.6,113.9,119.997,112.0,25080
2016-05-02,113.6,117.0,117.0,111.0,34010
2016-05-09,119.91,115.5,122.5,113.0,64300
2016-05-16,120.0,119.931,121.497,119.402,28230
2016-05-23,120.75,120.439,121.0,119.501,27550
2016-05-30,120.0,120.748,122.5,119.501,35210
2016-06-06,125.0,120.999,127.0,119.601,47080
2016-06-13,123.1,124.5,124.999,120.601,27350
2016-06-20,115.5,122.8,122.999,114.101,29070
2016-06-27,117.5,115.003,119.0,113.0,22830
2016-07-04,115.2,118.799,118.799,113.958,23070
2016-07-11,120.69,115.101,120.7,114.3,38680
2016-07-18,127.968,120.7,129.999,119.99,40210
2016-07-25,128.0,128.999,130.5,127.005,21310
2016-08-01,129.301,125.001,129.95,123.6,16600
2016-08-08,129.1,129.1,131.2,127.5,28710
2016-08-15,134.0,128.5,134.0,128.5,29590
2016-08-22,130.6,130.2,135.0,124.2,26400
2016-08-29,128.0,130.999,131.5,125.0,16170
2016-09-05,126.3,130.0,132.0,126.0,11950
2016-09-12,125.8,128.0,128.0,124.0,26330
2016-09-19,127.9,125.799,127.9,125.399,44510
2016-09-26,130.4,127.499,130.4,126.5,23690
2016-10-03,130.55,129.299,133.8,126.0,25890
2016-10-10,135.5,130.501,135.5,130.4,35020
2016-10-17,139.498,135.499,140.0,133.5,27000
2016-10-24,140.797,139.498,144.999,138.504,24060
2016-10-31,139.4,140.898,142.899,133.0,20140
2016-11-07,132.9,139.399,140.899,131.0,41070
2016-11-14,126.998,132.899,132.9,126.0,42530
2016-11-21,126.9,127.012,129.9,123.3,23660
2016-11-28,124.0,126.899,127.384,123.0,29800
2016-12-05,127.85,123.7,128.498,120.02,52470
2016-12-12,125.954,126.302,127.499,123.2,33890
2016-12-19,123.949,125.599,125.599,123.0,49140
2016-12-26,125.0,123.949,125.0,123.1,20110
2017-01-02,125.0,125.003,125.003,123.5,27790
2017-01-09,128.1,124.999,129.899,124.4,48650
2017-01-16,130.05,128.999,135.498,128.601,35890
2017-01-23,132.0,131.002,133.8,130.4,35310
2017-01-30,138.999,131.999,140.0,130.9,45730
2017-02-06,138.0,138.998,139.999,135.502,34090
2017-02-13,139.0,137.999,139.0,135.5,55590
2017-02-20,142.799,138.998,143.998,137.65,69180
2017-02-27,143.202,142.799,145.998,140.52,10920
2017-03-06,139.5,143.873,143.873,138.0,47780
2017-03-13,140.0,139.501,141.5,137.9,43170
2017-03-20,133.2,139.999,139.999,133.0,62400
2017-03-27,133.9,134.0,137.998,130.6,38320
2017-04-03,133.899,131.301,134.996,130.105,47430
2017-04-10,133.7,132.601,136.799,132.001,31020
2017-04-17,136.1,133.499,136.798,132.0,29360
2017-04-24,136.0,136.099,136.8,132.0,43980
2017-05-01,134.88,136.0,136.0,133.5,29650
2017-05-08,135.8,134.879,135.899,132.617,57080
2017-05-15,138.699,137.0,142.0,129.0,89750
2017-05-22,143.0,139.1,145.0,137.5,36170
2017-05-29,148.1,143.499,152.499,142.5,26740
2017-06-05,145.0,148.099,148.1,142.751,33440
2017-06-12,146.05,144.999,149.939,140.501,36660
2017-06-19,149.497,147.999,149.998,143.5,35980
2017-06-26,145.008,149.0,149.9,145.008,45840
