data,fechamento,abertura,maxima,minima,volume
2018-07-23,110.0,110.0,110.0,110.0,818
2018-07-30,105.0,110.0,110.0,105.0,5175
2018-08-06,104.5,105.0,108.5,102.5,11056
2018-08-13,105.0,103.11,107.0,102.5,7847
2018-08-20,102.5,106.0,106.0,101.0,465
2018-08-27,102.7,102.5,104.39,101.3,43676
2018-09-03,103.99,102.69,103.99,101.02,5078
2018-09-10,103.0,102.99,103.47,100.11,7301
2018-09-17,101.17,103.0,103.0,100.36,11952
2018-09-24,101.99,100.27,102.79,100.27,1726
2018-10-01,100.9,101.99,101.99,100.11,1180
2018-10-08,100.0,102.9,102.9,99.71,8382
2018-10-15,101.5,101.99,102.49,100.63,7596
2018-10-22,101.8,102.5,102.5,100.6,5912
2018-10-29,101.5,101.9,102.5,100.02,3003
2018-11-05,101.0,102.1,102.45,100.87,5666
2018-11-12,102.0,102.38,102.45,100.5,1219
2018-11-19,102.0,101.15,102.0,101.0,3437
2018-11-26,101.5,101.99,102.45,100.99,44408
2018-12-03,105.3,102.4,105.3,101.4,8318
2018-12-10,105.0,101.55,105.0,101.55,218
2018-12-17,103.0,104.99,105.0,102.2,609
2018-12-24,104.9,103.0,105.0,102.22,9685
2018-12-31,105.0,104.9,105.0,102.5,4216
2019-01-07,108.35,104.5,114.99,104.0,783
2019-01-14,107.5,108.0,108.5,104.01,2720
2019-01-21,105.83,107.9,107.9,105.83,7419
2019-01-28,106.9,106.5,107.0,104.55,4540
2019-02-04,107.0,107.0,109.0,106.06,1362
2019-02-11,107.42,107.0,108.0,106.66,11515
2019-02-18,107.43,106.8,107.45,106.7,3327
2019-02-25,107.0,107.42,109.0,106.86,39870
2019-03-04,109.99,107.0,111.0,107.0,485
2019-03-11,108.0,109.8,114.97,107.5,16248
2019-03-18,108.05,108.51,110.99,107.95,26153
2019-03-25,112.98,108.1,114.0,107.0,12375
2019-04-01,114.0,112.98,114.49,111.9,13602
2019-04-08,115.8,114.0,116.99,113.95,17341
2019-04-15,116.48,116.47,116.48,115.82,6319
2019-04-22,116.5,116.48,116.88,115.52,9238
2019-04-29,113.0,116.5,116.5,112.9,5569
2019-05-06,109.71,113.51,116.06,105.0,8444
2019-05-13,112.65,109.59,112.8,107.66,22025
2019-05-20,111.0,110.0,112.6,110.0,3318
2019-05-27,109.49,111.0,112.49,106.51,31844
2019-06-03,107.87,108.14,109.39,107.01,15424
2019-06-10,107.0,107.87,108.46,106.92,6876
2019-06-17,107.35,107.07,107.87,106.5,7632
2019-06-24,109.15,107.54,110.27,106.95,10813
2019-07-01,111.5,108.94,111.62,107.2,9781
2019-07-08,112.3,111.62,112.99,110.5,4348
2019-07-15,111.8,112.45,112.45,111.0,6951
2019-07-22,112.18,111.79,114.44,109.99,10571
2019-07-29,114.0,111.95,114.0,110.91,6625
2019-08-05,113.3,114.0,115.1,112.01,8650
2019-08-12,112.9,113.99,114.5,112.52,5543
2019-08-19,112.89,113.0,114.0,112.01,4489
2019-08-26,113.48,112.89,113.7,111.8,34050
2019-09-02,114.0,113.05,114.95,113.0,19487
2019-09-09,112.67,114.08,114.1,111.78,12074
2019-09-16,113.9,114.1,114.1,112.57,9548
2019-09-23,113.49,113.89,113.9,112.5,54413
2019-09-30,113.5,113.79,114.11,112.15,41439
2019-10-07,113.5,113.5,114.0,113.0,71406
2019-10-14,114.24,113.98,122.01,113.4,69956
2019-10-21,113.72,113.9,115.5,112.75,124530
2019-10-28,114.5,113.7,115.48,112.75,159840
2019-11-04,118.85,114.5,120.0,112.99,169253
2019-11-11,124.85,118.85,125.0,118.34,47049
2019-11-18,121.83,124.22,124.75,118.5,46521
2019-11-25,132.0,121.8,132.0,118.51,58459
2019-12-02,138.5,125.88,139.96,124.0,83747
2019-12-09,140.0,139.5,143.8,136.99,78152
2019-12-16,136.2,140.0,140.0,135.0,84039
2019-12-23,137.04,136.69,138.0,134.9,77315
2019-12-30,132.49,136.89,136.89,129.0,437585
2020-01-06,138.88,132.56,139.0,131.85,861851
2020-01-13,136.64,138.9,138.99,134.51,535482
2020-01-20,134.34,136.6,137.59,133.33,331606
2020-01-27,131.77,133.7,135.83,129.01,234776
2020-02-03,134.7,131.77,136.0,130.0,289420
2020-02-10,135.8,135.97,139.95,133.0,331982
2020-02-17,133.41,136.89,137.0,132.2,247298
2020-02-24,129.99,133.41,133.41,128.69,104952
2020-03-02,130.3,132.34,133.94,129.36,142382
2020-03-09,117.5,129.99,129.99,112.99,290068
2020-03-16,104.9,114.98,114.98,80.02,297629
2020-03-23,109.9,104.5,109.99,97.0,128496
2020-03-30,107.4,109.9,110.69,104.0,143643
2020-04-06,112.01,108.8,114.0,107.5,82121
2020-04-13,114.01,111.9,116.0,110.49,119273
2020-04-20,108.0,112.93,114.05,108.0,186284
2020-04-27,115.4,108.11,115.49,108.11,108225
2020-05-04,115.61,116.99,118.15,112.35,200231
2020-05-11,111.0,116.49,117.67,110.85,227783
2020-05-18,111.1,111.99,112.06,110.25,247335
2020-05-25,115.97,111.5,115.97,111.4,267798
2020-06-01,124.5,114.4,124.98,114.12,309493
2020-06-08,129.8,124.91,131.99,123.6,173733
2020-06-15,130.5,129.8,131.1,127.71,159037
2020-06-22,126.8,130.5,130.5,126.77,176993
2020-06-29,126.9,126.8,129.25,126.0,268854
2020-07-06,125.95,127.0,127.49,124.6,427026
2020-07-13,130.5,126.0,130.5,124.9,235899
2020-07-20,130.0,130.5,133.01,128.01,211699
2020-07-27,127.75,130.0,130.0,126.89,196602
2020-08-03,129.5,127.75,129.5,126.98,161927
2020-08-10,129.29,129.5,130.4,128.51,224430
2020-08-17,129.6,129.5,131.37,128.4,196741
2020-08-24,132.3,130.55,133.8,129.7,183086
2020-08-31,131.63,132.35,132.6,129.84,208099
2020-09-07,132.88,131.63,132.9,130.62,153830
2020-09-14,133.99,132.87,135.8,132.41,177864
2020-09-21,132.83,133.99,135.8,132.8,190678
2020-09-28,128.4,127.99,129.43,126.5,366037
2020-10-05,127.2,128.58,128.79,126.0,274624
2020-10-12,128.01,127.2,128.01,126.26,264803
2020-10-19,128.11,128.1,131.78,128.03,227217
2020-10-26,126.0,128.37,129.8,124.26,267229
2020-11-02,128.43,126.0,129.0,125.5,185142
2020-11-09,127.33,129.0,129.94,127.0,206754
2020-11-16,128.65,127.49,129.15,127.33,171399
2020-11-23,128.31,128.77,129.38,127.74,189237
2020-11-30,125.99,128.31,128.5,124.39,406794
2020-12-07,125.49,125.99,126.0,123.37,289725
2020-12-14,125.48,125.56,126.0,123.58,271450
2020-12-21,126.7,125.48,127.25,124.9,249877
2020-12-28,129.33,126.7,130.0,126.52,177114
2021-01-04,129.5,129.3,130.5,127.22,336913
2021-01-11,128.68,129.69,130.2,128.0,282399
2021-01-18,128.95,128.68,129.98,128.51,268730
2021-01-25,128.68,128.95,129.85,126.03,258445
2021-02-01,130.0,128.67,130.45,126.05,274754
2021-02-08,130.0,130.0,131.49,129.67,246310
2021-02-15,129.18,130.0,130.5,129.02,155082
2021-02-22,128.0,128.96,129.99,127.48,291035
2021-03-01,126.5,128.1,128.59,124.6,231650
2021-03-08,125.5,126.5,126.97,124.6,187618
2021-03-15,123.85,125.5,125.9,122.5,239060
2021-03-22,123.3,123.7,125.0,122.77,211668
2021-03-29,124.25,124.0,124.92,121.8,208932
