data,fechamento,abertura,maxima,minima,volume
2020-12-21,108.5,105.5,108.99,105.0,243615
2020-12-28,108.2,108.79,108.9,107.55,95405
2021-01-04,108.2,108.21,108.95,107.35,158987
2021-01-11,112.8,108.2,114.95,108.15,93365
2021-01-18,112.99,112.79,113.98,112.0,60389
2021-01-25,113.9,112.99,115.0,112.99,52599
2021-02-01,113.48,113.91,115.5,111.03,60156
2021-02-08,113.95,113.97,114.8,111.0,88789
2021-02-15,113.75,114.0,114.0,112.55,40489
2021-02-22,112.9,113.75,113.75,112.0,46738
2021-03-01,110.3,112.3,113.5,109.16,56788
2021-03-08,107.98,111.95,111.95,107.07,66213
2021-03-15,105.65,108.2,108.2,105.0,48929
2021-03-22,108.5,106.87,108.5,105.14,66923
2021-03-29,109.26,108.0,111.99,107.0,30933
2021-04-05,107.9,109.29,111.0,106.83,46518
2021-04-12,106.2,107.8,108.88,105.0,57165
2021-04-19,107.2,106.49,107.5,104.3,50687
2021-04-26,108.5,107.0,110.0,105.0,81229
2021-05-03,107.0,108.46,113.92,106.11,63578
2021-05-10,108.0,108.0,110.45,105.0,64927
2021-05-17,106.05,107.88,107.88,104.61,71791
2021-05-24,106.0,106.37,107.34,104.61,85059
2021-05-31,106.42,106.79,107.22,104.65,27056
2021-06-07,104.05,106.52,106.85,102.0,74411
2021-06-14,103.0,104.62,104.63,99.98,71784
2021-06-21,100.2,103.1,104.28,100.01,35924
2021-06-28,101.56,100.7,101.9,94.01,37770
2021-07-05,100.87,100.16,103.98,98.0,24977
2021-07-12,105.0,100.96,105.6,100.96,40338
2021-07-19,103.97,105.23,107.48,103.1,42667
2021-07-26,103.29,103.94,104.0,101.1,53841
2021-08-02,100.3,103.0,104.45,99.0,17022
2021-08-09,96.63,100.98,101.5,94.71,32693
2021-08-16,94.98,96.63,98.95,93.14,46473
2021-08-23,94.99,94.98,96.0,93.0,19437
2021-08-30,93.0,94.96,97.07,92.01,36834
2021-09-06,92.68,92.91,92.94,90.7,32508
2021-09-13,91.46,92.66,93.0,90.96,34569
2021-09-20,89.8,91.05,92.93,88.02,98057
2021-09-27,88.68,89.77,90.7,86.41,37095
2021-10-04,88.8,89.0,89.35,87.0,46157
2021-10-11,90.96,88.88,92.68,88.21,17453
2021-10-18,87.96,90.96,91.0,84.02,104451
2021-10-25,85.75,89.72,90.98,84.5,39123
2021-11-01,83.5,85.78,86.42,81.92,30259
2021-11-08,82.17,83.5,86.0,82.07,32053
2021-11-15,80.07,83.1,83.1,79.22,33427
2021-11-22,77.35,80.09,82.0,77.21,58220
2021-11-29,81.01,77.7,81.5,76.8,40947
2021-12-06,87.29,81.88,88.87,81.5,32191
2021-12-13,85.24,87.29,88.5,85.0,31180
2021-12-20,88.85,85.24,90.0,84.51,18954
2021-12-27,96.2,89.99,99.25,88.68,20153
2022-01-03,91.35,95.62,99.9,90.13,54946
2022-01-10,92.73,91.35,96.69,87.44,32556
2022-01-17,92.55,92.73,94.05,90.9,27143
2022-01-24,89.85,92.56,93.41,88.5,33592
2022-01-31,90.73,89.5,93.71,88.08,23111
2022-02-07,90.89,91.88,92.49,89.01,84900
2022-02-14,86.88,90.89,92.6,86.52,68517
2022-02-21,90.1,87.5,90.22,86.6,29889
2022-02-28,88.51,90.1,90.49,87.71,15117
2022-03-07,88.35,88.9,89.97,88.0,21367
2022-03-14,86.92,89.41,89.41,86.91,45909
2022-03-21,87.36,87.1,89.0,87.0,26934
2022-03-28,88.95,87.35,91.4,87.35,34468
