data,fechamento,abertura,maxima,minima,volume
2019-08-12,101.8038,105.2438,106.6797,101.8038,374366
2019-08-19,103.2796,102.3423,103.2895,102.2027,346989
2019-08-26,104.5758,103.2696,104.5858,103.13,216414
2019-09-02,103.2995,103.6983,103.8878,102.7312,187889
2019-09-09,102.6813,103.3593,103.5986,101.8038,161346
2019-09-16,102.9007,102.6713,103.5986,102.3722,146012
2019-09-23,102.6813,103.0801,103.0801,102.2625,148692
2019-09-30,102.5018,102.6813,104.5858,101.1557,182925
2019-10-07,101.754,102.4919,102.5816,101.5147,151131
2019-10-14,102.1927,101.8138,102.3921,101.3552,169043
2019-10-21,102.2426,102.3024,103.459,101.7141,138154
2019-10-28,101.9036,102.2525,102.5018,101.7041,163091
2019-11-04,105.6925,102.0033,107.5571,101.8736,305153
2019-11-11,103.8479,105.7025,106.6697,102.3024,189700
2019-11-18,105.1441,103.8479,105.194,103.3992,230699
2019-11-25,109.1824,105.1441,109.3419,104.1969,267040
2019-12-02,112.6722,108.5841,113.6693,108.5841,342071
2019-12-09,116.6606,112.6722,118.4155,112.1837,263296
2019-12-16,122.6333,116.7903,123.1418,114.1878,335129
2019-12-23,125.4949,122.6333,127.3296,119.5821,206460
2019-12-30,123.1418,125.475,126.0334,119.642,519787
2020-01-06,124.5377,123.1916,125.0861,122.6432,1047715
2020-01-13,121.6362,124.6374,125.5647,120.6889,516530
2020-01-20,120.1405,122.1447,122.6432,119.0038,377825
2020-01-27,121.6461,119.6619,122.1447,118.8543,289520
2020-02-03,119.7417,123.6004,124.1389,116.1721,402443
2020-02-10,119.2331,119.961,120.5992,116.8601,289601
2020-02-17,117.4085,119.5423,119.5423,117.1592,460126
2020-02-24,114.7163,117.4085,117.4085,113.5198,153498
2020-03-02,115.9627,115.2547,118.4853,114.2177,229097
2020-03-09,101.2056,114.6664,115.2148,99.2114,530113
2020-03-16,70.7941,94.7244,96.1104,52.3477,802782
2020-03-23,87.7248,67.1148,87.7248,63.585,350884
2020-03-30,78.9204,84.7534,87.7448,77.7738,282309
2020-04-06,82.0613,79.9375,82.6595,75.7796,299379
2020-04-13,78.7808,81.9616,86.4386,76.8465,302302
2020-04-20,80.3164,78.7908,84.554,76.8564,190177
2020-04-27,83.2578,80.3762,85.8702,80.3762,119081
2020-05-04,79.2395,82.7493,82.7493,78.9304,155538
2020-05-11,78.9204,79.9275,81.7622,75.7098,145988
2020-05-18,78.9902,79.2295,79.768,76.298,121196
2020-05-25,82.9587,79.2495,84.7036,77.8236,136149
2020-06-01,91.1349,82.9288,91.8329,82.9288,227992
2020-06-08,90.3272,92.2317,92.9696,88.0439,128712
2020-06-15,90.736,90.3272,92.2317,88.4128,139041
2020-06-22,88.6421,90.736,91.6833,86.6878,158172
2020-06-29,89.6392,88.6222,89.719,88.1037,134477
2020-07-06,89.0011,89.6392,91.0452,88.353,160502
2020-07-13,86.2491,89.0011,89.6193,83.7663,241604
2020-07-20,86.6479,86.2491,87.7547,84.2449,182163
2020-07-27,85.252,86.6479,87.645,84.7534,136509
2020-08-03,87.0468,85.252,87.0767,83.8261,137544
2020-08-10,90.9355,87.0468,92.2317,86.3488,172406
2020-08-17,91.5337,90.9355,91.7032,88.7518,121900
2020-08-24,92.4909,91.5337,94.2259,91.3642,139974
2020-08-31,92.142,92.8698,94.2558,90.736,200450
2020-09-07,93.1291,92.142,93.5479,92.142,141262
2020-09-14,92.6006,93.1291,93.4282,92.2317,178310
2020-09-21,92.3912,92.2317,93.2188,91.2446,112222
2020-09-28,93.3285,92.3912,93.7174,90.736,110781
2020-10-05,93.6177,93.5878,94.6048,92.9297,166375
2020-10-12,93.5279,93.6177,94.206,93.2388,148255
2020-10-19,93.7273,93.5279,95.4922,93.2487,208497
2020-10-26,88.2034,94.2658,94.3256,86.4286,265779
2020-11-02,93.6974,88.2034,93.7273,88.2034,132488
2020-11-09,93.3684,93.7273,95.4124,92.7302,179053
2020-11-16,93.1291,93.518,94.0165,92.5308,155799
2020-11-23,92.4909,93.2188,93.9268,90.2375,249621
2020-11-30,93.847,92.6206,93.9168,91.434,175320
2020-12-07,93.2687,93.847,94.7145,92.3613,194228
2020-12-14,93.7273,93.7074,94.3256,92.3414,177234
2020-12-21,94.535,93.3185,94.7244,93.0294,135832
2020-12-28,94.0165,94.7145,95.8213,92.6305,289338
2021-01-04,95.6218,94.0165,97.0577,93.7273,266376
2021-01-11,95.582,95.7215,97.7058,94.7344,234372
2021-01-18,96.8184,95.921,97.6958,95.7315,165775
2021-01-25,97.5163,96.8184,97.6958,96.0705,120909
2021-02-01,95.7415,97.4964,97.4964,95.223,191439
2021-02-08,95.9509,95.7515,96.6688,94.7244,161621
2021-02-15,94.874,95.9509,96.0506,94.7444,89512
2021-02-22,91.7531,94.874,95.1432,91.4041,190438
2021-03-01,89.8187,91.3343,91.3343,87.5653,204990
2021-03-08,88.4926,89.3501,90.6862,88.1635,154317
2021-03-15,86.1893,88.4926,88.9413,84.7534,174960
2021-03-22,85.7805,86.3189,87.2362,84.2649,172007
2021-03-29,87.0867,85.8503,88.6421,85.5312,140256
2021-04-05,87.8245,87.1963,89.6791,85.7505,144087
2021-04-12,86.6779,88.0937,89.2404,86.279,138508
2021-04-19,86.8474,86.7676,87.0468,86.4485,105336
2021-04-26,89.5894,86.8474,89.5894,85.6508,150649
2021-05-03,90.8258,89.739,91.5537,89.709,318236
2021-05-10,91.1249,90.8258,91.2346,89.2504,135624
2021-05-17,88.9413,91.1249,91.1249,88.4926,100454
2021-05-24,89.739,88.5624,92.5308,87.8943,118168
2021-05-31,90.1876,89.7988,91.2246,89.5595,110306
2021-06-07,90.736,90.1378,91.2346,89.8387,120356
2021-06-14,90.4269,90.736,91.0352,89.7489,107500
2021-06-21,88.4427,90.6264,91.2446,84.7534,195945
2021-06-28,89.3301,87.7547,89.6193,84.0256,175999
2021-07-05,84.913,89.2703,89.4398,84.7834,181473
2021-07-12,87.7348,84.8133,88.0339,83.9558,215785
2021-07-19,86.7776,87.665,88.2433,86.4286,153817
2021-07-26,86.4784,87.3459,87.3459,85.7805,84761
2021-08-02,84.0854,86.1394,86.2192,83.4273,112899
2021-08-09,80.7651,84.1053,84.2549,79.7879,162973
2021-08-16,78.9503,80.7651,81.4531,78.1527,132449
2021-08-23,80.7651,78.9802,82.7593,78.8706,94337
2021-08-30,80.775,80.7651,82.5598,80.0771,107353
2021-09-06,80.3064,80.6653,81.6724,79.2694,92715
2021-09-13,81.0143,80.3463,82.7393,80.3064,111470
2021-09-20,80.087,81.0143,81.5129,79.768,104900
2021-09-27,79.1896,80.1768,80.8249,78.5714,103667
2021-10-04,79.4688,78.9503,79.758,77.9233,108491
2021-10-11,79.768,78.8307,80.1967,78.8307,76482
2021-10-18,77.6042,79.768,81.1938,77.6042,129183
2021-10-25,77.1157,79.2295,79.2295,75.3408,150962
2021-11-01,76.1485,77.1057,77.1057,75.7796,100593
2021-11-08,73.6856,76.1485,76.5673,72.8281,132773
2021-11-15,71.9906,73.6856,74.3537,71.8111,111875
2021-11-22,69.4181,71.9906,72.3695,68.1617,136472
2021-11-29,70.0363,69.4181,72.1003,67.7828,161592
2021-12-06,72.7583,70.0263,73.7854,70.0263,163504
2021-12-13,74.4734,72.7484,74.7426,72.2897,135182
2021-12-20,75.979,74.4734,76.7667,73.7854,80526
2021-12-27,81.3633,75.9889,81.3633,75.9889,76514
2022-01-03,79.1996,81.1739,81.2636,77.7837,114663
2022-01-10,78.2922,79.1996,79.6284,77.6142,119577
2022-01-17,78.0131,77.9732,79.1697,77.4746,120664
2022-01-24,75.979,78.0031,78.0031,74.8423,124728
2022-01-31,75.4206,75.7796,76.1485,74.8024,130242
2022-02-07,75.9889,75.1215,76.3978,74.8223,107734
2022-02-14,76.7567,76.0288,76.7567,75.281,108266
2022-02-21,76.7767,76.7567,77.7738,74.932,121110
2022-02-28,75.7496,76.7767,76.7767,75.4306,53934
2022-03-07,74.2839,75.7496,76.2582,74.0346,112331
2022-03-14,72.9877,74.3637,75.0118,71.2926,124994
2022-03-21,76.4775,72.9877,76.7667,72.539,153300
2022-03-28,80.9046,76.2781,81.3334,75.9989,174604
2022-04-04,80.9645,80.9046,81.7522,80.2964,141539
2022-04-11,83.1382,80.9645,83.7364,80.3064,113593
2022-04-18,83.4074,83.1382,83.7364,82.2607,96413
2022-04-25,80.5158,83.3974,83.3974,79.9375,121365
2022-05-02,77.0359,80.7651,81.7522,76.8764,177197
2022-05-09,77.2752,77.4248,78.2723,76.5374,115895
2022-05-16,77.6042,77.2752,79.4987,76.8963,128646
2022-05-23,78.9304,77.674,78.9703,76.7767,116303
2022-05-30,79.758,78.9304,80.8349,77.8136,156880
2022-06-06,77.5943,79.9175,80.2565,77.2752,135456
2022-06-13,77.7438,77.7738,78.023,76.7767,122370
2022-06-20,77.7638,77.674,78.4119,77.3949,139347
2022-06-27,76.9163,77.7638,77.9732,76.6869,148015
2022-07-04,77.5245,77.2253,77.7738,74.9819,162460
2022-07-11,77.5444,77.5145,77.8037,76.7966,148075
2022-07-18,77.5743,77.5444,77.7538,76.6769,129650
2022-07-25,78.0031,77.5644,78.2125,77.1655,144370
2022-08-01,78.0729,77.6641,78.2723,76.7866,135214
2022-08-08,81.7522,78.2524,82.7293,78.1128,220977
2022-08-15,85.7505,81.7522,85.7505,81.6724,302637
2022-08-22,89.8885,85.9001,90.3173,85.7505,176630
2022-08-29,89.2803,89.9384,91.5537,88.333,166825
2022-09-05,91.9625,89.5595,92.481,89.5296,114806
2022-09-12,91.1648,91.9625,93.0792,88.5923,181035
2022-09-19,93.2786,91.1648,93.7273,90.8358,125379
2022-09-26,93.9766,93.2786,94.6846,92.6305,108198
2022-10-03,92.471,92.6106,94.4752,91.454,171511
2022-10-10,92.6305,92.471,93.4581,91.7331,116322
2022-10-17,93.6775,92.6305,93.6775,92.2317,110750
2022-10-24,90.2973,93.5279,93.7273,89.739,133270
2022-10-31,89.3102,90.407,90.8856,88.5923,109446
2022-11-07,86.4485,89.5196,90.5566,86.4485,139590
2022-11-14,84.9529,86.4485,87.2263,82.9587,128874
2022-11-21,82.2009,84.9529,85.6907,82.2009,112189
2022-11-28,81.2138,82.2009,82.7393,80.0771,151884
2022-12-05,80.097,81.2138,81.9317,79.4688,133956
2022-12-12,77.4946,80.0172,80.5058,76.7667,121198
2022-12-19,79.3492,77.5345,80.4659,77.5245,142243
2022-12-26,81.6026,79.3791,82.6595,79.3791,87209
2023-01-02,75.3009,81.2636,81.3633,74.9819,202096
2023-01-09,77.0459,75.3807,77.0459,73.7754,198660
2023-01-16,77.1655,77.0459,79.5087,76.6371,146015
2023-01-23,78.2723,77.0758,78.2723,75.3408,125033
2023-01-30,78.3022,78.2723,79.768,77.8037,107305
2023-02-06,77.2453,78.3022,78.7011,76.3978,100106
2023-02-13,78.9304,77.2752,78.9304,77.0758,129698
2023-02-20,79.6682,78.9304,80.5656,78.5914,67505
2023-02-27,79.2694,79.6682,80.7451,76.2183,154161
2023-03-06,78.4717,78.4717,80.1967,77.6042,136458
2023-03-13,78.2324,78.4917,79.2594,76.4775,152058
2023-03-20,78.721,78.2524,79.2694,76.1983,157149
2023-03-27,79.419,78.731,79.758,77.3749,105733
2023-04-03,79.4289,78.8706,79.748,78.1527,120729
2023-04-10,80.7351,79.4289,80.9844,78.9005,151350
2023-04-17,82.6296,80.8049,83.0584,80.2665,117974
2023-04-24,85.0426,82.6695,85.1523,82.6595,166709
2023-05-01,84.0156,85.0426,85.7505,83.7564,111240
2023-05-08,85.1722,84.0056,85.7505,83.7564,185001
2023-05-15,84.903,84.0056,85.1523,83.6267,195058
2023-05-22,87.5254,84.8631,87.7448,84.7534,158971
2023-05-29,87.4755,86.4485,88.2134,86.269,119088
2023-06-05,90.1378,87.4755,90.2475,87.3559,114554
2023-06-12,91.1548,90.1378,92.132,89.739,205749
2023-06-19,92.4311,91.1548,92.4311,90.6363,135436
2023-06-26,93.3285,92.4311,93.6974,91.5337,127205
2023-07-03,92.7402,93.4182,93.4182,92.0123,145900
2023-07-10,91.8129,92.7402,93.169,91.6534,197369
2023-07-17,92.4411,91.8229,92.4511,90.756,165594
2023-07-24,94.186,92.5209,94.206,92.4411,206713
2023-07-31,95.4224,94.2259,95.6119,92.9596,188317
2023-08-07,96.4494,95.4523,97.1873,94.2259,160126
2023-08-14,96.6389,96.7186,97.1474,95.223,157912
2023-08-21,95.1731,96.6389,96.7186,94.3655,179442
2023-08-28,95.4723,95.1233,96.9579,94.6546,122781
2023-09-04,95.0136,95.3227,95.4623,93.2288,132117
2023-09-11,93.3285,95.0136,95.0236,91.5238,133729
2023-09-18,94.0265,93.7273,94.7244,93.6376,145926
2023-09-25,93.5479,94.0265,94.4253,92.3115,146353
2023-10-02,91.7331,93.2089,93.2089,91.2845,154817
2023-10-09,92.7302,91.7331,92.9097,91.2246,80437
2023-10-16,92.1918,92.7302,92.9795,92.122,87204
2023-10-23,91.5038,92.122,92.1818,90.9454,123499
2023-10-30,91.424,91.6135,92.5109,90.2375,83965
2023-11-06,92.0821,91.434,92.6904,91.2346,96693
2023-11-13,92.7302,92.0821,92.7302,91.0352,97478
2023-11-20,92.2816,92.7302,94.9239,91.8827,111165
2023-11-27,91.5636,92.2816,93.5778,91.5337,110025
2023-12-04,92.2217,91.6235,93.1191,90.736,105908
2023-12-11,91.6135,92.2317,92.5209,90.736,144081
2023-12-18,94.7444,91.6135,95.8711,91.434,205154
2023-12-25,96.4694,94.7444,99.5005,94.7444,103079
2024-01-01,95.85,96.4694,96.4694,94.7244,228976
2024-01-08,95.16,95.85,95.9,94.51,173381
2024-01-15,95.6,95.2,95.9,94.95,180468
2024-01-22,96.22,95.45,96.6,95.03,155599
2024-01-29,96.35,96.19,96.98,95.4,127871
2024-02-05,96.5,96.35,97.7,96.04,133106
2024-02-12,96.11,96.5,96.5,95.8,80949
2024-02-19,96.01,96.32,97.0,95.95,250222
2024-02-26,96.5,96.08,97.0,95.5,456800
2024-03-04,97.0,96.5,98.92,96.25,454122
2024-03-11,97.26,97.0,97.98,96.62,272431
2024-03-18,98.0,97.31,98.35,97.3,289840
2024-03-25,98.0,97.99,99.22,97.55,258983
2024-04-01,98.05,97.2,98.49,96.92,261935
2024-04-08,97.79,97.91,98.28,97.51,231079
2024-04-15,96.36,97.74,98.35,95.15,297354
2024-04-22,95.14,96.19,96.79,94.24,310725
2024-04-29,97.47,95.12,98.0,95.09,274920
2024-05-06,97.5,97.47,97.95,96.73,121164
2024-05-13,97.55,97.5,98.0,96.2,141138
2024-05-20,96.8,97.57,97.81,95.95,202477
2024-05-27,96.75,96.8,97.04,95.8,187330
2024-06-03,97.37,95.95,97.76,95.1,282462
2024-06-10,95.35,96.85,97.24,94.56,208541
2024-06-17,93.7,95.34,95.34,92.61,273768
2024-06-24,97.35,93.7,97.53,93.7,200944
2024-07-01,93.01,96.7,97.27,90.6,302054
2024-07-08,94.39,93.2,94.86,93.2,180174
2024-07-15,96.53,94.3,96.6,94.15,142687
2024-07-22,97.12,96.53,97.3,95.99,184696
2024-07-29,96.72,97.11,98.58,95.04,189801
2024-08-05,94.65,95.83,96.44,94.24,156152
2024-08-12,95.36,94.88,96.4,93.84,179939
2024-08-19,96.65,95.75,96.88,95.1,121301
2024-08-26,96.55,96.65,97.3,95.7,133281
2024-09-02,93.95,95.74,96.28,93.82,173211
2024-09-09,92.88,93.95,94.2,92.05,161587
2024-09-16,92.03,92.9,93.5,92.0,151553
2024-09-23,91.36,92.03,92.2,89.53,201067
2024-09-30,89.78,91.98,92.39,88.5,188663
2024-10-07,86.3,89.7,90.0,86.15,181492
2024-10-14,87.07,86.3,88.91,86.27,218513
2024-10-21,85.1,87.2,87.49,84.52,192993
2024-10-28,85.6,85.1,88.26,85.09,230134
2024-11-04,87.79,85.6,87.85,85.6,284182
2024-11-11,85.78,87.79,87.96,85.45,144248
2024-11-18,86.59,85.78,86.63,85.1,140584
2024-11-25,82.8,86.63,87.29,82.35,244539
2024-12-02,75.77,82.69,82.97,73.66,641528
2024-12-09,72.67,75.39,75.45,71.93,343253
2024-12-16,71.67,73.35,73.7,69.01,327553
2024-12-23,73.98,72.17,75.5,71.68,214811
2024-12-30,70.7,74.6,74.99,70.7,218272
2025-01-06,71.9,71.0,73.72,70.22,238593
2025-01-13,71.6,73.0,73.25,71.6,224562
2025-01-20,71.85,71.85,72.3,70.3,195482
2025-01-27,73.28,71.9,75.68,70.35,317120
2025-02-03,73.03,71.01,73.29,70.7,261246
2025-02-10,72.98,73.05,74.3,72.0,163950
2025-02-17,76.07,72.98,77.37,72.98,224154
2025-02-24,76.7,76.84,78.31,75.75,161316
2025-03-03,77.97,76.7,77.99,75.11,111285
2025-03-10,78.9,77.97,79.42,77.13,121372
2025-03-17,80.82,78.9,81.41,78.51,139032
2025-03-24,83.19,81.11,83.2,80.22,186803
2025-03-31,80.4,83.42,84.36,79.5,159752
2025-04-07,79.45,80.35,80.4,78.65,116027
2025-04-14,82.63,79.61,82.64,79.1,78317
