data,fechamento,abertura,maxima,minima,volume
2021-09-27,110.07,113.01,125.0,110.07,1164
2021-10-04,112.0,111.99,115.0,110.46,1125
2021-10-11,113.9,113.99,119.49,111.65,3684
2021-10-18,114.86,115.27,117.16,113.5,4020
2021-10-25,113.0,113.45,115.97,112.5,1808
2021-11-01,113.0,113.0,115.85,112.5,1625
2021-11-08,113.0,113.01,118.65,113.0,3388
2021-11-15,113.0,113.02,115.0,112.5,601
2021-11-22,113.0,113.0,128.01,112.51,1518
2021-11-29,113.0,112.65,118.8,112.51,1973
2021-12-06,113.0,113.5,117.98,112.51,832
2021-12-13,112.98,112.8,115.73,112.56,460
2021-12-20,112.0,112.9,114.36,111.0,1190
2021-12-27,112.79,112.0,113.5,105.35,1350
2022-01-03,113.0,112.96,113.99,112.79,744
2022-01-10,113.0,113.0,115.0,111.01,1193
2022-01-17,112.97,114.0,114.78,112.51,3076
2022-01-24,113.0,113.0,114.36,112.51,1716
2022-01-31,112.77,113.0,114.25,112.59,627
2022-02-07,111.02,113.0,114.05,110.6,7170
2022-02-14,111.15,112.81,115.02,111.0,4852
2022-02-21,112.29,113.4,117.87,110.65,4185
2022-02-28,111.39,112.29,115.0,109.94,10319
2022-03-07,110.25,111.65,113.02,109.95,39423
2022-03-14,111.9,110.9,113.49,108.25,14936
2022-03-21,112.61,111.0,112.99,110.7,8119
2022-03-28,110.5,112.6,113.86,110.2,13182
2022-04-04,111.8,110.51,111.9,110.02,13598
2022-04-11,109.87,111.78,112.66,107.0,10870
2022-04-18,109.46,109.87,110.01,107.01,3315
2022-04-25,110.55,109.45,110.55,107.89,2270
2022-05-02,110.15,111.21,111.89,108.01,7219
2022-05-09,107.0,110.19,110.96,107.0,4024
2022-05-16,103.37,107.21,107.75,102.8,47770
2022-05-23,103.3,103.03,103.76,103.0,24903
2022-05-30,105.01,103.69,105.37,103.3,15842
2022-06-06,103.92,104.99,105.4,102.5,11642
2022-06-13,102.83,103.11,104.99,102.5,9261
2022-06-20,102.39,102.83,103.5,101.77,13367
2022-06-27,103.33,102.39,103.49,101.01,18985
2022-07-04,103.42,103.31,103.82,102.13,9113
2022-07-11,102.22,103.42,103.42,101.06,16201
2022-07-18,101.97,102.25,102.25,100.45,8590
2022-07-25,102.1,101.97,102.1,101.6,4694
2022-08-01,102.59,102.13,102.78,101.75,8395
2022-08-08,101.87,102.47,103.3,101.12,14982
2022-08-15,104.0,102.1,104.95,101.88,9716
2022-08-22,104.97,103.39,105.0,103.39,6941
2022-08-29,105.0,104.9,105.45,103.56,7317
2022-09-05,106.86,105.4,106.95,105.01,7314
2022-09-12,103.81,106.96,109.0,103.22,11084
2022-09-19,102.97,104.19,104.19,101.91,8246
2022-09-26,102.18,102.26,103.38,101.32,3128
2022-10-03,103.44,102.5,103.5,99.9,7415
2022-10-10,101.22,103.53,103.54,100.6,12262
2022-10-17,102.19,101.01,102.79,101.01,5984
2022-10-24,102.03,102.04,102.6,101.62,4150
2022-10-31,102.62,102.34,102.62,101.6,2995
2022-11-07,99.95,102.55,104.0,99.5,8397
2022-11-14,96.5,100.5,100.5,95.19,7862
2022-11-21,95.91,96.49,97.37,95.0,4485
2022-11-28,95.9,95.55,96.96,95.06,3255
2022-12-05,96.8,95.22,98.95,95.0,4631
2022-12-12,91.4,96.09,96.45,91.2,4110
2022-12-19,92.42,92.5,93.5,90.11,4776
2022-12-26,92.57,92.43,92.99,91.17,2988
2023-01-02,93.98,93.0,94.77,90.0,3586
2023-01-09,92.0,94.5,95.99,91.99,3526
2023-01-16,92.2,92.0,92.89,90.22,3223
2023-01-23,91.91,92.47,92.89,91.25,2415
2023-01-30,92.5,92.2,92.69,90.52,2258
2023-02-06,90.52,92.85,92.85,89.31,2121
2023-02-13,90.0,90.54,91.98,89.31,3911
2023-02-20,90.36,89.33,91.89,89.15,1714
2023-02-27,91.9,90.35,92.75,89.86,2444
2023-03-06,90.3,91.9,92.19,89.5,3538
2023-03-13,89.14,90.1,90.1,88.5,2119
2023-03-20,88.0,89.14,89.14,86.89,3385
2023-03-27,86.51,87.96,87.98,84.39,9635
2023-04-03,87.21,86.51,87.85,85.1,1848
2023-04-10,84.0,87.21,87.69,82.49,2629
2023-04-17,86.35,84.0,87.4,83.44,3152
