data,fechamento,abertura,maxima,minima,volume
2016-04-25,91.36,89.89,92.89,88.8,23167
2016-05-02,90.52,89.04,91.5,88.8,35120
2016-05-09,92.0,91.5,92.97,90.07,46107
2016-05-16,93.7,91.5,94.85,91.5,42973
2016-05-23,93.2,93.7,93.99,91.7,19846
2016-05-30,92.01,93.0,93.5,91.34,26138
2016-06-06,93.5,92.2,95.0,92.1,33295
2016-06-13,94.19,94.0,94.2,92.5,42158
2016-06-20,95.0,94.05,95.0,93.81,29840
2016-06-27,95.65,94.94,95.96,93.41,23776
2016-07-04,95.84,95.65,95.84,93.51,21899
2016-07-11,95.0,95.35,95.85,94.62,22143
2016-07-18,95.85,95.0,95.85,94.8,44230
2016-07-25,95.55,95.84,96.5,95.5,38819
2016-08-01,96.5,95.4,96.5,93.0,26644
2016-08-08,99.0,96.5,101.22,96.0,49078
2016-08-15,99.0,98.0,101.97,98.0,16360
2016-08-22,101.15,99.99,101.15,98.0,21083
2016-08-29,100.7,100.89,101.99,99.2,16234
2016-09-05,99.58,100.11,100.95,99.31,15690
2016-09-12,100.2,100.25,100.94,98.7,31267
2016-09-19,100.19,99.89,100.89,98.51,58504
2016-09-26,102.9,100.19,104.36,99.75,18997
2016-10-03,99.8,101.6,102.9,99.2,35792
2016-10-10,100.15,99.8,101.0,99.36,18603
2016-10-17,101.0,100.15,101.98,99.5,97793
2016-10-24,102.7,100.02,102.74,99.99,84244
2016-10-31,100.9,102.75,102.75,100.0,41288
2016-11-07,99.52,101.28,101.39,99.5,46974
2016-11-14,99.82,99.52,100.87,99.5,36929
2016-11-21,100.6,100.5,101.69,99.5,25103
2016-11-28,100.29,100.89,101.9,99.47,40605
2016-12-05,97.5,99.56,100.32,96.02,37312
2016-12-12,97.99,98.0,99.5,97.5,34036
2016-12-19,97.0,97.8,98.65,96.3,27509
2016-12-26,97.99,97.01,98.65,96.12,37948
2017-01-02,98.38,97.99,98.99,97.0,35877
2017-01-09,97.24,98.2,98.99,95.5,24687
