data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2016-12,107.1828,691644854.98,6452944.0,108930080.72,8015
2017-03,109.5638,707009365.78,6452944.0,158365723.83,11594
2017-06,108.4486,699812429.95,6452944.0,196354243.77,14641
2017-09,110.447,712708005.3,6452944.0,249806531.57,17579
2017-12,108.6595,701173757.42,6452944.0,134801061.24,21250
2018-03,111.291,718154697.51,6452944.0,151787234.61,25274
2018-06,107.6707,694793098.71,6452944.0,327674852.26,29177
2018-09,106.0099,856749733.97,8081791.0,230041111.95,33747
2018-12,110.3891,892142008.03,8081791.0,113033407.47,39135
2019-03,110.9274,896492296.73,8081791.0,223142672.15,46239
2019-06,111.2302,898939168.76,8081791.0,37303471.84,53691
2019-09,110.878,896092705.3,8081791.0,564132641.83,62006
2019-12,115.5057,1599162623.14,13844885.0,490623376.88,76388
2020-03,111.9321,2324530247.59,20767328.0,333542891.75,90712
2020-06,112.2283,2330682811.61,20767328.0,287702280.02,106290
2020-09,112.4409,2335096900.1,20767328.0,183055768.49,121329
2020-12,113.8002,2363325622.47,20767328.0,261113164.78,139233
2021-03,113.5369,2357857312.16,20767328.0,30402950.43,163842
2021-06,113.393,2354869865.71,20767328.0,26133864.7,194920
2021-09,113.3704,2354399450.99,20767328.0,14860238.51,224591
2021-12,113.8379,2364109157.37,20767328.0,3556913.1,256656
2022-03,113.5834,2358824611.4,20767328.0,1790327.21,290231
2022-06,113.5954,2359073027.06,20767328.0,4673735.6,327374
2022-09,113.5396,2357913671.4,20767328.0,1703066.07,364685
2022-12,112.9694,2346073475.07,20767328.0,1959445.55,401454
2023-03,112.6993,2340463888.92,20767328.0,5802740.82,447167
2023-06,112.725,2340997304.52,20767328.0,7105181.05,491088
2023-09,112.5382,2337117873.12,20767328.0,9477658.55,535185
2023-12,109.589,2275871103.33,20767328.0,3289687.18,586064
2024-03,109.7509,2279232926.69,20767328.0,3130727.62,641859
2024-06,109.7146,2278479144.36,20767328.0,2197748.99,699918
2024-09,109.5252,2274545126.59,20767328.0,4580282.59,759890
2024-12,101.7264,2112585261.69,20767328.0,17256132.06,821431
2025-03,101.914,2116481937.97,20767328.0,8542019.61,881327
2025-06,101.9409,2117039977.37,20767328.0,18665614.1,947476
2025-09,102.0519,2119344809.75,20767328.0,32550850.8,1014964
2025-12,105.8755,2198750330.6,20767328.0,16128066.98,1083440
2026-03,102.095,2120240825.77,20767328.0,27397291.48,1163754
