data,fechamento,abertura,maxima,minima,volume
2021-01-11,10.495,11.897,11.899,10.317,1506870
2021-01-18,10.679,10.5,11.035,10.198,1334320
2021-01-25,10.765,10.7,11.2,10.506,802190
2021-02-01,10.863,10.85,11.09,10.675,589180
2021-02-08,11.145,10.858,11.291,10.72,1041950
2021-02-15,11.193,11.272,12.336,11.111,889070
2021-02-22,11.104,11.193,11.419,11.0,1038820
2021-03-01,11.298,11.34,11.342,10.901,811160
2021-03-08,11.4,11.301,12.096,11.15,626460
2021-03-15,11.405,11.43,11.868,11.21,534750
2021-03-22,11.659,11.405,11.9,11.201,504550
2021-03-29,12.0,11.657,12.55,11.555,537130
2021-04-05,12.199,12.055,12.999,11.8,789720
2021-04-12,12.9,12.339,12.989,12.18,711690
2021-04-19,13.98,12.9,14.5,12.717,629350
2021-04-26,14.95,13.981,15.111,13.5,564250
2021-05-03,13.92,13.776,15.52,13.703,1312560
2021-05-10,10.856,13.8,13.8,10.801,1471120
2021-05-17,10.506,10.857,11.195,10.426,772860
2021-05-24,11.8,10.56,12.0,10.405,698820
2021-05-31,11.463,11.84,12.1,10.82,358090
2021-06-07,11.536,11.5,11.702,11.304,314120
2021-06-14,11.795,11.561,11.898,11.449,267210
2021-06-21,11.4,11.79,11.8,11.213,238480
2021-06-28,11.569,11.2,12.0,10.547,365740
2021-07-05,11.797,11.705,11.8,11.35,208610
2021-07-12,10.275,11.796,11.898,10.15,2294750
2021-07-19,10.122,10.25,10.35,9.989,1417910
2021-07-26,9.68,10.27,10.34,9.66,1095890
2021-08-02,9.11,9.62,9.73,8.99,1172597
2021-08-09,8.9,9.2,9.22,8.64,934269
2021-08-16,8.32,8.89,8.95,8.21,1068635
2021-08-23,8.68,8.4,8.88,8.03,980969
2021-08-30,8.71,8.78,9.04,8.27,536293
2021-09-06,8.88,8.76,8.92,8.58,450242
2021-09-13,8.97,8.91,9.05,8.84,414423
2021-09-20,8.65,8.97,8.97,8.36,689587
2021-09-27,8.28,8.65,8.7,8.01,874810
2021-10-04,8.13,8.29,8.5,8.07,608859
2021-10-11,8.18,8.19,8.29,8.13,621325
2021-10-18,7.95,8.19,8.2,7.82,907650
2021-10-25,7.55,7.97,8.0,7.41,1224097
2021-11-01,7.46,7.57,7.76,7.32,876616
2021-11-08,7.1,7.46,7.58,7.1,970713
2021-11-15,7.14,7.18,7.54,7.14,712113
2021-11-22,7.32,7.23,7.59,7.15,1224704
2021-11-29,7.69,7.45,7.95,7.35,995911
2021-12-06,7.93,7.69,8.15,7.55,660459
2021-12-13,7.9,7.85,8.2,7.82,540625
2021-12-20,7.9,7.81,7.95,7.66,492947
