data,fechamento,abertura,maxima,minima,volume
2016-04-25,112.47,111.03,114.0,111.03,65414
2016-05-02,110.0,112.87,112.89,108.01,99200
2016-05-09,109.63,110.99,111.51,108.12,121927
2016-05-16,113.5,110.0,113.98,110.0,101782
2016-05-23,113.42,113.49,113.49,110.0,102226
2016-05-30,112.9,112.99,113.51,110.0,84589
2016-06-06,110.12,112.99,113.0,105.0,148019
2016-06-13,109.2,110.01,110.99,108.06,95227
2016-06-20,109.4,109.19,109.99,108.5,75770
2016-06-27,108.73,108.9,110.3,107.5,69065
2016-07-04,108.71,108.2,108.73,107.61,100667
2016-07-11,108.0,108.7,109.75,107.0,144196
2016-07-18,109.3,108.69,109.75,107.2,127831
2016-07-25,108.4,109.48,109.93,107.9,130350
2016-08-01,109.4,108.4,109.5,106.5,87174
2016-08-08,110.5,109.39,113.0,109.01,255575
2016-08-15,111.0,110.48,111.98,108.75,273621
2016-08-22,111.5,110.52,111.5,110.0,128550
2016-08-29,113.0,111.49,113.69,110.11,190012
2016-09-05,112.29,112.99,113.5,111.07,109042
2016-09-12,112.0,113.29,113.39,111.04,128438
2016-09-19,113.01,112.48,113.99,112.11,147994
2016-09-26,113.5,113.24,114.89,113.0,118381
2016-10-03,113.2,113.47,117.0,112.0,121665
2016-10-10,114.4,113.21,117.0,113.0,75878
2016-10-17,115.2,114.4,115.5,113.75,131189
2016-10-24,115.5,114.99,116.0,113.68,131348
2016-10-31,115.39,116.0,116.9,114.1,91946
2016-11-07,114.9,115.98,116.0,114.22,113066
2016-11-14,114.88,114.9,115.16,114.0,81799
2016-11-21,115.75,114.98,115.9,114.0,104247
2016-11-28,117.0,115.74,117.8,114.29,144788
2016-12-05,115.99,116.98,117.4,114.5,91410
2016-12-12,115.0,115.97,117.0,114.25,103940
2016-12-19,114.78,114.84,114.98,113.1,149603
2016-12-26,113.5,114.29,114.88,113.0,64698
2017-01-02,110.98,113.45,113.92,110.0,138328
2017-01-09,107.72,110.97,111.0,104.3,223923
2017-01-16,108.5,108.0,109.79,107.04,135776
2017-01-23,109.98,109.1,110.0,108.35,68478
2017-01-30,108.0,109.97,109.98,107.12,99579
2017-02-06,109.0,108.0,109.98,107.81,124279
2017-02-13,109.99,108.99,111.7,108.02,138744
2017-02-20,112.75,110.01,112.99,109.56,154472
2017-02-27,110.25,112.75,112.75,109.33,46685
2017-03-06,108.5,110.21,111.0,108.02,103008
2017-03-13,107.06,108.3,108.49,107.0,106145
2017-03-20,107.9,107.49,108.35,107.12,71623
2017-03-27,107.25,107.99,107.99,106.5,121841
2017-04-03,106.8,106.99,108.73,105.9,102518
