data,fechamento,abertura,maxima,minima,volume
2018-08-06,103.76,101.0,105.0,101.0,1036
2018-08-13,105.5,105.0,105.5,104.5,26460
2018-08-20,105.5,105.0,106.0,105.0,8816
2018-08-27,107.05,105.8,107.5,105.51,5181
2018-09-03,106.6,107.37,108.59,105.71,3460
2018-09-10,106.0,106.51,107.99,105.41,8571
2018-09-17,104.22,106.7,107.49,104.0,14905
2018-09-24,103.0,104.21,105.0,102.02,13072
2018-10-01,104.5,102.01,104.8,101.63,4971
2018-10-08,104.5,104.69,104.79,104.0,2582
2018-10-15,104.49,104.49,104.5,103.5,4403
2018-10-22,106.02,104.49,107.0,104.1,7611
2018-10-29,104.8,106.03,107.0,103.9,9252
2018-11-05,106.0,104.8,108.4,104.8,4628
2018-11-12,109.6,106.0,113.0,106.0,11870
2018-11-19,109.0,109.0,110.0,108.49,7090
2018-11-26,107.5,109.24,109.99,106.62,4170
2018-12-03,107.5,106.76,107.5,105.0,4257
2018-12-10,108.0,108.0,108.5,107.5,3899
2018-12-17,109.25,107.76,110.5,107.5,9499
2018-12-24,110.0,109.25,110.0,108.5,22226
2018-12-31,109.5,110.0,110.55,109.5,832
2019-01-07,108.1,109.5,113.5,108.0,4141
2019-01-14,109.5,108.0,110.0,108.0,946
2019-01-21,108.01,109.98,109.98,108.01,583
2019-01-28,110.0,108.01,110.22,107.92,2523
2019-02-04,109.0,110.0,110.0,108.0,2046
2019-02-11,108.32,108.02,110.0,108.01,7340
2019-02-18,109.0,108.11,112.5,108.01,6583
2019-02-25,109.3,108.1,111.4,106.5,7318
2019-03-04,108.6,109.3,110.0,108.0,1102
2019-03-11,109.5,108.66,111.89,108.6,6098
2019-03-18,108.9,108.65,110.0,107.75,7315
2019-03-25,109.89,108.24,110.0,108.21,7698
2019-04-01,109.2,109.5,111.06,108.99,7019
2019-04-08,109.99,109.2,110.0,108.61,6150
2019-04-15,113.49,109.6,113.49,109.4,15459
2019-04-22,111.49,113.1,113.1,111.0,5580
2019-04-29,113.0,111.48,114.99,111.01,6914
2019-05-06,114.99,113.0,114.99,113.0,7538
2019-05-13,114.99,114.98,114.99,112.75,14447
2019-05-20,118.57,114.99,118.57,114.0,12206
2019-05-27,116.5,118.6,122.49,114.5,23647
2019-06-03,119.5,116.5,120.0,114.4,21484
2019-06-10,126.0,119.49,132.5,117.16,17602
2019-06-17,129.98,126.99,131.0,126.99,17600
2019-06-24,135.0,129.99,139.49,127.34,16743
2019-07-01,129.0,133.88,136.5,125.0,18536
2019-07-08,133.5,129.34,136.45,127.72,11325
2019-07-15,122.0,133.99,134.0,119.6,20198
2019-07-22,125.7,122.99,125.9,116.5,12123
2019-07-29,126.7,125.5,130.0,125.0,6189
2019-08-05,119.85,126.89,126.89,117.09,8637
2019-08-12,113.99,119.99,120.0,113.5,10622
2019-08-19,117.9,113.99,119.0,113.8,11579
2019-08-26,115.51,117.9,117.9,114.15,17574
2019-09-02,114.0,115.19,118.0,113.0,11165
2019-09-09,113.0,113.79,114.8,112.9,12134
2019-09-16,116.9,113.0,116.9,112.23,18762
2019-09-23,117.0,116.9,117.87,113.77,18184
2019-09-30,114.7,117.0,117.0,114.0,7089
2019-10-07,112.0,114.41,115.3,111.7,8516
2019-10-14,113.65,112.15,114.13,112.15,7403
2019-10-21,114.85,114.0,115.5,113.9,9530
2019-10-28,114.01,114.85,115.2,113.8,5111
2019-11-04,114.5,114.01,114.85,113.0,10359
2019-11-11,114.5,114.5,115.74,113.5,9478
2019-11-18,119.99,114.76,120.0,114.51,16407
2019-11-25,119.0,119.99,119.99,117.35,15844
2019-12-02,116.0,118.62,118.62,112.0,37346
2019-12-09,116.96,116.01,119.7,114.5,53563
2019-12-16,116.8,116.95,117.18,115.0,46171
2019-12-23,118.3,116.9,119.01,116.5,18385
2019-12-30,117.0,118.5,118.9,115.6,15690
2020-01-06,117.5,117.04,119.5,116.99,47276
2020-01-13,119.67,117.85,119.99,116.9,23506
2020-01-20,118.0,119.69,121.0,116.9,37868
2020-01-27,117.97,117.75,119.79,114.5,48840
2020-02-03,115.0,117.0,118.5,113.0,47183
2020-02-10,115.64,114.5,116.05,113.0,30884
2020-02-17,115.5,115.5,117.49,114.32,82429
2020-02-24,115.75,115.5,115.75,114.25,10917
2020-03-02,113.65,114.5,115.5,113.0,54906
2020-03-09,113.0,113.7,114.6,105.0,55160
2020-03-16,99.9,111.0,112.4,82.5,89728
2020-03-23,104.23,99.25,105.0,90.0,80381
2020-03-30,104.0,103.0,108.5,101.01,115216
2020-04-06,106.0,104.51,106.5,104.0,17353
2020-04-13,107.99,106.0,108.25,105.0,34316
2020-04-20,107.4,107.5,109.0,106.0,47129
2020-04-27,108.0,107.4,111.95,107.1,24555
2020-05-04,107.1,107.99,108.54,105.5,34277
2020-05-11,106.6,107.5,107.5,103.0,34270
2020-05-18,108.0,106.3,108.0,105.0,34822
2020-05-25,106.75,108.0,108.5,106.52,20458
2020-06-01,106.4,106.5,107.64,105.0,48367
2020-06-08,108.0,106.4,108.01,106.0,82942
2020-06-15,112.7,108.0,112.99,108.0,41435
2020-06-22,111.95,112.69,114.45,110.51,68498
2020-06-29,109.93,111.5,114.0,108.0,81289
2020-07-06,108.3,109.0,109.13,103.21,69486
2020-07-13,107.4,108.3,109.0,107.0,28098
2020-07-20,109.0,107.08,111.75,106.8,27095
2020-07-27,109.0,109.0,111.0,108.3,24957
2020-08-03,108.8,109.11,109.5,105.0,52585
2020-08-10,107.97,108.82,109.0,106.26,41829
2020-08-17,110.0,107.99,112.5,107.0,57071
2020-08-24,108.76,110.0,110.9,108.49,25982
2020-08-31,108.62,109.0,110.0,108.11,36323
2020-09-07,110.27,108.62,111.0,107.95,76123
2020-09-14,110.5,110.5,110.85,108.5,17123
2020-09-21,108.49,110.02,111.0,106.97,50022
2020-09-28,110.85,108.15,112.0,108.15,31307
2020-10-05,110.6,110.6,113.02,109.2,53248
2020-10-12,110.01,110.6,111.29,109.85,41444
2020-10-19,110.0,110.79,111.0,108.8,54670
2020-10-26,109.5,110.0,110.0,108.25,35483
2020-11-02,110.5,109.5,110.5,108.0,38061
2020-11-09,110.6,110.49,112.65,110.0,75000
2020-11-16,111.5,110.84,112.4,109.92,87816
2020-11-23,112.5,111.43,115.0,111.2,130035
2020-11-30,111.2,112.5,113.05,110.0,60332
2020-12-07,111.75,111.49,111.77,110.05,38069
2020-12-14,112.46,111.77,113.0,111.53,39914
2020-12-21,113.2,112.5,115.0,112.5,73238
2020-12-28,115.0,112.22,115.9,112.22,22293
2021-01-04,112.8,114.5,114.5,112.8,45554
2021-01-11,111.5,112.8,112.96,110.65,65411
2021-01-18,111.95,110.94,112.25,110.65,49879
2021-01-25,112.72,111.95,113.3,111.16,43425
2021-02-01,112.49,111.3,113.0,111.3,63100
2021-02-08,113.99,112.49,114.4,112.0,62685
2021-02-15,115.2,113.99,115.67,113.42,24455
2021-02-22,116.98,115.2,118.2,114.45,89714
2021-03-01,114.94,117.0,117.0,113.56,83649
2021-03-08,113.96,114.94,115.75,113.73,64352
2021-03-15,114.35,114.29,115.8,113.3,71122
2021-03-22,116.3,114.97,116.9,114.3,40987
2021-03-29,114.45,116.5,116.9,114.0,34015
2021-04-05,114.05,114.01,117.01,113.65,54613
2021-04-12,113.9,115.0,115.5,113.45,101198
2021-04-19,113.0,113.9,113.9,111.88,101480
2021-04-26,114.5,113.19,115.4,112.92,71286
2021-05-03,112.23,112.89,113.5,111.17,109399
2021-05-10,108.01,112.25,112.5,107.32,137466
2021-05-17,110.56,108.2,110.76,108.01,125115
2021-05-24,111.79,110.8,112.91,109.91,109820
2021-05-31,111.46,112.69,112.91,110.1,63846
2021-06-07,112.0,111.48,113.0,111.0,49711
2021-06-14,111.98,112.0,112.0,111.6,195503
2021-06-21,111.8,112.23,112.92,108.81,111269
2021-06-28,109.49,110.75,112.04,108.0,82234
2021-07-05,110.0,109.49,111.0,107.03,35669
2021-07-12,111.9,110.44,112.93,109.26,47818
2021-07-19,107.08,111.6,112.5,106.15,125351
2021-07-26,108.49,107.8,109.88,107.04,58849
2021-08-02,106.18,108.0,108.0,105.81,54063
2021-08-09,106.92,106.35,107.89,105.52,46997
2021-08-16,106.85,106.92,107.47,105.01,100632
2021-08-23,106.5,106.3,107.69,105.5,132073
2021-08-30,107.13,106.0,108.0,106.0,83700
2021-09-06,107.85,107.1,108.09,103.39,210813
2021-09-13,106.0,108.0,112.5,105.86,217316
2021-09-20,106.5,106.0,107.0,104.8,213280
2021-09-27,105.1,106.75,107.84,104.65,166105
2021-10-04,105.15,105.53,105.99,102.73,130047
