data,fechamento,abertura,maxima,minima,volume
2017-10-09,107.0,107.5,107.5,106.57,37761
2017-10-16,106.6,107.15,108.0,105.82,47096
2017-10-23,107.0,107.44,107.44,105.0,36352
2017-10-30,106.12,107.0,108.28,106.0,51345
2017-11-06,105.5,106.12,107.2,105.3,14969
2017-11-13,104.41,105.58,105.58,104.4,26431
2017-11-20,105.0,104.41,105.5,103.57,44792
2017-11-27,105.11,105.01,108.55,104.5,62028
2017-12-04,106.0,106.0,106.0,105.0,37713
2017-12-11,106.0,105.99,106.0,104.95,49264
2017-12-18,105.23,105.99,106.0,105.11,47355
2017-12-25,107.01,105.23,107.5,105.23,56481
2018-01-01,108.0,107.01,108.0,106.11,16590
2018-01-08,108.93,107.99,108.98,106.63,26353
2018-01-15,108.0,107.89,108.95,107.3,49581
2018-01-22,107.65,107.99,108.0,107.0,28552
2018-01-29,107.99,107.65,108.0,107.0,51870
2018-02-05,107.4,107.8,108.48,106.99,73364
2018-02-12,107.25,107.4,107.4,107.0,35967
2018-02-19,107.0,107.25,108.48,106.56,88376
2018-02-26,107.5,107.55,109.0,106.98,75464
2018-03-05,108.39,107.5,108.39,106.64,53238
2018-03-12,109.0,108.4,109.98,107.8,73182
2018-03-19,108.34,109.0,109.5,108.0,39361
2018-03-26,108.5,109.0,109.45,107.48,66652
2018-04-02,107.99,108.75,109.0,107.62,66683
2018-04-09,108.45,108.1,108.45,107.5,42785
2018-04-16,108.35,108.44,108.45,107.69,45687
2018-04-23,108.45,108.35,108.45,108.0,34619
2018-04-30,108.0,108.44,108.8,107.51,38585
2018-05-07,108.0,108.0,108.35,107.2,50273
2018-05-14,107.4,108.01,108.35,107.2,34641
2018-05-21,106.86,107.32,108.35,105.72,43431
2018-05-28,107.0,106.96,107.7,106.01,24400
2018-06-04,104.92,106.97,107.0,104.0,26296
2018-06-11,103.1,103.55,104.98,102.8,41075
2018-06-18,104.4,104.46,104.5,103.1,67152
2018-06-25,106.94,104.5,107.0,104.1,55127
2018-07-02,105.01,108.0,108.0,104.61,65265
2018-07-09,106.94,105.01,107.25,105.0,66529
2018-07-16,107.2,106.93,107.45,106.0,95361
2018-07-23,105.84,107.39,107.4,105.5,100923
2018-07-30,105.35,106.02,106.49,104.2,84799
2018-08-06,105.75,105.4,106.0,105.36,57366
2018-08-13,107.4,105.8,107.5,105.3,131121
2018-08-20,106.5,107.59,108.3,106.45,127698
2018-08-27,108.4,106.5,108.99,106.5,71290
2018-09-03,107.8,107.65,108.86,107.21,36269
2018-09-10,109.0,107.7,109.0,107.5,53972
2018-09-17,109.01,109.0,110.49,108.65,56117
2018-09-24,108.0,109.01,109.5,107.83,86297
2018-10-01,106.9,107.92,107.92,103.67,64280
2018-10-08,106.4,106.5,109.0,105.9,62422
2018-10-15,106.99,106.61,107.69,106.4,100474
2018-10-22,108.0,107.49,108.0,106.52,96115
2018-10-29,108.88,107.83,109.23,107.11,47950
2018-11-05,108.02,108.94,108.99,106.62,96685
2018-11-12,109.01,108.65,110.47,108.0,83190
2018-11-19,109.0,109.09,109.5,107.75,68344
2018-11-26,110.26,109.0,114.0,108.85,72129
2018-12-03,112.0,109.42,113.95,109.42,67241
2018-12-10,109.31,112.0,112.0,109.0,65704
2018-12-17,109.0,109.02,110.0,108.7,144962
2018-12-24,109.85,109.0,111.0,108.9,62021
2018-12-31,110.0,109.85,110.0,108.2,38397
2019-01-07,110.09,109.99,110.1,108.5,70505
2019-01-14,111.38,110.09,111.39,109.62,100571
2019-01-21,110.85,111.2,111.43,110.5,44417
2019-01-28,110.44,111.0,112.99,109.5,67963
2019-02-04,108.95,110.44,110.51,108.0,57966
2019-02-11,108.27,108.93,109.42,108.02,64233
2019-02-18,109.98,108.5,110.5,108.4,74354
2019-02-25,111.0,110.5,111.19,109.0,122910
2019-03-04,109.13,111.0,111.0,109.13,43814
2019-03-11,111.0,110.0,112.45,108.59,110722
2019-03-18,110.75,110.99,112.09,109.5,60941
2019-03-25,110.38,110.75,112.29,109.9,40375
2019-04-01,111.3,110.8,111.99,110.03,41730
2019-04-08,111.0,111.3,111.91,109.5,60503
2019-04-15,111.0,111.0,112.0,110.0,43150
2019-04-22,111.88,111.0,112.9,110.8,55458
2019-04-29,109.8,112.0,112.0,109.79,69178
2019-05-06,113.7,110.0,113.98,109.82,117010
2019-05-13,112.8,113.6,113.6,111.05,151680
2019-05-20,114.1,113.11,114.3,112.5,108237
2019-05-27,113.85,114.09,114.15,112.44,99322
2019-06-03,116.6,113.79,117.69,113.0,68842
2019-06-10,117.49,116.6,118.47,115.71,88715
2019-06-17,118.49,117.48,118.49,117.2,92464
2019-06-24,121.5,118.49,122.6,118.49,102250
2019-07-01,121.6,121.4,121.8,118.51,111532
2019-07-08,119.0,121.6,121.8,118.0,77029
2019-07-15,118.25,118.99,119.0,118.0,80397
2019-07-22,118.5,118.25,118.5,116.03,131182
2019-07-29,117.99,118.5,120.0,117.32,93856
2019-08-05,114.69,117.99,118.0,113.31,87692
2019-08-12,114.99,115.0,116.15,113.7,70012
2019-08-19,115.06,114.98,115.2,112.26,79046
2019-08-26,115.0,115.2,116.15,114.0,110633
2019-09-02,115.5,114.98,116.15,113.15,74657
2019-09-09,115.11,115.6,116.0,114.0,62253
2019-09-16,115.3,115.12,116.0,114.7,25217
2019-09-23,116.0,115.3,116.17,114.05,93383
2019-09-30,114.27,116.0,116.29,114.0,70291
2019-10-07,115.6,114.12,115.6,114.05,57634
2019-10-14,117.3,115.01,118.1,115.0,73601
2019-10-21,117.5,117.8,118.19,117.0,56225
2019-10-28,116.8,117.5,118.13,115.9,89119
2019-11-04,116.0,116.8,117.0,114.93,191464
2019-11-11,115.4,116.58,116.6,114.73,131753
2019-11-18,115.7,115.5,116.0,114.51,70397
2019-11-25,116.0,115.51,116.56,114.84,198047
2019-12-02,115.6,115.51,116.49,115.25,138388
2019-12-09,114.9,115.41,115.85,114.56,287778
2019-12-16,115.7,114.9,115.79,113.5,228987
2019-12-23,117.0,115.75,118.0,115.25,137716
2019-12-30,118.75,117.0,119.0,117.0,105817
2020-01-06,119.31,118.0,119.88,118.0,259555
2020-01-13,117.8,119.31,120.0,116.5,210471
2020-01-20,115.9,117.98,118.94,115.51,277268
2020-01-27,116.98,116.0,117.0,115.61,234015
2020-02-03,115.31,116.3,118.46,115.3,227786
2020-02-10,115.85,115.31,116.2,114.91,218250
2020-02-17,118.3,115.85,118.3,115.85,233975
2020-02-24,117.2,118.3,118.3,116.1,106137
2020-03-02,116.26,117.0,117.2,116.0,130145
2020-03-09,109.99,116.02,116.98,107.0,294038
2020-03-16,98.0,108.0,109.99,75.05,474502
2020-03-23,103.45,97.8,103.5,87.02,278216
2020-03-30,106.0,103.0,108.6,102.0,173583
2020-04-06,106.65,106.26,107.48,104.5,88820
2020-04-13,107.59,106.99,108.5,105.52,130880
2020-04-20,105.15,107.12,109.49,104.0,198543
2020-04-27,109.13,105.97,109.89,105.97,179463
2020-05-04,109.2,108.2,111.32,107.39,174188
2020-05-11,107.15,109.99,109.99,106.5,204584
2020-05-18,111.5,107.5,112.0,107.0,141253
2020-05-25,112.98,111.47,113.1,110.53,90211
2020-06-01,112.0,112.0,112.75,109.2,112992
2020-06-08,110.31,111.5,112.5,109.86,153989
2020-06-15,112.0,109.83,113.19,109.82,127428
2020-06-22,113.0,112.75,114.75,112.58,102775
2020-06-29,108.88,113.0,113.0,108.5,220173
2020-07-06,108.97,108.66,109.0,104.85,165435
2020-07-13,109.26,109.0,109.41,107.61,153359
2020-07-20,109.5,109.14,110.63,108.21,124525
2020-07-27,109.5,109.5,111.06,109.1,105679
2020-08-03,110.68,109.49,110.68,106.02,113586
2020-08-10,110.89,110.05,111.0,109.5,131807
2020-08-17,111.0,110.88,112.0,110.5,134928
2020-08-24,110.6,111.05,112.0,109.5,201103
2020-08-31,110.8,110.6,111.51,109.51,97451
2020-09-07,110.62,110.8,112.0,110.0,104766
2020-09-14,110.9,111.0,111.2,110.2,148743
2020-09-21,110.3,111.0,111.75,108.66,203193
2020-09-28,109.29,110.16,111.0,108.5,374090
2020-10-05,108.75,109.36,109.39,107.65,257743
2020-10-12,108.7,108.75,109.4,108.2,178796
2020-10-19,108.39,108.7,108.9,107.8,259336
2020-10-26,109.5,108.5,110.0,107.85,275280
2020-11-02,110.0,109.5,110.39,107.75,238300
2020-11-09,109.9,109.99,110.0,107.9,337889
2020-11-16,110.5,109.9,112.01,109.52,330746
2020-11-23,111.65,110.5,112.55,110.5,521173
2020-11-30,110.95,111.51,112.45,110.5,455962
2020-12-07,112.46,110.95,112.89,110.02,427378
2020-12-14,114.5,112.5,114.5,112.03,351601
2020-12-21,116.15,114.5,116.19,113.8,203128
2020-12-28,115.82,116.14,116.14,114.67,221860
2021-01-04,111.99,115.3,115.68,110.17,466852
2021-01-11,109.6,112.0,112.1,109.0,813027
2021-01-18,113.65,109.95,114.46,109.6,534005
2021-01-25,113.76,113.65,114.09,112.5,376285
2021-02-01,112.4,112.71,112.91,111.5,545925
2021-02-08,114.19,112.51,115.0,112.39,572527
2021-02-15,114.97,114.19,114.97,113.9,291219
2021-02-22,115.97,114.97,116.56,113.75,996308
2021-03-01,115.83,115.5,115.89,114.6,575875
2021-03-08,116.43,115.83,117.74,115.32,640435
2021-03-15,114.14,116.82,117.0,112.9,2046565
2021-03-22,114.99,114.66,115.0,112.9,548685
2021-03-29,115.35,114.99,115.99,114.0,705041
2021-04-05,115.0,115.29,115.99,113.51,522997
2021-04-12,115.1,115.0,115.9,114.51,416127
2021-04-19,114.1,115.13,115.13,114.01,434977
2021-04-26,113.0,114.27,114.87,112.45,852852
2021-05-03,110.45,111.81,111.84,110.1,538982
2021-05-10,108.18,110.68,110.97,107.85,564808
2021-05-17,108.55,107.8,109.05,106.82,480494
2021-05-24,109.5,108.34,109.99,108.2,325469
2021-05-31,107.48,109.5,109.97,107.3,339100
