data,fechamento,abertura,maxima,minima,volume
2016-04-25,119.82,118.0,119.82,117.15,48289
2016-05-02,121.8,119.0,122.01,115.0,61390
2016-05-09,129.95,119.99,129.95,118.07,112410
2016-05-16,129.98,129.0,134.98,126.0,69150
2016-05-23,126.0,129.01,132.0,124.0,51749
2016-05-30,127.99,126.0,130.0,125.31,68341
2016-06-06,133.8,128.5,133.9,127.07,74876
2016-06-13,127.49,132.7,133.5,126.11,58342
2016-06-20,127.5,126.56,130.0,125.01,57548
2016-06-27,129.0,129.0,130.78,127.56,32142
2016-07-04,129.0,129.0,129.0,127.1,37351
2016-07-11,128.95,128.94,129.95,126.5,57230
2016-07-18,135.3,128.5,135.6,128.5,94525
2016-07-25,135.2,134.99,137.95,132.1,142520
2016-08-01,131.65,134.25,135.98,129.0,92339
2016-08-08,132.98,132.01,135.1,131.55,62571
2016-08-15,132.0,132.99,134.5,132.0,79938
2016-08-22,134.2,131.51,134.69,130.2,63084
2016-08-29,133.5,134.7,138.0,133.0,58020
2016-09-05,133.25,134.98,136.0,132.51,45050
2016-09-12,133.5,133.25,134.85,132.21,45806
2016-09-19,134.01,133.5,134.5,133.02,52107
2016-09-26,134.6,133.99,134.86,133.1,65203
2016-10-03,134.6,133.69,135.0,130.0,61582
2016-10-10,135.7,135.01,136.5,134.13,51783
2016-10-17,140.5,135.59,141.99,135.0,77508
2016-10-24,147.25,140.97,149.75,140.6,74202
2016-10-31,146.0,147.23,148.1,143.05,73174
2016-11-07,143.5,144.51,146.0,140.0,38928
2016-11-14,143.48,143.5,145.17,140.0,37061
2016-11-21,140.0,141.0,145.99,139.2,60791
2016-11-28,136.8,142.39,142.39,136.11,73531
2016-12-05,138.57,136.22,140.9,135.22,63617
2016-12-12,140.95,138.55,146.0,136.0,52750
2016-12-19,138.9,141.0,145.0,138.13,45155
2016-12-26,143.5,138.22,144.0,138.22,16307
2017-01-02,143.95,143.51,145.42,140.01,37245
2017-01-09,150.5,144.02,151.5,144.0,72603
2017-01-16,153.5,150.5,157.0,149.1,56953
2017-01-23,151.96,153.0,155.0,150.1,27448
2017-01-30,151.5,151.94,154.8,149.21,44092
2017-02-06,147.49,151.49,151.49,145.02,60162
2017-02-13,144.5,148.0,149.95,142.7,81490
2017-02-20,149.0,144.02,150.5,144.01,63563
2017-02-27,150.0,149.0,152.75,143.0,38027
2017-03-06,151.97,150.49,153.0,148.22,43388
2017-03-13,153.1,151.96,154.75,150.5,49097
2017-03-20,155.59,154.01,155.99,151.53,53681
2017-03-27,153.99,155.59,158.25,150.03,62842
2017-04-03,152.6,153.89,153.89,147.0,51782
2017-04-10,153.0,152.59,154.0,149.01,60194
2017-04-17,150.0,152.99,152.99,148.51,30945
2017-04-24,146.51,150.68,150.68,145.8,72703
2017-05-01,150.0,146.51,150.0,143.5,90509
2017-05-08,151.8,150.2,154.99,148.7,53050
2017-05-15,149.9,155.0,155.0,143.51,98888
2017-05-22,150.0,149.05,151.0,147.0,34996
2017-05-29,152.0,150.0,152.0,149.15,31214
2017-06-05,149.95,152.0,152.19,148.1,49130
2017-06-12,148.7,149.51,151.0,147.59,44900
2017-06-19,148.89,148.6,150.48,147.71,54198
2017-06-26,149.3,149.0,150.79,148.3,51939
2017-07-03,148.1,149.63,149.98,147.0,49960
2017-07-10,148.71,148.0,151.0,147.06,47007
2017-07-17,150.1,149.4,150.79,148.9,43747
2017-07-24,151.06,150.0,152.45,149.0,51452
2017-07-31,151.0,150.53,152.0,147.52,45681
2017-08-07,151.0,150.52,151.69,149.07,57613
2017-08-14,149.97,150.0,150.96,148.55,67063
2017-08-21,150.35,150.01,151.36,149.52,48510
2017-08-28,152.0,150.7,153.42,150.0,69795
2017-09-04,153.6,152.01,154.74,150.12,110532
2017-09-11,157.8,153.84,159.9,152.0,104158
2017-09-18,165.84,158.69,169.97,157.2,126218
2017-09-25,169.05,165.22,170.0,164.5,78849
2017-10-02,166.48,169.3,170.0,165.0,79605
2017-10-09,166.3,168.0,168.2,164.5,42398
2017-10-16,165.0,166.39,166.49,160.27,115223
2017-10-23,168.0,165.4,168.0,163.03,54176
2017-10-30,166.71,167.99,169.5,164.5,38411
2017-11-06,167.2,166.71,169.84,166.51,51058
2017-11-13,168.28,167.19,170.0,165.5,48613
2017-11-20,169.19,168.28,169.93,167.5,63678
2017-11-27,166.31,169.18,169.18,165.5,46611
2017-12-04,167.3,167.28,169.0,162.23,52583
2017-12-11,163.39,168.0,169.0,163.02,71505
2017-12-18,160.0,163.76,164.4,159.01,77555
2017-12-25,164.5,160.0,165.0,160.0,23765
2018-01-01,162.31,164.5,167.9,162.01,62300
2018-01-08,161.75,162.49,162.98,160.12,71370
2018-01-15,160.97,161.01,162.0,159.0,79292
2018-01-22,160.99,161.0,161.8,159.7,54988
2018-01-29,161.0,160.51,163.0,158.06,77711
2018-02-05,161.0,160.3,163.0,160.3,59510
2018-02-12,161.5,161.0,162.35,160.42,42050
2018-02-19,163.0,161.4,163.0,160.51,78339
2018-02-26,165.0,162.5,167.9,161.0,120938
2018-03-05,169.5,165.06,170.0,164.5,131668
2018-03-12,168.58,169.3,169.9,166.5,64213
2018-03-19,169.09,169.0,171.98,168.0,71485
2018-03-26,175.3,171.88,177.0,169.14,77600
2018-04-02,168.8,187.08,187.08,166.0,110575
2018-04-09,166.9,168.35,168.8,166.0,45084
2018-04-16,167.0,166.89,167.79,165.5,39354
2018-04-23,164.0,166.99,167.0,160.02,47939
2018-04-30,166.95,164.15,170.0,164.15,36939
2018-05-07,168.0,166.95,168.0,165.0,39975
2018-05-14,164.5,167.94,169.0,164.5,44571
2018-05-21,163.5,165.45,165.59,161.53,49856
2018-05-28,154.99,163.39,163.45,154.8,48945
2018-06-04,149.69,155.01,158.0,148.0,62571
2018-06-11,149.99,152.01,155.0,145.01,62365
2018-06-18,140.89,149.7,149.7,139.0,76617
2018-06-25,142.49,141.0,143.88,140.0,60176
2018-07-02,144.99,141.5,145.99,139.6,53839
2018-07-09,149.61,144.99,150.9,142.23,51443
2018-07-16,149.44,149.9,150.29,148.01,50493
2018-07-23,147.95,149.99,150.0,147.95,62651
2018-07-30,146.99,148.2,148.99,146.12,48906
2018-08-06,143.99,147.98,148.84,143.99,51915
2018-08-13,142.87,145.69,146.1,141.52,113676
2018-08-20,139.99,143.87,143.99,139.71,90760
2018-08-27,139.4,140.0,141.5,138.16,98055
2018-09-03,139.5,136.96,140.99,136.5,63436
2018-09-10,137.25,140.2,140.99,136.5,94283
