data,fechamento,abertura,maxima,minima,volume
2020-03-23,102.8108,85.1265,104.8479,84.8769,96754
2020-03-30,98.8566,102.8508,102.8608,96.8595,37747
2020-04-06,106.845,98.3873,107.8435,98.3873,76846
2020-04-13,107.2045,107.8336,110.3599,106.0861,78306
2020-04-20,111.8278,107.8535,114.8234,107.2344,68896
2020-04-27,118.8276,113.3156,121.7034,109.8406,34632
2020-05-04,119.8262,118.7278,119.8262,112.0674,58353
2020-05-11,119.8262,119.8262,124.8189,115.3327,71995
2020-05-18,118.568,119.8461,123.371,117.3597,74088
2020-05-25,124.5693,118.578,127.1056,118.578,60029
2020-06-01,120.7848,125.8175,127.8345,116.8405,120967
2020-06-08,123.2911,120.4752,124.8189,119.8262,82547
2020-06-15,123.8204,123.3111,123.8204,119.906,81686
2020-06-22,121.5736,123.2212,124.8189,118.8376,116594
2020-06-29,124.8289,121.1742,126.806,121.0344,72100
2020-07-06,125.9673,124.8389,129.3124,123.8204,121011
2020-07-13,128.6134,127.8146,129.6819,122.0629,99984
2020-07-20,131.1198,128.8131,140.9955,126.0471,96765
2020-07-27,133.8059,131.1198,136.6917,129.9016,72090
2020-08-03,133.8059,133.8159,134.4449,126.4166,76852
2020-08-10,124.3196,133.8059,133.8059,119.8361,171354
2020-08-17,124.4195,125.478,125.478,121.324,126593
2020-08-24,123.3211,124.6791,129.8117,122.4224,74529
2020-08-31,120.5052,123.3211,124.4295,119.6264,162393
2020-09-07,120.5351,120.5052,121.8233,120.0259,136461
2020-09-14,122.5222,120.5451,124.6192,119.8262,198316
2020-09-21,123.1114,123.1214,123.8104,121.344,128497
2020-09-28,125.3082,123.1114,128.9829,121.4039,119303
2020-10-05,124.3596,124.9088,126.816,122.3425,117939
2020-10-12,120.8746,124.3596,124.3596,120.625,202166
2020-10-19,122.6521,121.284,124.3196,121.0244,181626
2020-10-26,119.1771,122.6221,123.0215,118.8276,204283
2020-11-02,119.7962,119.1771,119.8262,117.4895,103433
2020-11-09,119.7762,119.5865,121.1243,118.8276,167541
2020-11-16,118.1286,119.5366,119.7762,117.8291,106896
2020-11-23,116.4311,118.1286,118.3283,113.3356,147004
2020-11-30,115.2628,116.4311,118.2385,114.8833,76542
2020-12-07,112.8063,115.3926,115.6722,108.3927,169959
2020-12-14,115.5124,112.8063,116.0916,112.337,92206
2020-12-21,119.227,115.6422,119.6864,114.8733,55730
2020-12-28,119.6964,119.227,119.6964,118.0387,65544
2021-01-04,119.227,119.6964,119.6964,116.5909,135182
2021-01-11,117.8191,119.1272,119.5266,115.1829,129051
2021-01-18,116.2813,117.8091,118.2285,114.9333,107038
2021-01-25,117.3498,116.2813,118.0987,115.093,64133
2021-02-01,117.5495,117.3398,117.839,114.6137,112981
2021-02-08,118.0288,117.3298,118.8176,116.8305,117860
2021-02-15,118.3283,118.0288,118.3283,117.4796,82168
2021-02-22,117.8291,118.3283,118.8276,115.7021,107568
2021-03-01,114.1544,117.2399,117.9089,112.9362,109380
2021-03-08,116.9703,115.832,117.8291,114.8933,156392
2021-03-15,113.8349,116.5409,116.9403,109.9405,143594
2021-03-22,110.0204,113.8349,113.8349,108.8621,132589
2021-03-29,111.0489,110.3,113.8349,108.8421,118561
2021-04-05,109.5011,111.1488,112.0375,109.0618,179810
2021-04-12,109.0418,110.0304,110.5097,108.233,142604
2021-04-19,107.7337,109.0418,109.0418,105.0875,125418
2021-04-26,111.678,107.7237,111.7978,107.3443,96912
2021-05-03,110.5496,111.4883,111.9875,108.8421,108688
2021-05-10,108.882,110.8492,111.8378,106.845,99902
2021-05-17,107.3243,108.8521,109.8906,106.7252,104014
2021-05-24,104.7381,107.494,107.9035,103.8693,137612
2021-05-31,105.7466,104.9477,106.3158,103.9791,96089
2021-06-07,114.2043,105.8464,115.772,105.5668,189650
2021-06-14,111.1687,114.6337,114.9932,109.8406,127831
2021-06-21,105.7466,111.1687,111.5282,104.049,130405
2021-06-28,103.4499,105.6967,106.815,101.8622,122823
2021-07-05,103.7295,103.7195,103.9092,100.8537,106121
2021-07-12,106.4955,103.7295,107.8435,103.6197,120197
2021-07-19,105.2373,106.6752,107.4541,104.6482,109921
2021-07-26,104.8479,106.845,107.3243,103.8593,95379
2021-08-02,101.9421,104.079,105.2972,101.0035,87822
2021-08-09,101.2531,102.6012,103.5997,99.8851,110369
2021-08-16,101.0234,101.2631,102.042,99.0863,98547
2021-08-23,100.2246,101.2831,101.5926,99.6854,129762
2021-08-30,101.7025,100.2346,102.0519,99.8651,135932
2021-09-06,102.1917,100.8637,104.3286,100.8637,70376
2021-09-13,103.0006,102.3515,103.3201,101.0434,80117
2021-09-20,101.7624,102.5013,103.8493,101.4029,85585
2021-09-27,100.1747,102.1618,102.5113,99.3059,93724
