data,fechamento,abertura,maxima,minima,volume
2019-12-09,105.2192,103.8129,106.2065,103.4738,234535
2019-12-16,105.5283,105.269,106.1666,104.7504,377996
2019-12-23,109.7072,105.7278,109.7072,105.4884,90829
2019-12-30,109.1587,109.7072,109.7072,107.7524,37848
2020-01-06,112.1008,109.1587,119.8601,108.6999,241815
2020-01-13,109.8767,112.1008,112.6992,108.7198,183117
2020-01-20,109.8967,110.6347,111.2331,108.7099,160216
2020-01-27,103.7132,108.7198,110.156,102.9452,155189
2020-02-03,103.6733,103.9226,105.7178,101.9778,92901
2020-02-10,103.2245,103.8329,104.0124,102.6261,104193
2020-02-17,104.7205,103.3242,104.7205,98.9459,242636
2020-02-24,102.9752,104.7205,104.7205,102.2371,55920
2020-03-02,103.7232,103.1248,103.8229,102.277,61551
2020-03-09,99.7438,101.7285,103.2943,92.2538,159287
2020-03-16,76.795,98.7265,99.7338,59.1721,133430
2020-03-23,85.5716,76.6953,89.7205,72.3968,119527
2020-03-30,89.7604,86.5291,91.2465,82.7791,133979
2020-04-06,91.2365,86.9878,95.7445,86.9878,110107
2020-04-13,89.2019,91.3562,91.6354,86.17,58630
2020-04-20,83.8761,90.6481,90.6481,79.787,39902
2020-04-27,88.2644,83.8861,88.7631,82.2904,30578
2020-05-04,88.7631,88.1647,88.7631,86.4493,32024
2020-05-11,87.9951,88.7631,88.7631,83.7864,84550
2020-05-18,84.7239,87.9951,88.9526,82.9785,67016
2020-05-25,85.5616,84.8136,86.1401,83.7764,77385
2020-06-01,96.3828,85.2724,100.7311,84.9732,68905
2020-06-08,95.7445,99.2252,101.7285,94.4479,68509
2020-06-15,97.6394,95.7544,98.896,93.1314,83169
2020-06-22,98.0284,97.6394,98.6367,95.4453,91167
2020-06-29,99.7338,98.0284,101.2298,96.8216,48187
2020-07-06,98.9359,99.7338,100.2325,97.7092,64733
2020-07-13,98.537,98.7365,99.7338,94.4379,136805
2020-07-20,99.6241,99.6241,100.7112,98.4373,84157
2020-07-27,96.7617,99.6241,100.7112,96.2531,83348
2020-08-03,99.6341,98.2278,99.7238,96.2631,78000
2020-08-10,100.7311,99.7338,101.6288,99.2351,83365
2020-08-17,99.1155,101.2298,101.6088,97.8389,117017
2020-08-24,99.6341,99.1254,100.7311,97.7491,88234
2020-08-31,101.6686,100.1228,101.6786,99.1753,75465
2020-09-07,103.025,101.6686,103.2943,101.2298,97583
2020-09-14,102.2272,103.1646,103.1646,101.7285,89983
2020-09-21,101.7385,102.6261,102.9951,101.2897,102271
2020-09-28,102.7059,101.7883,102.7258,100.2225,105580
2020-10-05,103.6234,102.7059,103.7032,101.9579,95840
2020-10-12,102.7258,103.6234,103.8428,102.4366,76150
2020-10-19,101.6686,103.2245,103.2744,101.3894,114324
2020-10-26,99.2351,101.6686,102.2172,97.2704,109958
2020-11-02,100.5915,99.2351,100.9206,99.2351,89061
2020-11-09,100.9306,100.7311,101.7285,100.2425,150686
2020-11-16,101.2298,100.9306,101.7285,99.9333,85557
2020-11-23,101.5091,101.4193,101.529,100.2325,84855
2020-11-30,101.9778,101.6786,103.2345,101.519,116906
2020-12-07,100.3222,103.0051,103.0051,99.7338,160884
2020-12-14,99.7338,100.3322,101.2298,99.3748,135501
2020-12-21,102.6261,100.2325,102.7159,99.7338,75380
