data,fechamento,abertura,maxima,minima,volume
2016-04-25,94.7026,93.2476,95.0321,92.424,1799
2016-05-02,95.0778,94.2542,95.0778,92.8907,1434
2016-05-09,94.7118,95.0778,96.972,93.3483,1613
2016-05-16,94.2542,94.9863,95.0778,93.3483,1069
2016-05-23,94.7118,94.2542,95.0504,93.3391,306
2016-05-30,95.0778,95.0778,95.1693,92.3417,5048
2016-06-06,94.8033,95.0778,95.0778,94.2634,633
2016-06-13,95.1693,94.8856,95.1693,94.8856,912
2016-06-20,95.1693,95.1693,95.1693,95.1693,368
2016-06-27,94.6752,95.1693,95.3523,94.3915,1528
2016-07-04,94.8033,94.8033,94.8033,94.2634,1421
2016-07-11,94.8948,94.8033,95.0778,94.3457,2503
2016-07-18,94.8033,94.8948,94.9405,94.7392,4133
2016-07-25,95.1602,94.849,95.1693,94.8033,3805
2016-08-01,94.8948,94.9863,94.9863,94.7118,1917
2016-08-08,94.8948,94.8948,94.9863,94.785,2615
2016-08-15,94.8948,94.8948,94.8948,94.7118,2765
2016-08-22,94.7118,94.8948,94.9863,94.364,1914
2016-08-29,94.3457,94.8765,95.0504,94.2542,2306
2016-09-05,94.2542,94.3457,94.6569,93.3391,1084
2016-09-12,94.6569,94.3457,94.666,91.5639,2114
2016-09-19,96.5936,94.6203,96.9594,94.602,1536
2016-09-26,96.9687,95.6652,96.9687,94.718,2506
2016-10-03,95.8715,96.9594,96.9875,95.3839,1602
2016-10-10,96.5936,96.5842,97.5314,95.9465,3451
2016-10-17,96.875,97.5314,97.5314,96.3217,2547
2016-10-24,97.5408,97.0625,98.9381,96.2185,7373
2016-10-31,98.9381,98.0003,99.407,96.5936,2453
2016-11-07,98.3754,98.9381,99.407,95.8903,3283
2016-11-14,98.6568,97.5314,101.2826,97.4376,3523
2016-11-21,97.0813,98.563,99.407,96.6499,5632
2016-11-28,97.5408,99.2101,99.407,95.6558,3777
2016-12-05,98.4598,96.5936,99.3039,95.6558,6599
2016-12-12,98.6568,98.4692,98.6568,96.1247,7821
2016-12-19,98.6474,98.6474,98.6474,96.5936,14351
2016-12-26,99.7634,98.638,99.7634,97.0625,4683
2017-01-02,96.603,99.3977,99.3977,96.5936,19488
2017-01-09,98.4692,97.4189,98.9381,97.0625,8641
2017-01-16,98.4692,98.7506,98.8912,98.2629,8217
2017-01-23,99.0788,98.4786,99.407,98.4692,7792
2017-01-30,97.5314,99.2101,99.8759,97.0625,14159
2017-02-06,97.5783,98.3661,98.4692,97.5314,12762
2017-02-13,98.7506,97.6721,99.2664,97.4845,26266
2017-02-20,99.6884,98.7506,99.7821,98.2817,17970
2017-02-27,98.4692,99.6884,99.6884,98.3661,8505
2017-03-06,98.4692,98.4598,98.7506,98.3004,17544
2017-03-13,98.5161,98.5161,98.6568,98.4223,14684
2017-03-20,98.4692,98.4223,98.563,98.2723,15737
2017-03-27,98.9381,98.4692,99.1257,98.4223,17494
2017-04-03,98.6568,98.8819,98.8819,98.0285,14890
2017-04-10,100.3448,98.6568,100.4667,98.4692,20550
2017-04-17,105.6903,100.4667,106.3468,100.4667,19743
2017-04-24,107.8472,105.6903,107.8472,105.0432,19140
2017-05-01,105.1276,107.8472,107.8472,102.2204,21384
2017-05-08,106.8157,105.1276,107.2846,104.1992,13720
2017-05-15,105.9623,107.8191,108.785,104.096,17545
2017-05-22,108.7569,105.7841,108.7569,105.4746,8537
2017-05-29,109.5353,108.7569,109.7041,107.8472,9191
2017-06-05,108.8788,109.6572,109.9479,108.7944,6117
2017-06-12,109.7979,109.7135,109.7979,109.4415,9652
2017-06-19,109.751,109.7416,110.1917,109.6197,22968
2017-06-26,111.9267,110.1542,111.9267,109.7228,14423
2017-07-03,109.5259,111.5984,111.8235,108.7944,16474
2017-07-10,113.052,109.7228,117.2253,109.7228,13286
2017-07-17,117.1315,114.3087,117.1315,113.0052,11196
2017-07-24,117.5629,117.1971,117.6379,116.8314,18499
2017-07-31,110.3766,117.5535,117.5535,109.7228,32701
2017-08-07,110.4166,109.9469,111.9154,109.9369,27484
2017-08-14,110.2067,110.9162,111.2659,110.0269,23295
2017-08-21,113.7041,110.9162,113.9139,110.2167,19375
2017-08-28,115.3229,113.1145,115.5027,112.9846,18088
2017-09-04,114.2137,115.3229,115.3528,113.0846,17056
2017-09-11,121.6881,114.9132,121.9079,113.7241,17474
2017-09-18,119.8894,121.3383,122.3775,119.4098,17032
2017-09-25,120.409,119.8694,120.409,118.2107,14296
2017-10-02,121.798,121.6081,121.8879,116.9117,15621
2017-10-09,124.9056,120.9087,125.1454,120.5189,11345
2017-10-16,129.2024,123.9164,129.692,123.9164,13971
2017-10-23,129.2324,128.9126,130.8811,127.9134,14855
2017-10-30,131.4007,129.9019,132.0003,128.7527,8688
2017-11-06,129.9019,131.4007,131.4007,126.9041,14028
2017-11-13,132.8996,129.9019,134.2486,129.9019,7698
2017-11-20,136.387,132.8996,138.995,132.2101,13244
2017-11-27,136.1971,136.4069,136.5968,133.1594,10111
2017-12-04,134.9181,136.0972,136.1971,132.8996,13919
2017-12-11,136.8866,134.8781,137.3762,133.0994,13136
2017-12-18,136.8966,137.3762,137.8958,135.3977,12573
2017-12-25,139.6845,136.8966,140.8936,133.8988,3797
2018-01-01,139.9942,139.6845,141.8928,135.8973,10251
2018-01-08,142.5923,139.9842,142.882,138.8951,10359
2018-01-15,144.8905,142.5923,144.8905,142.0127,12206
2018-01-22,157.0114,144.8905,158.88,143.6814,10848
2018-01-29,131.091,157.0014,157.0014,116.7818,86439
2018-02-05,126.9041,131.3208,132.7797,125.9049,48604
2018-02-12,126.5044,126.9041,128.0133,125.9049,29301
2018-02-19,125.3553,127.7835,128.2031,123.9164,50031
2018-02-26,120.1192,125.8449,125.9049,118.9102,94433
2018-03-05,122.2077,120.9186,122.8472,119.9094,50084
2018-03-12,121.798,122.2077,123.5766,121.708,94800
2018-03-19,129.712,121.9079,130.0617,121.708,57341
2018-03-26,132.8996,131.6905,134.8481,127.1539,45270
2018-04-02,131.3508,132.3,133.689,130.9211,48928
2018-04-09,131.7904,132.35,132.9995,129.8019,37857
2018-04-16,132.3,131.8004,132.7197,130.9011,31049
2018-04-23,130.1017,132.4999,132.8396,128.433,43951
2018-04-30,129.6021,131.3907,132.4,129.4322,34072
2018-05-07,124.1562,129.9019,130.3016,118.9102,60038
2018-05-14,119.6796,124.7158,124.7158,118.4305,65711
2018-05-21,119.7096,119.6796,120.8287,116.1323,73933
2018-05-28,118.2307,120.2092,121.1585,117.9109,34485
2018-06-04,114.1637,118.9002,119.1899,112.9247,46538
2018-06-11,113.9639,114.4136,116.3621,113.4143,22231
2018-06-18,115.2429,113.9639,116.1023,113.764,30475
2018-06-25,115.9124,115.9224,116.5619,114.0238,38785
2018-07-02,115.113,115.3528,115.3528,114.4136,21271
2018-07-09,115.5127,115.113,115.5127,114.8332,27308
2018-07-16,118.9102,115.5127,119.6096,115.5127,11269
2018-07-23,118.9102,118.9102,118.9102,118.9102,0
2018-07-30,118.9102,118.9102,118.9102,118.9102,0
2018-08-06,118.9102,118.9102,118.9102,118.9102,0
2018-08-13,118.9102,118.9102,118.9102,118.9102,0
2018-08-20,118.9102,118.9102,118.9102,118.9102,0
2018-08-27,118.9102,118.9102,118.9102,118.9102,0
2018-09-03,118.9102,118.9102,118.9102,118.9102,0
2018-09-10,118.9102,118.9102,118.9102,118.9102,0
2018-09-17,118.9102,118.9102,118.9102,118.9102,0
2018-09-24,78.9603,118.9102,118.9102,78.141,74562
2018-10-01,70.097,78.9603,79.9396,65.0808,77683
2018-10-08,71.3561,70.9464,72.5452,68.1985,18663
2018-10-15,70.9664,71.456,73.2946,67.9986,26818
2018-10-22,79.44,71.0463,83.8367,70.6566,22070
2018-10-29,85.6353,79.5399,89.2925,78.5407,48303
2018-11-05,87.9336,86.4347,88.3632,86.3947,27204
2018-11-12,91.9305,88.2333,93.8291,88.2333,30170
2018-11-19,97.7761,91.9505,99.4049,91.9505,29679
2018-11-26,98.4256,98.4856,98.9253,97.926,21684
2018-12-03,90.4317,97.926,97.926,84.4362,32525
2018-12-10,92.3802,90.3317,94.7984,90.2318,19582
2018-12-17,93.919,92.3802,94.029,92.1104,16672
2018-12-24,92.9398,93.919,94.6985,92.9298,15535
2018-12-31,91.1811,92.9398,92.9398,90.9313,10579
2019-01-07,93.7392,91.4409,93.929,90.9913,22542
2019-01-14,93.929,93.919,93.929,92.7599,35216
2019-01-21,98.4256,93.929,98.4256,93.7891,30791
2019-01-28,99.9045,98.2857,100.2243,97.4164,32939
2019-02-04,101.1136,99.5248,101.3634,98.9253,15151
2019-02-11,107.5188,101.6732,107.8385,100.1044,25993
