data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2016-12,101.5212,40772647.57,401617.0,445504.31,8398
2017-03,102.3594,66801099.97,652613.0,20470989.37,11865
2017-06,110.0957,71849906.48,652613.0,3627003.17,14917
2017-09,106.1349,106857641.13,1006810.0,44688311.19,18134
2017-12,107.1205,135502762.21,1264956.0,40807913.53,21405
2018-03,113.1699,226635467.99,2002613.0,94005975.28,25405
2018-06,110.1326,220553023.42,2002613.0,48312753.18,29203
2018-09,99.6923,199645030.79,2002613.0,17467870.38,34072
2018-12,102.1477,204562361.51,2002613.0,13682712.94,46292
2019-06,101.1061,211207928.57,2088973.0,6697048.14,53973
2019-09,124.9718,280693334.44,2246054.0,21839133.93,62012
2019-12,121.0525,296487026.07,2449243.0,16274302.17,76674
2020-03,116.0665,290469512.26,2502613.0,8650109.91,91440
2020-06,112.1133,280576310.25,2502613.0,9843526.01,107105
2020-09,114.544,286659408.3,2502613.0,10338010.45,121477
2020-12,120.9447,349184814.32,2887144.0,53372565.67,139322
2021-03,117.9486,428898912.03,3636321.0,119047876.88,164490
2021-06,118.5383,471039211.8,3973731.0,148104812.24,195863
2021-09,112.0085,464488139.53,4146900.0,109938272.84,224987
2021-12,100.6294,417300264.11,4146900.0,107703652.44,256176
2022-02,111.7398,463373976.33,4146900.0,95752067.87,290247
2022-06,100.1255,415210240.51,4146900.0,122044022.4,327370
2022-09,101.5731,421213345.5,4146900.0,117437009.63,365206
2022-12,105.7329,438463588.45,4146900.0,13316503.65,440151
2023-06,101.0279,424053046.14,4197385.0,1275121.86,491324
2023-09,98.9789,438163267.98,4426834.0,2216390.82,537183
2023-12,113.367,501857043.22,4426834.0,2027554.82,584771
2024-03,109.9311,491063605.99,4467013.0,59759.05,641879
2024-06,109.2075,569232409.26,5212395.0,617544.06,700085
2024-09,108.3753,564894702.53,5212395.0,2582701.98,759766
2024-12,105.9969,552497497.59,5212395.0,8345277.71,880384
2025-06,103.8175,619000725.64,5962395.0,2105063.79,946401
2025-09,103.9956,620062987.41,5962395.0,4571824.56,1014015
2025-12,98.5126,669885651.0,6800000.0,4735876.68,1084066
2026-03,95.0797,646542065.48,6800000.0,7526090.14,1164398
