data,fechamento,abertura,maxima,minima,volume
2016-04-25,8.3326,8.2833,8.3819,8.2675,230116
2016-05-02,8.3769,8.1846,8.3819,8.1846,179816
2016-05-09,8.725,8.376,8.7566,8.3523,180091
2016-05-16,8.7763,8.725,8.8749,8.5801,190829
2016-05-23,8.726,8.7605,8.7753,8.658,109602
2016-05-30,8.6777,8.726,8.7645,8.6452,76207
2016-06-06,8.6609,8.6777,8.7704,8.6609,136718
2016-06-13,8.6471,8.6609,8.6925,8.5811,103679
2016-06-20,8.7122,8.6461,8.7122,8.5998,103729
2016-06-27,8.5801,8.7122,8.7171,8.5613,113221
2016-07-04,8.9735,8.6284,9.0721,8.5791,105808
2016-07-11,8.8256,8.9765,9.0721,8.8059,205097
2016-07-18,8.9341,8.8266,8.9676,8.8256,289765
2016-07-25,9.1609,8.9627,9.1698,8.8808,180182
2016-08-01,8.7812,9.1707,9.1707,8.6708,182899
2016-08-08,8.8838,8.8345,8.9735,8.7872,102086
2016-08-15,8.9538,8.8769,8.9745,8.8453,170660
2016-08-22,8.9587,8.9735,8.9933,8.8848,87230
2016-08-29,8.9045,8.9578,9.0031,8.8749,118341
2016-09-05,9.0031,8.9311,9.0179,8.8828,169281
2016-09-12,8.872,8.9252,9.0179,8.6974,120837
2016-09-19,8.8641,8.872,8.872,8.728,152092
2016-09-26,8.9045,8.7881,8.9637,8.7872,117916
2016-10-03,8.6678,8.9084,8.9084,8.4923,123494
2016-10-10,8.6432,8.7369,8.7763,8.5801,170995
2016-10-17,8.7467,8.6954,8.8227,8.658,275679
2016-10-24,8.8158,8.7477,8.8158,8.6669,87533
2016-10-31,8.7753,8.8158,8.9144,8.6876,115382
2016-11-07,8.6599,8.7714,8.8335,8.582,180081
2016-11-14,8.5791,8.6688,8.7112,8.5781,139163
2016-11-21,8.586,8.6619,8.6757,8.5406,101925
2016-11-28,8.4795,8.5939,8.6452,8.3572,124112
2016-12-05,8.5051,8.4312,8.5929,8.3947,115492
2016-12-12,8.6284,8.5249,8.6284,8.4913,150479
2016-12-19,8.8631,8.5949,8.8651,8.5899,98740
2016-12-26,8.7872,8.8641,8.8749,8.7231,56807
2017-01-02,8.8749,8.7872,8.9725,8.6314,131180
2017-01-09,8.801,8.8591,8.8749,8.7073,301497
2017-01-16,8.9725,8.7862,8.9725,8.7862,224670
2017-01-23,9.0721,8.9242,9.1698,8.9045,134933
2017-01-30,8.9439,9.0751,9.1688,8.8907,122936
2017-02-06,9.0426,8.9449,9.1155,8.8996,222896
2017-02-13,9.0909,9.0495,9.1205,8.9578,204124
2017-02-20,9.3187,9.0889,9.4173,9.0435,188650
2017-02-27,9.4271,9.3187,9.4912,9.1855,89289
2017-03-06,9.4163,9.4261,9.4271,9.2999,84643
2017-03-13,9.4784,9.4163,9.5455,9.3187,160599
