data,fechamento,abertura,maxima,minima,volume
2016-04-25,1625.0,1570.0,1625.0,1565.0,462
2016-05-02,1730.0,1699.89,1790.0,1650.0,403
2016-05-09,1701.0,1729.99,1740.0,1700.0,691
2016-05-16,1739.99,1715.0,1739.99,1710.01,590
2016-05-23,1743.0,1739.98,1743.0,1716.0,414
2016-05-30,1725.0,1745.0,1745.0,1700.0,429
2016-06-06,1760.0,1725.0,1760.0,1720.0,290
2016-06-13,1735.0,1758.0,1770.0,1730.0,375
2016-06-20,1738.97,1749.99,1750.0,1720.0,333
2016-06-27,1748.9,1735.0,1779.97,1724.95,247
2016-07-04,1737.0,1756.0,1760.0,1715.0,282
2016-07-11,1778.0,1759.0,1794.0,1740.0,451
2016-07-18,1799.0,1780.0,1799.98,1777.0,652
2016-07-25,2020.0,1899.99,2049.0,1899.99,519
2016-08-01,2018.0,2009.03,2088.98,2000.0,778
2016-08-08,1978.98,2000.01,2049.49,1951.0,658
2016-08-15,1956.0,1978.98,1978.98,1955.0,461
2016-08-22,1990.0,1956.0,2030.0,1955.0,491
2016-08-29,2045.0,2000.0,2050.0,1955.0,355
2016-09-05,2060.0,2050.0,2090.05,2050.0,211
2016-09-12,2050.1001,2090.05,2100.04,2050.1001,330
2016-09-19,2100.04,2050.0,2100.04,2050.0,615
2016-09-26,2220.0,2100.04,2348.0,2081.0,207
2016-10-03,2030.0,2081.0,2100.0,2001.03,1177
2016-10-10,2033.0,2030.0699,2038.98,2023.01,349
2016-10-17,2038.0,2025.0,2080.0,2025.0,526
2016-10-24,2060.0,2040.04,2070.0,2002.02,216
2016-10-31,2045.0,2070.0,2079.0,2025.0,174
2016-11-07,2050.0,2051.01,2100.0,2050.0,420
2016-11-14,2020.0,2050.0,2059.96,1976.0,425
2016-11-21,2013.0,2034.5,2060.0,2011.01,195
2016-11-28,1980.0,2013.01,2024.99,1980.0,274
2016-12-05,1978.0,1995.98,1995.98,1950.0,301
2016-12-12,1982.0,1978.0,1986.01,1950.0,298
2016-12-19,1950.0,1988.0,1995.0,1950.0,600
2016-12-26,1971.0,1947.01,2000.0,1940.0,573
2017-01-02,1985.0,1971.0,2050.0,1960.03,405
2017-01-09,2025.0,1985.0,2025.77,1967.0,1129
2017-01-16,2150.0,2035.0,2200.0,2030.0,592
2017-01-23,2150.0,2160.0,2160.0,2100.0,223
2017-01-30,2190.0,2150.0,2195.0,2146.1599,125
2017-02-06,2195.0,2172.0,2195.0,2172.0,209
2017-02-13,2195.01,2194.03,2200.01,2191.0,444
2017-02-20,2300.0,2199.99,2377.99,2193.01,362
2017-02-27,2285.0,2300.0,2300.0,2240.02,143
2017-03-06,2490.0,2300.0,2500.0,2300.0,684
2017-03-13,2492.0,2490.0,2579.98,2480.0,174
2017-03-20,2570.0,2589.99,2611.0,2520.04,88
2017-03-27,2548.0,2559.99,2560.0,2450.0,193
2017-04-03,2520.0,2512.5,2555.0,2458.0,185
2017-04-10,2530.0,2528.95,2530.0,2485.0,126
2017-04-17,2530.01,2530.0,2585.01,2504.0,67
2017-04-24,2640.03,2600.0,2799.0,2560.0,53
2017-05-01,2700.0,2640.03,2799.0,2640.03,168
2017-05-08,2629.5,2700.0,2700.0,2590.0,364
2017-05-15,2590.0,2630.0,2679.99,2500.0,387
2017-05-22,2600.0,2590.01,2601.02,2562.0,205
2017-05-29,2560.0,2600.0,2600.0,2531.0,284
2017-06-05,2560.0,2570.53,2645.0,2551.0,451
2017-06-12,2559.95,2560.0,2560.0,2536.0,168
2017-06-19,2550.0,2560.0,2595.0,2549.0,374
2017-06-26,2530.0,2599.99,2619.99,2520.0,281
2017-07-03,2610.0,2588.0,2620.0,2520.51,235
2017-07-10,2650.0,2610.01,2679.0,2600.0,354
2017-07-17,2745.0,2640.0,2800.0,2639.8899,192
2017-07-24,2741.0,2744.99,2779.0,2650.03,206
2017-07-31,2805.0,2741.01,2900.0,2741.0,364
2017-08-07,2890.0,2805.0,2900.0,2805.0,233
2017-08-14,2850.0,2848.99,2899.99,2845.0,239
2017-08-21,2860.02,2855.0,2899.95,2817.03,149
2017-08-28,2947.99,2880.0,2950.0,2880.0,101
2017-09-04,3069.8999,2989.0,3100.0,2948.0,309
2017-09-11,3085.0,3070.0,3100.0,3050.0,279
2017-09-18,3295.0,3100.0,3295.0,3085.0,218
2017-09-25,3285.0,3280.0,3300.0,3215.2,199
2017-10-02,3350.0,3265.0,3380.0,3265.0,246
2017-10-09,3400.0,3400.0,3450.0,3350.0,167
2017-10-16,3395.0,3450.0,3450.0,3350.02,154
2017-10-23,3285.0,3390.0,3419.99,3250.0,269
2017-10-30,3280.0,3284.99,3329.98,3150.0,228
2017-11-06,3168.99,3280.0,3289.99,3149.98,277
2017-11-13,3100.0,3160.0,3160.0,3099.99,94
2017-11-20,3215.0,3100.0,3215.0,3100.0,175
2017-11-27,3160.0,3214.99,3239.97,3130.0601,116
2017-12-04,3160.0,3179.99,3239.99,3160.0,139
2017-12-11,3173.99,3229.99,3229.99,3004.05,108
2017-12-18,3085.0,3121.01,3200.0,3062.8899,328
2017-12-25,3140.05,3085.0,3200.0,3085.0,193
2018-01-01,3125.01,3140.05,3248.8899,3125.01,281
2018-01-08,3180.0,3126.01,3180.0,3122.0,157
2018-01-15,3210.0,3180.0,3239.99,3150.0,133
2018-01-22,3219.9399,3230.0,3239.99,3152.01,121
2018-01-29,3190.01,3219.9399,3255.99,3190.0,175
2018-02-05,3245.0,3190.01,3245.0,3170.0,291
2018-02-12,3253.0,3245.0,3253.0,3180.01,244
2018-02-19,3269.98,3253.0,3337.99,3200.0,248
2018-02-26,3185.0,3270.0,3294.8999,3180.02,155
2018-03-05,3172.05,3222.0,3268.99,3150.0,199
2018-03-12,3249.0,3172.0601,3249.99,3172.0,225
2018-03-19,3259.0,3249.0,3259.0,3202.01,136
2018-03-26,3269.99,3258.99,3269.99,3201.0,121
2018-04-02,3390.0,3279.0,3397.99,3269.0,158
2018-04-09,3350.0,3390.01,3400.0,3280.0,170
2018-04-16,3350.0,3400.0,3400.0,3283.0,98
2018-04-23,3388.0,3349.99,3388.0,3282.01,55
2018-04-30,3338.99,3380.0,3388.0,3292.0601,78
2018-05-07,3328.99,3305.0,3350.0,3235.0,175
2018-05-14,3250.0,3328.99,3328.99,3230.0,195
2018-05-21,3075.0,3309.99,3310.0,3000.0,301
2018-05-28,3079.0,3075.0,3100.0,2886.0,139
2018-06-04,2950.0,3078.99,3089.99,2900.0,323
2018-06-11,2830.0,2921.01,2994.8899,2773.0,240
2018-06-18,2900.0,2870.0,2919.99,2869.99,178
2018-06-25,2960.0,2889.99,2980.0,2829.0,129
2018-07-02,3029.99,2940.0,3069.99,2940.0,84
2018-07-09,3000.0,3029.99,3125.0,2980.0,140
2018-07-16,2867.9399,2950.0,2970.0,2750.0,538
2018-07-23,2805.0,2867.9399,2900.01,2805.0,154
2018-07-30,2850.0601,2850.0,2898.0,2830.01,223
2018-08-06,2800.0,2850.1001,2884.99,2750.01,299
2018-08-13,2755.0,2751.01,2820.0,2751.0,415
2018-08-20,2760.0,2780.0,2829.8999,2740.0,235
2018-08-27,2850.0,2799.99,2874.96,2799.99,160
2018-09-03,2773.99,2800.0,2816.99,2700.0,147
2018-09-10,2717.0,2779.99,2790.0,2710.01,96
2018-09-17,2799.0,2713.0,2800.0,2713.0,162
2018-09-24,2794.99,2797.0,2800.0,2730.0,159
2018-10-01,2806.0,2789.99,2850.0,2780.02,139
2018-10-08,2839.0,2806.0,2848.99,2750.0,142
2018-10-15,2900.0801,2840.0,3000.0,2820.0,260
2018-10-22,2902.0,2998.9399,3093.99,2850.0,175
2018-10-29,2999.99,2933.54,2999.99,2851.0,93
2018-11-05,3035.5,2999.96,3040.0,2910.0,236
2018-11-12,3020.0,3040.0,3059.5,2901.9399,175
2018-11-19,2990.0,3020.0,3045.0,2966.05,184
2018-11-26,3000.0,3019.99,3019.99,2990.0,160
2018-12-03,2999.0,3000.0,3010.0,2980.0,243
2018-12-10,2990.1001,2991.01,3000.0,2971.05,211
2018-12-17,3004.0,2999.99,3014.99,2991.52,202
2018-12-24,3000.0,3004.0,3059.98,2980.04,541
2018-12-31,3010.0,3000.0,3025.01,2986.0,240
2019-01-07,3040.0,3012.0,3059.5901,3010.1101,169
2019-01-14,3030.0,3049.0,3059.0,3001.0,302
2019-01-21,3057.49,3029.99,3060.0,3014.98,142
2019-01-28,3068.98,3058.5,3075.5901,3040.0,134
2019-02-04,3066.5,3066.0,3079.0,3052.0,159
2019-02-11,3055.01,3055.0,3086.0,3055.0,158
2019-02-18,3074.98,3056.0,3079.98,3015.0,208
2019-02-25,3019.99,3078.99,3078.99,2991.0,148
2019-03-04,3072.99,3019.99,3072.99,3012.0,95
2019-03-11,3090.0,3070.0,3170.0,3068.0,165
2019-03-18,3158.02,3141.0,3211.22,3132.0,135
2019-03-25,3201.0,3170.01,3279.99,3170.0,255
2019-04-01,3220.0,3210.01,3280.0,3200.0,252
2019-04-08,3192.0,3225.0,3230.0,3098.0,313
2019-04-15,3159.95,3200.0,3200.0,3126.1101,110
2019-04-22,3121.9399,3130.0,3174.99,3030.0,258
2019-04-29,3076.01,3130.01,3130.01,3040.0,267
2019-05-06,3045.0,3076.01,3105.99,3000.01,292
2019-05-13,3053.24,3038.99,3120.0,3014.01,201
2019-05-20,3075.0,3053.1001,3114.0,3049.96,154
2019-05-27,3083.8799,3075.0,3090.0,3061.02,155
2019-06-03,3150.0,3090.01,3150.0,3083.8799,310
2019-06-10,3090.99,3149.0,3183.6101,3050.0,367
2019-06-17,3130.0,3091.0,3159.8999,3090.99,193
2019-06-24,3171.0,3102.03,3174.6799,3010.0,265
2019-07-01,3213.48,3175.0,3249.99,3160.0,196
2019-07-08,3300.0,3217.99,3330.0,3213.3999,180
2019-07-15,3379.99,3325.0,3450.0,3230.01,176
