data,fechamento,abertura,maxima,minima,volume
2020-07-27,99.9,100.51,100.59,96.11,159880
2020-08-03,98.8,99.99,100.05,98.0,186821
2020-08-10,99.5,99.5,99.9,98.5,133096
2020-08-17,99.0,99.47,100.0,98.04,197937
2020-08-24,98.65,99.0,99.39,98.05,119319
2020-08-31,98.36,98.73,99.15,96.0,196031
2020-09-07,98.99,98.99,99.76,98.0,157689
2020-09-14,99.98,98.99,99.99,98.36,137254
2020-09-21,99.99,99.99,100.29,98.5,96280
2020-09-28,100.19,99.98,100.99,98.8,115935
2020-10-05,99.7,100.0,100.36,99.31,100941
2020-10-12,98.98,100.0,100.0,97.02,90023
2020-10-19,99.07,98.99,100.15,97.15,115044
2020-10-26,97.13,99.0,99.77,96.07,138188
2020-11-02,99.9,99.56,100.0,97.9,78545
2020-11-09,98.21,99.89,99.99,98.07,90441
2020-11-16,97.57,98.89,99.0,97.48,104831
2020-11-23,97.29,97.89,98.44,96.65,147694
2020-11-30,96.96,97.3,97.5,95.0,243034
2020-12-07,94.8,96.96,96.96,92.26,109240
2020-12-14,96.78,96.5,97.0,95.9,179082
2020-12-21,96.8,96.77,96.8,95.02,73846
2020-12-28,96.85,96.8,96.85,96.3,65770
2021-01-04,96.1,96.85,97.98,95.61,135428
2021-01-11,94.01,96.39,96.41,93.9,166982
2021-01-18,93.7,94.28,95.0,92.0,361078
2021-01-25,96.0,93.7,96.99,93.7,173101
2021-02-01,96.9,95.98,97.0,95.01,71915
2021-02-08,97.4,96.89,97.85,96.0,97069
2021-02-15,99.24,97.4,100.0,97.2,85891
2021-02-22,97.63,99.24,99.24,94.93,135139
2021-03-01,95.35,100.0,100.0,94.62,149017
2021-03-08,95.3,95.35,97.45,95.3,116165
2021-03-15,96.69,96.42,96.95,95.5,155118
2021-03-22,95.75,96.68,96.7,95.5,104378
2021-03-29,95.55,96.47,97.82,95.46,71127
2021-04-05,96.87,96.0,97.47,95.65,106234
2021-04-12,96.6,97.0,97.0,95.55,99487
2021-04-19,95.81,96.98,97.0,95.6,79201
2021-04-26,96.65,96.02,97.0,95.81,134517
2021-05-03,96.3,96.71,97.0,96.04,106145
2021-05-10,95.49,96.31,96.61,94.8,103438
2021-05-17,93.4,95.49,95.93,93.4,108682
2021-05-24,95.0,93.51,95.0,90.0,124693
2021-05-31,95.99,94.99,95.99,91.42,102983
2021-06-07,95.3,95.99,96.0,94.52,95589
2021-06-14,94.3,95.41,96.0,93.5,93454
2021-06-21,94.95,94.95,95.84,92.22,156618
2021-06-28,94.39,94.0,95.99,90.0,125060
2021-07-05,95.2,94.1,95.25,94.0,88884
2021-07-12,97.25,95.2,97.8,94.72,154127
2021-07-19,95.95,97.25,98.95,95.0,146255
2021-07-26,96.2,96.67,96.97,93.44,119605
2021-08-02,95.5,96.13,96.13,94.69,119155
2021-08-09,94.74,95.5,95.8,94.5,167206
2021-08-16,92.0,95.5,95.56,90.9,123142
2021-08-23,94.95,92.6,95.56,92.6,95142
2021-08-30,91.25,94.95,95.5,89.76,153962
2021-09-06,89.2,92.0,93.0,87.51,153702
2021-09-13,87.52,89.89,91.29,86.4,287591
2021-09-20,87.0,88.0,88.03,85.24,195733
2021-09-27,86.33,87.6,87.96,84.11,147521
2021-10-04,86.21,86.41,86.94,85.8,132179
2021-10-11,87.66,86.21,88.0,86.01,113338
2021-10-18,86.57,87.9,87.9,85.95,158881
2021-10-25,87.99,86.94,88.0,86.0,143481
2021-11-01,87.84,87.8,89.43,86.0,118230
2021-11-08,86.33,87.95,89.87,85.91,107192
2021-11-15,83.05,86.34,87.0,82.33,98346
2021-11-22,84.45,83.04,84.87,80.01,144486
2021-11-29,89.1,84.45,89.88,82.67,149535
2021-12-06,93.0,88.03,93.0,86.75,164046
2021-12-13,91.5,92.49,92.77,88.9,123618
2021-12-20,89.91,91.51,92.55,89.47,87126
2021-12-27,95.0,90.0,95.0,89.02,85818
2022-01-03,89.0,93.99,94.44,89.0,101831
2022-01-10,87.99,89.11,89.81,87.05,124044
2022-01-17,88.26,88.01,90.9,87.36,141963
2022-01-24,86.68,88.62,89.97,85.3,140014
2022-01-31,87.69,86.8,89.98,86.8,140338
2022-02-07,87.75,87.69,88.96,86.77,167729
2022-02-14,87.8,87.75,89.47,86.17,155345
2022-02-21,88.4,87.8,89.39,86.61,125166
2022-02-28,87.94,87.85,88.39,86.35,100727
2022-03-07,87.5,87.94,88.5,87.0,133205
2022-03-14,87.15,87.6,88.0,86.84,94140
2022-03-21,90.6,87.64,91.85,87.0,161624
2022-03-28,93.99,90.58,94.5,89.4,201923
2022-04-04,92.68,93.98,94.29,92.05,109246
2022-04-11,92.68,92.68,94.0,92.5,99565
2022-04-18,93.33,92.8,93.82,92.16,101306
