data,fechamento,abertura,maxima,minima,volume
2018-08-13,80.3,80.3,80.3,80.3,128
2018-08-20,80.3,80.3,80.3,80.3,0
2018-08-27,80.3,80.3,80.3,80.3,0
2018-09-03,80.3,80.3,80.3,80.3,0
2018-09-10,80.3,80.3,80.3,80.3,0
2018-09-17,80.8,80.3,80.8,80.3,22
2018-09-24,82.0,80.8,82.0,80.8,21
2018-10-01,82.0,82.0,82.0,82.0,0
2018-10-08,84.0,82.0,84.0,74.51,12
2018-10-15,84.0,84.0,84.0,84.0,0
2018-10-22,75.15,84.0,84.0,74.56,3
2018-10-29,83.99,75.15,83.99,75.15,2
2018-11-05,90.0,83.99,90.0,83.99,4
2018-11-12,90.0,90.0,90.0,90.0,0
2018-11-19,80.11,80.11,80.11,80.11,1
2018-11-26,80.11,80.11,80.11,80.11,0
2018-12-03,82.0,80.11,82.0,80.11,3
2018-12-10,82.0,82.0,82.0,82.0,0
2018-12-17,82.0,82.0,82.0,82.0,0
2018-12-24,81.0,82.0,82.0,81.0,32177
2018-12-31,81.0,81.0,81.0,81.0,0
2019-01-07,81.0,81.0,81.0,81.0,0
2019-01-14,82.0,82.0,82.0,82.0,1
2019-01-21,82.0,82.0,82.0,82.0,0
2019-01-28,82.0,82.0,82.0,82.0,0
2019-02-04,82.0,82.0,82.0,82.0,0
2019-02-11,82.0,82.0,82.0,82.0,0
2019-02-18,82.0,82.0,82.0,82.0,0
2019-02-25,82.0,82.0,82.0,82.0,0
2019-03-04,82.0,82.0,82.0,82.0,0
2019-03-11,82.0,82.0,82.0,82.0,0
2019-03-18,80.0,82.0,82.0,80.0,1
2019-03-25,80.02,80.02,80.02,80.02,3
2019-04-01,80.02,80.02,80.02,80.02,0
2019-04-08,80.02,80.02,80.02,80.02,0
2019-04-15,80.02,80.02,80.02,80.02,0
2019-04-22,80.8,80.8,80.8,80.8,2504
2019-04-29,80.06,80.06,80.06,80.06,1
2019-05-06,80.06,80.06,80.06,80.06,0
2019-05-13,82.0,95.0,95.0,82.0,2
2019-05-20,85.0,85.0,85.0,85.0,4
2019-05-27,90.0,85.0,90.0,85.0,4
2019-06-03,90.0,90.0,90.0,90.0,0
2019-06-10,87.5,80.75,87.5,80.1,10862
2019-06-17,86.0,80.5,87.5,80.5,234
2019-06-24,86.0,86.0,86.5,81.5,184
2019-07-01,82.0,86.0,86.0,81.5,9
2019-07-08,83.5,82.0,84.5,82.0,13
2019-07-15,84.8,83.5,84.8,83.5,5
2019-07-22,84.8,84.8,84.8,81.51,13
2019-07-29,81.56,84.8,84.8,81.56,1
2019-08-05,88.0,81.56,88.0,81.56,11
2019-08-12,87.0,88.0,88.0,87.0,7
2019-08-19,86.51,87.0,87.0,82.0,68
2019-08-26,86.51,86.51,86.51,86.51,0
2019-09-02,86.51,86.51,86.51,86.51,0
2019-09-09,82.26,89.0,89.0,82.26,14
2019-09-16,82.3,82.26,82.3,82.26,1
2019-09-23,88.0,82.3,88.0,82.3,10
2019-09-30,88.0,88.0,88.0,88.0,5
2019-10-07,82.3,82.3,82.3,82.3,62
2019-10-14,89.0,89.0,89.0,89.0,10
2019-10-21,89.0,89.0,89.0,89.0,0
2019-10-28,89.0,89.0,89.0,89.0,0
2019-11-04,87.99,89.0,89.0,87.99,263
2019-11-11,87.0,87.99,87.99,87.0,43
2019-11-18,87.5,87.0,87.5,87.0,964
2019-11-25,89.0,90.0,90.0,87.01,57759
2019-12-02,90.1,89.0,90.1,86.5,31474
2019-12-09,91.99,90.5,93.0,90.0,21633
2019-12-16,93.5,92.0,97.0,86.4,68920
2019-12-23,98.0,93.55,102.5,93.0,55293
2019-12-30,103.49,100.39,103.83,96.69,32498
2020-01-06,102.89,104.0,105.5,99.0,114260
2020-01-13,93.89,102.89,103.03,92.0,294256
2020-01-20,92.7,93.84,94.07,92.0,257477
2020-01-27,91.26,92.65,93.19,90.01,136314
2020-02-03,91.23,91.0,92.48,90.17,191111
2020-02-10,91.8,91.48,97.0,87.92,131497
2020-02-17,90.7,91.82,92.37,89.6,127549
2020-02-24,87.7,90.7,90.7,87.0,87044
2020-03-02,88.8,87.7,89.93,87.3,192924
2020-03-09,82.0,88.8,93.0,78.78,180203
2020-03-16,68.01,80.0,83.0,43.2,118493
2020-03-23,74.0,68.1,82.0,65.0,92327
2020-03-30,74.5,74.01,78.0,73.5,93197
2020-04-06,77.4,77.96,78.3,74.53,60348
2020-04-13,77.53,77.4,79.89,77.0,104617
2020-04-20,75.02,77.54,80.0,75.0,130937
2020-04-27,77.43,75.5,78.48,75.02,83628
2020-05-04,77.35,78.64,79.08,76.91,103477
2020-05-11,75.09,78.0,78.49,74.1,138806
2020-05-18,76.0,77.7,77.98,75.5,99434
2020-05-25,77.74,76.92,78.5,76.22,127517
2020-06-01,86.9,77.78,86.96,77.51,183152
