data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2018-09,78.7541,96000669.02,1218992.138,1685974.16,33874
2018-12,78.6186,96886449.48,1232360.438,3138508.76,39349
2019-03,80.616,108563059.05,1346668.9381,10929037.87,46428
2019-06,80.8752,132185694.19,1634439.9381,21887891.87,53899
2019-09,80.6991,229058206.34,2838425.0,63083779.03,62106
2019-12,86.7317,741791361.28,8552711.938,437952985.38,76724
2020-03,83.1849,711456529.83,8552711.9381,158544053.89,91272
2020-06,86.9699,743828611.11,8552711.9381,140801564.64,106915
2020-09,85.8742,734457632.75,8552711.9381,156226394.73,121870
2020-12,88.3962,756027656.76,8552711.9381,10842764.38,139495
2021-03,87.4114,747604356.35,8552711.9381,183170245.4,164968
2021-06,85.5913,1042431997.69,12179186.9381,263128830.34,194668
2021-09,85.3528,1039528286.23,12179186.9381,21356755.47,224561
2021-12,84.0817,1024046383.21,12179186.9381,24538777.23,258175
2022-03,82.2184,1001353484.32,12179186.9381,12524739.27,291420
2022-06,81.9465,998042143.93,12179186.938,24430817.83,327153
2022-09,83.4724,1016626171.93,12179186.9381,31916450.31,363971
2022-12,81.7031,995077383.3,12179186.9381,33232106.77,401984
2023-03,77.6364,945548836.61,12179186.9381,17955192.68,446429
2023-06,82.0842,999718628.52,12179186.9381,15534788.55,492039
2023-09,81.7594,995762425.47,12179186.9381,19841439.04,536702
2023-12,78.5243,956361860.81,12179186.9381,6755199.32,584189
2024-03,79.7742,971584910.25,12179186.9381,17589868.8,639626
2024-06,78.3518,954261355.64,12179186.9381,23311744.97,698090
2024-09,77.8844,948568886.96,12179186.9381,16236144.37,758512
2024-12,75.4291,918665066.98,12179186.9381,8719990.59,820752
2025-03,75.1382,915122226.11,12179187.0,5679882.74,880009
2025-06,76.0189,925847836.27,12179186.9381,14557526.71,946683
2025-09,76.9,936579330.17,12179186.9381,9562133.97,1012586
2025-12,81.8422,996771305.63,12179186.9381,10822481.31,1085421
2026-03,81.6458,994378955.42,12179186.9381,32568045.59,1164593
