data,fechamento,abertura,maxima,minima,volume
2018-04-30,100.7992,99.1059,100.7992,99.1059,5934
2018-05-07,97.4226,99.6039,99.9924,97.4226,6895
2018-05-14,97.4226,96.6158,98.7971,96.6158,4812
2018-05-21,93.9663,98.6079,98.6079,93.9663,4279
2018-05-28,98.2991,92.6316,98.7872,91.4862,12480
2018-06-04,93.1396,97.8111,97.8111,91.9842,7894
2018-06-11,89.5439,93.2392,94.4345,87.6515,5642
2018-06-18,91.785,90.4105,91.785,86.7849,9115
2018-06-25,96.7951,91.785,96.7951,91.2472,10471
2018-07-02,94.0859,96.6058,97.6019,92.4822,4657
2018-07-09,94.6237,94.0859,94.6237,93.1297,6064
2018-07-16,94.2851,94.6237,96.1178,93.8269,8878
2018-07-23,93.0301,94.9624,95.1217,92.3328,5224
2018-07-30,96.1178,92.8408,96.1178,92.8408,15317
2018-08-06,95.2512,96.1078,99.0959,94.4544,7451
2018-08-13,96.6158,98.5481,98.5481,95.9385,6517
2018-08-20,97.4624,97.2831,97.6118,96.6158,5215
2018-08-27,97.313,97.5521,97.5919,96.1178,6925
2018-09-03,96.6158,97.6118,97.6118,96.6158,7790
2018-09-10,98.3091,96.6158,98.6079,96.6158,15677
2018-09-17,97.3031,98.2991,98.3091,96.1178,13758
2018-09-24,96.0182,98.1597,98.2493,92.801,19889
2018-10-01,98.0103,96.3668,98.0103,95.6198,14561
2018-10-08,99.584,98.0103,100.4804,96.6158,72149
2018-10-15,101.596,99.6039,103.3889,99.6039,62193
2018-10-22,102.0841,101.596,102.592,100.6,50524
2018-10-29,100.8988,102.0741,102.094,100.7494,37879
2018-11-05,100.3908,100.9486,101.5761,99.7135,51977
2018-11-12,100.6,100.2514,101.0681,97.6118,32981
2018-11-19,100.6996,100.9884,101.4366,100.1418,30646
2018-11-26,100.6,100.4107,100.8988,99.6139,82755
2018-12-03,102.8809,100.7992,104.5841,99.6139,74927
2018-12-10,102.5821,102.8709,103.0901,101.098,48205
2018-12-17,105.2813,102.602,107.5722,101.596,48488
2018-12-24,107.6718,105.2813,112.5524,104.0861,63676
2018-12-31,112.5425,107.6718,116.0186,107.6718,31061
2019-01-07,104.5841,112.5325,112.5524,103.598,120702
2019-01-14,105.3013,104.5941,106.5364,103.4885,125003
2019-01-21,104.624,105.3013,106.377,104.5841,69448
2019-01-28,107.5523,104.6439,107.5523,104.4845,93358
2019-02-04,108.1699,107.5523,110.4508,106.5862,87440
2019-02-11,106.5662,108.1599,108.1699,104.5841,75985
2019-02-18,106.4268,106.5662,107.5523,105.0323,74893
2019-02-25,107.7714,106.4168,108.4886,105.5802,57046
2019-03-04,107.622,107.7714,109.5245,107.5224,36569
2019-03-11,108.9468,108.4687,110.5404,106.5762,54654
2019-03-18,105.2315,108.9468,110.5504,104.9825,74990
2019-03-25,103.4885,105.2216,105.2813,102.7912,102520
2019-04-01,104.3451,103.5881,104.4048,103.11,118775
2019-04-08,106.0782,104.3849,106.3471,104.0961,54213
2019-04-15,106.0483,106.0682,106.377,104.5941,33000
2019-04-22,106.7754,105.9786,106.7754,104.0861,63244
2019-04-29,109.4548,106.7754,109.4548,106.1081,36689
2019-05-06,107.5722,109.4548,109.4647,106.377,42419
2019-05-13,107.5623,107.3431,108.0603,104.1957,45906
2019-05-20,102.9407,104.0861,104.0861,102.3032,228364
2019-05-27,105.6001,102.8909,105.62,102.8909,106034
2019-06-03,104.9427,105.7296,106.367,104.5941,123575
2019-06-10,104.4248,105.2813,105.5702,103.8869,97335
2019-06-17,105.361,104.5742,105.5602,104.2853,67096
2019-06-24,107.5523,105.2813,108.1898,104.4845,95735
2019-07-01,107.5025,107.5523,108.0703,106.5662,94591
2019-07-08,104.4845,107.5324,108.0005,104.0961,149063
2019-07-15,104.9626,104.4845,105.63,104.3351,115921
2019-07-22,105.0821,104.9626,105.4706,104.3351,102754
2019-07-29,107.5722,105.0821,107.6718,105.0821,90897
2019-08-05,107.5722,107.4726,109.0464,106.2774,80986
2019-08-12,105.5602,107.0045,107.5722,105.122,61476
2019-08-19,104.1658,105.361,106.6658,102.1538,101933
2019-08-26,106.4766,104.5841,106.4766,103.0901,62703
2019-09-02,105.1917,106.5264,106.5563,104.6837,79560
2019-09-09,105.3411,105.2017,105.8391,103.5881,83891
2019-09-16,103.3889,104.7833,104.7833,103.0901,92810
2019-09-23,103.5881,103.3889,103.7873,102.5522,132906
2019-09-30,103.2893,103.598,103.7773,102.4327,143323
2019-10-07,102.3928,103.2893,104.2953,102.1538,125889
2019-10-14,103.1598,102.4227,103.6877,102.1139,95423
2019-10-21,102.8909,103.1598,104.5841,102.8909,105188
2019-10-28,104.4746,103.2395,104.4746,102.4924,106818
2019-11-04,105.8989,104.4845,106.0583,104.0861,102096
2019-11-11,105.4806,106.0583,106.5364,104.5841,71240
2019-11-18,105.3311,105.0921,105.5802,103.598,83779
2019-11-25,103.2893,103.7972,104.5742,103.2893,138234
2019-12-02,105.2315,103.349,105.4706,103.2992,141420
2019-12-09,104.5941,105.2913,106.0782,103.0303,142238
2019-12-16,105.0025,105.0821,105.2813,103.7474,117624
2019-12-23,110.2217,104.5343,111.0385,104.5343,78982
2019-12-30,111.0584,109.5743,112.5425,109.3153,70606
2020-01-06,109.6141,111.0584,112.652,104.6837,136932
2020-01-13,109.4647,108.9667,109.9827,106.7455,84563
2020-01-20,106.0782,109.4647,109.8631,106.0782,94060
2020-01-27,105.5802,105.5802,107.9507,105.0921,77788
2020-02-03,106.1778,106.8252,106.8252,104.5244,97101
2020-02-10,106.0782,104.5841,106.4965,103.5881,164216
2020-02-17,105.879,105.8292,106.4069,102.7016,155175
2020-02-24,104.5841,105.879,105.9288,102.7414,63622
2020-03-02,103.0901,104.5941,106.4666,101.7155,83552
2020-03-09,94.6237,103.0801,103.0801,89.7431,195853
2020-03-16,75.699,91.6356,91.785,61.1369,137429
2020-03-23,88.5479,74.7029,93.6775,68.7267,112826
2020-03-30,94.6237,86.7052,95.7393,86.3566,124937
2020-04-06,94.0161,94.6237,95.4106,91.5858,92352
2020-04-13,93.3488,94.0161,94.5938,92.1336,85711
2020-04-20,88.8268,93.3189,93.5779,86.6853,71492
2020-04-27,89.8925,88.8467,92.5221,88.8467,54823
2020-05-04,91.7651,91.6655,93.3289,89.8925,58603
2020-05-11,91.3866,92.6316,93.6078,89.6535,59798
2020-05-18,93.0301,91.3866,93.1297,89.6535,55072
2020-05-25,94.6138,93.1297,94.6237,92.1336,64159
2020-06-01,100.6,94.6138,100.6,94.4245,94622
2020-06-08,99.8928,100.59,102.8709,95.1217,66596
2020-06-15,99.3948,99.6039,102.094,98.0302,84721
2020-06-22,99.8031,99.584,100.092,96.6258,99178
2020-06-29,101.8948,99.6238,102.5821,98.6178,85242
2020-07-06,100.6896,102.2932,102.592,98.7872,106701
2020-07-13,98.7573,99.6039,99.9924,97.6716,79415
2020-07-20,97.6517,98.7673,99.0063,97.2831,88933
2020-07-27,98.8967,97.6517,99.6039,97.2831,72302
2020-08-03,98.8071,98.8071,98.8569,95.7692,100551
2020-08-10,96.7353,98.8569,99.3549,96.7154,93173
2020-08-17,97.7413,96.7353,97.9903,96.4166,65111
2020-08-24,98.7075,97.4923,99.594,97.4923,60207
2020-08-31,100.2015,98.6079,101.5661,97.6517,79962
2020-09-07,98.568,100.2015,100.5601,98.329,57624
2020-09-14,99.5242,98.6079,100.9884,98.319,76190
2020-09-21,99.4147,99.594,101.347,98.6278,55580
2020-09-28,98.7772,100.092,101.1976,97.3628,96802
2020-10-05,101.098,99.0362,101.098,98.0103,88868
2020-10-12,101.6358,101.098,102.2932,100.0023,98747
2020-10-19,98.8071,101.596,101.596,98.1099,86888
2020-10-26,97.2632,99.1657,99.4844,94.315,87488
2020-11-02,96.2373,97.2632,97.2632,94.8727,92807
2020-11-09,96.6656,96.327,98.4087,96.1178,66866
2020-11-16,96.3768,96.3768,96.7652,96.3668,62735
2020-11-23,96.068,96.3768,96.6158,95.1417,70384
2020-11-30,92.5121,96.058,96.2174,91.7153,192829
2020-12-07,91.8348,92.5121,93.4484,90.7591,81133
2020-12-14,92.0838,91.8348,92.532,89.7929,136002
2020-12-21,94.2851,92.2432,94.5042,91.3169,44473
2020-12-28,94.7034,94.2851,94.9225,93.9464,41089
