data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2018-05,96.1464,142338148.35,1480432.0,33429770.78,28154
2018-06,95.9895,142105965.17,1480432.0,18594383.11,29336
2018-09,96.1192,142297942.09,1480432.0,13294141.41,34023
2018-12,96.2396,262625197.27,2728868.0,109371152.03,39305
2019-03,95.6422,260995029.78,2728868.0,30474903.98,46547
2019-06,97.028,455358307.29,4693062.0,99401310.75,53756
2019-09,97.3533,456885154.01,4693062.0,1710411.25,61990
2019-12,98.3524,682817291.24,6942557.0,18789549.72,76838
2020-03,97.6197,677730550.7,6942557.0,50030714.37,91365
2020-06,97.7919,678925556.45,6942557.0,28030592.23,107339
2020-09,97.6221,745964781.31,7641352.0,75847103.53,122110
2020-12,99.8069,762372664.93,7638479.0,67704559.24,140758
2021-03,99.0867,756871571.86,7638479.0,93118872.18,163391
2021-06,99.4635,1030670291.18,10362300.0,281932461.92,195599
2021-09,99.7751,1033899951.56,10362300.0,105873807.45,226203
2021-12,100.6862,1043340841.05,10362300.0,50071037.42,257439
2022-03,98.7326,1023097184.47,10362300.0,39349582.78,291314
2022-06,95.7662,1286992996.41,13438908.0,268890044.46,327849
2022-09,95.7098,1286234896.08,13438908.0,35218329.6,365831
2022-12,94.0742,1264255002.92,13438908.0,21701369.2,402336
2023-03,94.8376,1274513907.29,13438908.0,78909859.53,447069
2023-06,96.3682,1295083503.17,13438908.0,40939549.94,493147
2023-09,93.3993,1255184436.59,13438908.0,26021434.68,537539
2023-12,95.7354,1441506958.91,15057201.0,28823945.67,585267
2024-03,95.1558,1432779607.43,15057201.0,91824247.89,640614
2024-06,92.6038,1394354471.72,15057201.0,70988281.46,699307
2024-09,93.5096,1407993263.1,15057201.0,6222659.68,758742
2024-12,89.0048,1340162559.55,15057201.0,2353905.15,821629
2025-03,90.4383,1361748295.7,15057201.0,4943990.02,881602
2025-06,92.8239,1397668320.97,15057201.0,73194536.23,947055
2025-09,92.0019,1385291133.91,15057201.0,43108040.18,1014480
2025-12,93.607,1525819120.64,16300275.0,31146828.78,1083967
2026-03,97.4741,1588855391.1,16300275.0,35555266.75,1161936
