data,fechamento,abertura,maxima,minima,volume
2019-04-29,123.8219,123.3725,124.8205,120.297,1050
2019-05-06,119.7278,123.029,123.8219,114.8348,9352
2019-05-13,121.7199,119.7268,122.7215,119.558,14237
2019-05-20,124.8205,122.8233,124.8205,122.2302,19926
2019-05-27,126.8176,124.8195,126.9174,123.3406,20877
2019-06-03,13.181,12.7916,13.3458,12.7916,221997
2019-06-10,13.0113,13.209,13.209,12.9514,172726
2019-06-17,13.206,13.0812,13.21,12.9813,178405
2019-06-24,13.3698,13.205,13.3708,13.0812,172716
2019-07-01,13.5755,13.231,13.5805,13.181,146648
2019-07-08,13.8591,13.5805,13.8601,13.5635,98029
2019-07-15,14.3793,13.8581,14.4792,13.6424,155311
2019-07-22,14.0787,14.3793,14.4832,13.88,304344
2019-07-29,14.0448,14.2635,14.2635,13.9389,200906
2019-08-05,14.0298,14.1037,14.1796,13.9799,137265
2019-08-12,13.8301,14.0298,14.0298,13.6663,264107
2019-08-19,12.8515,12.7317,12.9813,12.482,331042
2019-08-26,12.6308,12.8415,12.8815,12.481,420572
2019-09-02,12.6318,12.532,12.8675,12.3353,401154
2019-09-09,12.0846,12.522,12.522,12.0327,384210
2019-09-16,12.547,11.9828,12.7776,11.9228,449033
2019-09-23,12.6818,12.5799,12.6818,12.547,274191
2019-09-30,12.8555,12.6818,12.9304,12.492,362037
2019-10-07,13.2809,12.8615,13.2809,12.8615,471935
2019-10-14,13.4656,13.2809,13.4806,13.194,315159
2019-10-21,13.89,13.4756,13.895,13.4417,309513
2019-10-28,14.0658,13.919,14.1746,13.8001,215186
2019-11-04,14.0558,14.0658,14.1297,13.9799,174628
2019-11-11,14.1796,14.1277,14.2894,14.0548,208809
2019-11-18,14.0997,14.1796,14.1796,14.0748,152146
2019-11-25,14.4732,14.0907,14.4732,13.93,410198
2019-12-02,14.4372,14.4692,14.4792,14.3114,178263
2019-12-09,14.9255,14.4592,14.9685,14.3973,162031
2019-12-16,15.3529,14.9255,15.3779,14.8786,224138
2019-12-23,16.9726,15.3529,16.9756,15.298,98409
2019-12-30,16.8438,16.8757,16.9816,16.2456,175300
2020-01-06,16.4663,16.9057,16.9157,15.5776,184373
