data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2016-12,1081.7789,438120448.32,405000.0,7260942.77,8062
2017-03,1082.6732,438482654.74,405000.0,2992024.18,11618
2017-06,1082.6895,438489246.03,405000.0,9470864.79,14782
2017-09,1082.0249,438220103.5,405000.0,4362513.28,17895
2017-12,1066.0933,431767796.65,405000.0,3144288.11,21118
2018-03,1066.8207,432062401.63,405000.0,555499.75,25108
2018-06,1066.4208,431900431.05,405000.0,6559587.78,29201
2018-09,1065.783,431642111.91,405000.0,59952556.0,33809
2018-12,1067.6705,432406557.06,405000.0,59268076.95,39576
2019-03,1068.8411,432880658.99,405000.0,62973197.91,46390
2019-06,1077.0453,436203337.61,405000.0,35139625.08,53996
2019-09,109.7197,627740159.11,5721310.0,187764072.39,62087
2019-12,126.2861,722521770.62,5721310.0,28093883.33,76744
2020-03,123.999,709436490.81,5721310.0,8720733.55,91265
2020-06,115.4605,1234726096.82,10693931.0,18749338.68,108443
2020-09,115.5539,1235725657.11,10693931.0,6404781.68,122143
2020-12,114.2503,1221784872.82,10693931.0,48087604.41,140789
2021-03,114.2516,1323970702.68,11588199.0,3775128.61,165549
2021-06,113.7347,1317979877.14,11588199.0,40660427.96,195186
2021-09,113.3519,1313544384.58,11588199.0,3111122.0,225954
2021-12,104.8308,1214799658.16,11588199.0,18448259.94,257238
2022-03,103.0022,1193609672.24,11588199.0,17304627.28,290112
2022-06,103.1968,1195865454.59,11588199.0,28427566.34,326808
2022-09,102.8744,1192129251.94,11588199.0,10062883.41,364899
2022-12,109.3825,1267546452.77,11588199.0,8809218.04,441749
2023-06,108.4071,1256242711.16,11588199.0,6952339.88,492122
2023-09,107.9367,1250792219.21,11588199.0,6962234.51,537580
2023-12,118.5591,1373886556.44,11588199.0,72145495.99,585194
2024-03,108.5943,1355836185.7,12485334.0,43110548.93,640679
2024-06,108.2455,1351481611.75,12485334.0,74144768.68,698245
2024-09,107.6662,1344249003.88,12485334.0,72821173.3,758449
2024-12,107.5909,1679957375.31,15614305.0,29786634.79,821536
2025-03,106.5409,1663562818.82,15614305.0,9126668.19,881965
2025-06,10.6292,1659679089.26,156143050.0,14024550.8,946668
2025-09,10.565,1649651476.39,156143050.0,36909718.12,1015040
2025-12,10.7617,1680363368.13,156143050.0,28526852.4,1084075
2026-03,10.6854,1668456272.99,156143050.0,40992133.25,1164959
