data,fechamento,abertura,maxima,minima,volume
2019-11-04,185.0,188.99,194.98,183.58,19101
2019-11-11,191.0,190.41,193.35,186.05,27584
2019-11-18,211.47,191.49,212.99,188.12,35758
2019-11-25,201.99,212.04,214.0,189.02,36538
2019-12-02,229.0,203.0,229.33,200.01,74868
2019-12-09,247.11,229.0,250.0,223.68,45569
2019-12-16,268.0,247.1,274.99,245.55,59528
2019-12-23,289.99,268.0,294.98,263.07,36270
2019-12-30,269.8,290.0,299.97,245.0,53905
2020-01-06,253.78,269.8,269.8,235.5,36940
2020-01-13,216.78,253.5,253.5,215.24,52051
2020-01-20,229.12,216.78,239.97,216.05,49823
2020-01-27,209.5,229.0,229.0,203.0,45795
2020-02-03,205.5,203.0,218.97,198.02,50343
2020-02-10,204.79,205.5,206.47,200.03,45389
2020-02-17,207.0,204.56,210.0,194.0,38285
2020-02-24,199.0,207.0,207.0,192.5,33253
2020-03-02,197.0,193.8,198.97,185.04,71892
2020-03-09,179.55,195.8,205.97,170.0,50957
2020-03-16,142.0,178.87,178.87,108.02,88482
2020-03-23,147.0,141.97,162.99,114.0,56344
2020-03-30,159.58,148.96,164.57,147.01,29324
2020-04-06,159.19,157.24,166.79,150.02,69493
2020-04-13,166.0,159.0,167.94,159.0,46142
2020-04-20,163.01,166.01,171.5,163.01,31970
2020-04-27,165.5,163.0,168.02,159.5,89626
2020-05-04,169.1,165.5,179.0,163.54,12954
2020-05-11,165.03,169.11,169.97,165.0,8749
2020-05-18,168.42,165.85,169.99,160.12,13362
2020-05-25,170.0,169.01,173.99,160.62,21869
2020-06-01,176.56,170.17,179.8,170.0,14423
2020-06-08,181.5,179.79,193.98,172.91,25000
2020-06-15,181.12,179.0,187.0,173.35,77298
2020-06-22,179.9,180.44,183.85,175.03,60614
2020-06-29,176.58,178.32,180.73,174.5,104780
2020-07-06,172.72,176.58,179.39,169.0,22084
2020-07-13,171.0,172.7,173.21,171.0,24136
2020-07-20,171.75,171.02,172.5,168.41,57843
2020-07-27,171.4,171.75,172.01,170.0,13712
2020-08-03,168.75,171.4,172.45,166.21,10164
2020-08-10,169.99,168.75,175.0,168.05,22259
2020-08-17,175.0,174.98,177.7,171.0,53703
2020-08-24,175.05,174.99,177.0,174.0,16456
2020-08-31,179.2,175.83,179.98,174.8,18825
2020-09-07,175.71,179.2,179.9,175.0,16915
2020-09-14,174.88,175.71,177.2,170.03,27631
2020-09-21,172.9,174.87,175.29,171.7,15822
2020-09-28,176.25,172.91,177.75,172.37,21709
2020-10-05,175.5,176.2,176.97,170.1,25640
2020-10-12,175.0,175.5,176.99,170.16,21979
2020-10-19,174.99,174.51,176.95,171.05,23266
2020-10-26,171.48,175.0,176.76,168.41,16910
2020-11-02,170.71,171.48,174.0,169.51,10093
2020-11-09,172.29,174.0,174.0,171.1,13918
2020-11-16,172.4,172.29,172.55,169.15,20519
2020-11-23,172.21,172.39,173.49,169.87,15455
2020-11-30,170.24,172.21,173.5,168.73,23952
2020-12-07,168.45,170.0,170.38,168.18,17135
2020-12-14,169.49,168.21,170.0,164.12,21534
2020-12-21,167.18,169.0,169.0,165.21,11342
2020-12-28,166.2,167.18,167.9,165.34,16585
2021-01-04,165.11,166.21,167.99,161.01,18610
2021-01-11,163.47,165.11,165.5,161.0,24918
2021-01-18,164.0,163.47,164.99,161.27,20095
2021-01-25,168.0,164.0,169.2,164.0,13614
2021-02-01,163.99,168.02,168.96,163.24,18051
2021-02-08,162.0,163.51,164.9,161.17,20978
2021-02-15,157.3,162.0,162.0,156.9,12311
2021-02-22,158.58,157.1,159.9,155.0,14878
2021-03-01,159.0,160.0,162.11,157.61,25028
2021-03-08,152.0,159.0,160.0,149.91,25858
2021-03-15,155.81,152.0,156.47,145.55,29494
2021-03-22,155.0,155.81,156.0,153.51,27595
2021-03-29,162.0,155.01,163.3,153.5,27509
2021-04-05,153.67,161.35,165.58,152.0,48287
2021-04-12,153.82,153.74,156.0,152.02,23009
2021-04-19,155.01,155.9,155.9,149.44,15592
2021-04-26,157.35,155.02,162.78,155.02,17373
2021-05-03,155.22,157.98,160.99,153.38,14204
2021-05-10,141.2,155.22,155.99,141.09,35725
2021-05-17,135.0,141.77,142.74,133.13,48040
2021-05-24,140.02,136.03,143.98,133.75,29630
2021-05-31,153.51,140.03,154.57,140.03,22312
2021-06-07,147.23,153.51,153.51,147.0,25302
2021-06-14,143.48,147.23,151.29,141.03,25800
2021-06-21,137.45,145.99,146.39,137.0,24322
2021-06-28,146.0,137.45,146.95,132.33,23450
2021-07-05,143.95,144.53,151.0,142.55,15323
2021-07-12,151.22,144.53,155.8,141.97,19238
2021-07-19,151.9,151.01,153.0,147.0,12091
2021-07-26,154.3,151.99,155.02,147.57,10955
2021-08-02,150.89,154.99,154.99,148.12,15544
2021-08-09,142.5,152.48,152.48,135.03,14393
2021-08-16,142.93,142.99,146.75,139.89,14301
2021-08-23,142.24,142.93,145.0,138.61,20211
2021-08-30,143.5,142.26,143.5,139.06,15295
2021-09-06,140.3,143.49,144.0,140.3,15202
2021-09-13,144.9,140.86,146.99,140.77,16224
2021-09-20,144.6,144.5,148.8,141.54,20799
2021-09-27,141.5,144.6,148.95,141.5,29009
