data,fechamento,abertura,maxima,minima,volume
2021-06-07,102.1543,101.6552,102.2042,101.4057,109813
2021-06-14,102.7531,102.1543,102.803,101.6752,483282
2021-06-21,100.717,102.7631,104.3002,99.8088,749735
2021-06-28,103.7612,100.9366,103.8011,98.8107,339011
2021-07-05,101.5155,103.7612,104.39,101.2859,372431
2021-07-12,104.0506,101.8049,104.38,101.8049,415185
2021-07-19,104.8092,104.3002,105.1286,103.861,329665
2021-07-26,106.3961,104.909,106.5658,104.1504,309530
2021-08-02,106.0568,106.3462,106.8952,105.7973,240408
2021-08-09,102.813,105.2883,105.4579,100.8069,340763
2021-08-16,103.3021,102.9028,103.3021,101.8049,252649
2021-08-23,104.7992,103.3021,105.1585,102.1343,261620
2021-08-30,105.7873,104.7992,106.1965,104.4199,209531
2021-09-06,104.0007,105.448,105.8472,102.9228,185892
2021-09-13,103.5915,104.7992,104.9888,103.5915,267755
2021-09-20,101.795,103.8011,103.8011,100.8069,537451
2021-09-27,101.7351,101.6852,102.294,100.208,416272
2021-10-04,99.689,101.6652,101.8049,99.689,495190
2021-10-11,99.9585,99.689,100.6971,99.669,359934
2021-10-18,99.3996,99.9086,99.9086,99.18,638943
2021-10-25,99.16,99.3097,99.5692,99.0003,381849
2021-11-01,101.1861,99.3097,101.246,99.2598,260533
2021-11-08,98.8107,101.1861,101.2061,97.8226,289507
2021-11-15,98.4613,98.8107,99.3097,98.0222,258644
2021-11-22,96.7446,98.4613,98.631,95.9861,284738
2021-11-29,97.5132,96.7446,97.7727,96.3354,327976
2021-12-06,97.5132,97.5132,98.661,96.8145,272231
2021-12-13,97.3634,97.5132,97.6529,96.8145,328334
2021-12-20,98.0222,97.3535,98.6111,97.1638,264953
2021-12-27,99.7888,98.0222,100.707,97.5631,323808
2022-01-03,100.7869,99.8088,100.8069,98.8805,335985
2022-01-10,100.7669,99.7688,100.7669,97.8126,296353
2022-01-17,102.304,100.7669,102.803,100.5573,346500
2022-01-24,103.0725,102.7631,104.3201,101.4057,293038
2022-01-31,103.5017,103.0825,103.5516,102.0046,328071
2022-02-07,99.6291,103.2522,103.7911,98.9903,294035
2022-02-14,99.5992,99.6291,100.3178,98.8107,237922
2022-02-21,99.3097,99.5992,100.2579,97.3734,321991
2022-02-28,100.4076,99.3097,101.5055,99.0702,203560
2022-03-07,98.9205,100.6571,100.8667,98.7508,236470
2022-03-14,98.8805,99.2997,99.3097,98.3116,259235
2022-03-21,99.5293,98.8107,100.2878,98.5711,251923
2022-03-28,101.8548,99.5193,102.0944,99.4195,264642
2022-04-04,99.8187,101.7251,103.1823,99.3097,361188
2022-04-11,99.71,99.98,100.39,99.5,277035
2022-04-18,99.99,99.98,100.25,99.41,231139
2022-04-25,100.5,100.05,101.11,99.33,257171
2022-05-02,100.02,100.09,101.0,99.6,330451
2022-05-09,98.71,98.61,98.98,97.6,333824
2022-05-16,99.2,98.81,99.87,98.8,245599
2022-05-23,99.99,99.32,99.99,99.21,202672
2022-05-30,102.07,100.0,102.3,99.99,281986
2022-06-06,100.11,102.2,104.0,99.61,288286
2022-06-13,99.99,100.2,100.3,99.24,250689
2022-06-20,100.38,99.99,100.71,99.9,232817
2022-06-27,99.86,100.4,100.53,99.45,369495
2022-07-04,98.67,100.4,101.47,98.4,372019
2022-07-11,97.75,98.67,98.88,97.0,291336
2022-07-18,97.41,97.99,97.99,97.16,196903
2022-07-25,96.89,97.63,97.7,95.75,254502
2022-08-01,96.55,96.76,97.41,96.0,255918
2022-08-08,94.39,95.22,95.22,90.2,406244
2022-08-15,94.45,94.5,95.96,94.05,254380
2022-08-22,92.87,94.59,95.45,92.53,246820
2022-08-29,94.65,92.99,95.0,92.0,234925
2022-09-05,91.8,94.76,95.3,90.7,212282
2022-09-12,93.79,92.0,93.79,91.1,282051
2022-09-19,91.04,93.5,93.5,91.0,255774
2022-09-26,89.35,91.22,91.4,88.01,315600
2022-10-03,90.51,89.35,93.65,89.34,356190
2022-10-10,88.37,89.5,89.53,88.15,250432
2022-10-17,89.34,88.37,89.48,86.55,322064
2022-10-24,89.97,89.34,89.99,88.49,336083
2022-10-31,90.75,89.27,92.87,89.01,318364
2022-11-07,87.85,90.8,92.33,87.6,327784
2022-11-14,85.26,87.85,88.69,85.13,315225
2022-11-21,86.6,85.72,86.8,85.26,287486
2022-11-28,86.51,86.6,86.69,85.18,317671
2022-12-05,86.44,86.52,87.96,85.91,250904
2022-12-12,84.9,86.44,86.7,84.0,317050
2022-12-19,86.58,85.0,86.69,84.0,299057
2022-12-26,87.78,86.58,87.78,86.01,118706
2023-01-02,89.0,87.18,90.28,87.08,179748
2023-01-09,84.9,87.02,87.5,84.56,249759
2023-01-16,87.27,85.07,87.51,85.07,237676
2023-01-23,86.98,87.26,87.53,86.11,182199
2023-01-30,87.92,86.98,88.07,86.51,171836
2023-02-06,84.0,87.92,88.18,83.87,240195
2023-02-13,83.5,84.01,84.83,82.74,285708
2023-02-20,83.7,83.5,83.7,83.21,101205
2023-02-27,85.44,83.7,85.98,83.43,201044
2023-03-06,81.94,85.44,85.74,81.42,238512
2023-03-13,81.5,81.97,82.5,80.93,214759
2023-03-20,81.51,81.58,82.24,81.05,156996
2023-03-27,77.25,81.5,81.7,76.05,303695
2023-04-03,77.93,77.4,79.1,77.4,219054
2023-04-10,76.41,78.06,78.67,76.2,361087
2023-04-17,78.8,76.6,79.73,76.6,253360
2023-04-24,82.84,78.9,83.0,78.35,255792
2023-05-01,83.65,82.84,84.99,81.82,217105
2023-05-08,84.01,83.83,84.93,81.9,209030
2023-05-15,88.5,84.4,89.88,84.4,273283
2023-05-22,87.25,88.5,88.85,86.91,190745
2023-05-29,85.9,87.43,88.41,84.3,272821
2023-06-05,85.45,86.5,87.8,84.86,277679
2023-06-12,86.3,85.7,86.98,84.79,356356
2023-06-19,88.56,86.6,89.0,86.09,277081
2023-06-26,89.29,88.56,89.57,87.8,208888
2023-07-03,92.0,89.29,93.4,89.29,255224
2023-07-10,88.9,90.11,90.39,88.0,201267
2023-07-17,88.25,88.99,89.61,88.2,167634
2023-07-24,86.7,88.4,88.88,85.5,238166
2023-07-31,88.99,86.87,89.0,86.87,184685
2023-08-07,86.2,88.85,89.18,85.27,227638
2023-08-14,85.85,86.21,86.99,85.5,191914
2023-08-21,88.27,86.01,88.33,86.01,268989
2023-08-28,89.49,88.15,89.9,87.22,212809
2023-09-04,89.55,88.85,91.44,88.81,185770
2023-09-11,93.49,88.36,93.49,87.45,1288124
2023-09-18,89.48,92.2,92.27,88.9,276484
2023-09-25,87.25,89.19,89.3,86.51,164645
2023-10-02,86.87,87.25,87.66,86.5,150127
2023-10-09,86.06,86.1,86.78,85.53,133018
2023-10-16,85.29,86.06,86.18,83.32,161836
2023-10-23,85.66,85.29,86.02,84.53,143293
2023-10-30,85.1,85.67,86.0,84.4,111524
2023-11-06,84.44,85.48,86.55,84.0,172590
2023-11-13,84.13,84.44,84.73,83.3,163447
2023-11-20,82.5,84.1,84.27,81.77,160982
2023-11-27,84.01,82.5,84.7,82.5,203653
2023-12-04,84.49,84.01,86.0,83.16,191741
2023-12-11,82.84,84.49,84.5,82.18,140116
2023-12-18,86.99,82.8,87.0,82.58,200112
2023-12-25,87.9,86.99,88.13,86.05,90252
2024-01-01,87.98,87.9,88.18,87.61,108624
2024-01-08,86.46,87.81,88.07,85.22,141217
2024-01-15,85.59,86.45,86.73,85.53,116022
2024-01-22,85.55,85.5,85.59,84.15,200925
2024-01-29,85.19,85.54,85.95,84.72,208869
2024-02-05,85.16,85.19,85.7,84.21,163767
2024-02-12,84.85,85.16,85.28,84.6,92422
2024-02-19,86.2,84.85,86.35,84.81,139692
2024-02-26,86.89,86.2,86.98,84.31,203432
2024-03-04,85.78,86.9,87.63,84.71,154902
2024-03-11,86.41,85.78,86.41,84.84,131476
2024-03-18,86.99,86.41,87.0,86.0,117625
2024-03-25,88.3,86.98,88.38,86.5,121314
2024-04-01,89.97,88.28,90.0,88.11,171504
2024-04-08,89.12,89.03,89.32,87.8,133919
2024-04-15,88.81,89.12,89.12,88.0,133120
2024-04-22,88.22,88.81,89.0,87.71,141174
2024-04-29,88.49,88.35,89.2,87.2,145531
2024-05-06,88.22,88.49,89.5,87.77,154185
2024-05-13,88.76,88.24,89.3,87.58,206269
2024-05-20,88.62,88.94,89.6,88.13,154476
2024-05-27,89.5,88.89,89.68,88.15,129628
2024-06-03,87.5,89.4,89.4,87.05,214416
2024-06-10,85.45,86.19,86.49,84.18,184656
2024-06-17,86.2,85.45,87.46,85.25,180916
2024-06-24,85.68,86.49,87.19,85.0,181961
2024-07-01,85.45,85.97,86.49,84.89,190039
2024-07-08,85.62,84.78,85.67,84.55,152741
2024-07-15,85.3,85.32,85.95,85.06,165034
2024-07-22,85.09,85.48,85.5,84.84,138543
2024-07-29,85.2,85.09,85.41,83.46,189818
2024-08-05,83.95,84.0,84.88,83.66,148785
2024-08-12,84.99,83.91,84.99,83.07,160841
2024-08-19,85.0,85.2,85.32,83.74,144230
2024-08-26,84.8,85.0,85.0,84.45,130023
2024-09-02,84.42,84.8,85.08,84.15,156901
2024-09-09,82.24,83.67,83.67,81.03,165054
2024-09-16,83.32,82.15,83.32,82.0,161905
2024-09-23,82.75,83.31,83.31,81.5,161726
2024-09-30,79.93,82.3,83.28,79.4,140950
2024-10-07,75.15,80.06,80.18,73.55,284770
2024-10-14,78.79,75.15,80.38,75.12,226946
2024-10-21,76.8,78.65,79.99,76.15,268603
2024-10-28,76.95,76.43,77.9,76.18,166729
2024-11-04,77.6,76.84,78.97,75.62,208881
2024-11-11,76.0,77.51,77.6,75.89,121725
2024-11-18,76.1,76.09,76.9,75.33,115960
2024-11-25,76.3,76.1,77.8,75.4,146595
2024-12-02,72.33,76.0,76.48,70.51,205894
