data,fechamento,abertura,maxima,minima,volume
2016-04-25,352.9251,357.7378,357.7378,352.9251,59
2016-05-02,339.5568,352.9251,352.9251,336.8831,669
2016-05-09,339.3963,342.2358,358.2725,334.2094,888
2016-05-16,331.5357,352.9251,352.9251,327.2846,4236
2016-05-23,332.0705,331.5357,340.0915,329.3968,1107
2016-05-30,339.022,332.0705,339.022,332.0705,337
2016-06-06,335.8136,334.7495,343.2999,334.7495,515
2016-06-13,336.8831,332.0758,341.1609,331.5625,352
2016-06-20,339.5568,337.9525,340.6262,337.9525,374
2016-06-27,343.8239,341.6957,352.9144,341.6957,1084
2016-07-04,341.1609,344.0966,345.4388,334.2361,1035
2016-07-11,337.4178,335.2789,341.1556,334.7709,1604
2016-07-18,339.5568,339.5568,343.2999,336.8831,1177
2016-07-25,352.9251,342.2304,352.9251,339.5621,595
2016-08-01,374.3145,352.9251,374.3145,352.9251,519
2016-08-08,358.2725,368.9672,374.3145,352.9251,1045
2016-08-15,364.1546,358.2725,364.1546,358.2725,628
2016-08-22,374.3145,363.6198,379.6619,363.6198,564
2016-08-29,399.9818,370.0367,399.9818,370.0367,146
2016-09-05,410.1418,395.7039,410.6765,382.8703,310
2016-09-12,422.4407,410.1418,422.4407,393.0303,182
2016-09-19,419.767,421.9059,425.109,393.2442,229
2016-09-26,416.5586,419.767,422.4407,395.7788,217
2016-10-03,412.8155,420.89,420.89,402.1208,176
2016-10-10,407.4788,412.8155,427.7881,402.1208,674
2016-10-17,417.0934,407.4788,417.0987,407.4788,105
2016-10-24,442.7606,409.0723,443.8301,409.0723,118
2016-10-31,442.7606,441.1564,442.7606,435.8091,58
2016-11-07,433.1354,435.8091,441.1564,433.1354,96
2016-11-14,417.0934,433.13,433.13,416.0239,95
2016-11-21,433.1354,417.0934,433.1354,409.6071,385
2016-11-28,433.1354,439.5522,439.6057,418.1895,187
2016-12-05,422.9754,418.1628,441.1564,418.1628,125
2016-12-12,435.8625,427.7827,448.1721,427.7827,83
2016-12-19,433.1354,448.6427,448.6427,417.6281,496
2016-12-26,435.8091,428.3228,438.4827,428.3228,77
2017-01-02,443.2953,435.8091,448.6427,417.0934,371
2017-01-09,433.1354,443.29,443.29,427.8148,200
2017-01-16,433.1354,433.1354,443.8301,430.4671,383
2017-01-23,443.8836,443.8301,443.8836,441.1564,105
2017-01-30,443.8301,443.2953,443.8301,427.7881,5089
2017-02-06,435.8144,438.4827,444.3595,433.1354,65
2017-02-13,506.9288,436.3545,507.9983,436.3545,219
2017-02-20,503.7204,506.9288,507.9983,459.8721,519
2017-02-27,505.4583,503.7204,505.4583,497.8383,111
2017-03-06,494.6299,491.9562,534.735,481.2615,1025
2017-03-13,489.2879,501.5815,503.7204,482.8711,364
2017-03-20,486.6089,491.9562,491.9562,481.2615,451
2017-03-27,486.6089,486.6089,489.2826,481.7963,1550
2017-04-03,483.9352,482.0637,483.9352,455.5943,1843
2017-04-10,483.9352,483.9352,483.9352,481.2615,228
2017-04-17,483.9352,483.9352,485.0047,467.9199,254
2017-04-24,483.9352,483.9352,483.9352,483.4005,286
2017-05-01,482.8658,483.9352,483.9352,475.9516,178
2017-05-08,482.8658,482.8658,482.8658,476.4489,540
2017-05-15,481.2615,481.8016,483.9352,470.5668,311
2017-05-22,484.47,481.2615,484.47,476.4489,1128
2017-05-29,485.0047,484.47,486.0742,481.2615,378
2017-06-05,486.6089,481.2615,491.9028,481.2615,98
2017-06-12,491.9562,486.6089,491.9562,481.2615,90
2017-06-19,491.9562,499.9773,505.3246,482.3364,185
2017-06-26,483.9352,491.9562,491.9562,481.7963,103
2017-07-03,491.9562,483.9352,494.6299,480.7268,485
2017-07-10,491.9562,489.8173,491.9562,475.9142,548
2017-07-17,480.7268,491.9562,494.6299,480.7268,182
2017-07-24,486.6089,491.9562,494.6299,475.9142,434
2017-07-31,494.6299,486.6089,494.6299,486.6089,190
2017-08-07,481.2615,487.1436,494.6299,481.2615,639
2017-08-14,481.2615,481.2615,487.6784,476.4489,412
2017-08-21,486.0688,481.2615,486.0742,476.4489,252
2017-08-28,486.6089,486.0688,489.8173,483.9352,134
2017-09-04,489.2826,490.8868,491.4162,481.2615,90
2017-09-11,487.6784,491.9562,498.9078,484.4753,489
2017-09-18,494.6299,487.6784,497.3036,486.6089,126
2017-09-25,494.6299,495.1647,498.9078,485.0582,311
2017-10-02,494.6299,502.1162,502.6509,487.2078,2299
2017-10-09,490.8868,494.0952,494.0952,487.6784,477
2017-10-16,481.7963,491.9562,493.0257,481.7963,1385
2017-10-23,486.6089,481.7963,489.2826,479.1226,724
2017-10-30,485.0047,486.6035,486.6089,481.2615,608
2017-11-06,481.2615,485.0047,485.5074,475.9142,1700
