data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2016-12,608.6907,352038076.96,578353.0,2881754.5,8306
2017-03,612.8644,354451989.35,578353.0,2903230.07,11597
2017-06,607.8987,351580025.52,578353.0,2166813.69,14999
2017-09,612.0955,354007292.47,578353.0,1871985.94,17784
2017-12,696.7783,402983801.25,578353.0,1515319.56,21446
2018-03,697.0661,424478394.65,608950.0,11473204.94,25177
2018-06,692.5704,421740722.56,608950.0,11487522.3,29256
2018-09,696.0328,423849183.12,608950.0,11491539.88,33814
2018-12,708.7578,431598060.05,608950.0,11164285.5,39601
2019-03,709.0395,431769623.91,608950.0,10648361.81,46440
2019-06,706.961,430503921.43,608950.0,9108309.45,53994
2019-09,707.7491,430983808.8,608950.0,7027804.55,62122
2019-12,787.3315,479445494.51,608950.0,5464550.15,76746
2020-03,785.388,478262009.81,608950.0,4017065.77,93296
2020-06,784.2183,477549703.66,608950.0,3703416.49,109075
2020-09,785.466,478309535.26,608950.0,2435201.25,123506
2020-12,822.2376,500701611.45,608950.0,3407640.75,140544
2021-03,820.5277,499660320.46,608950.0,1920207.43,165339
2021-06,823.2282,501304789.65,608950.0,2072177.66,195216
2021-09,825.6549,502782579.31,608950.0,3627842.75,225647
2021-12,890.4796,542257564.45,608950.0,3469546.71,257525
2022-03,887.4037,540384470.89,608950.0,3484263.16,290265
2022-06,888.7564,541208180.95,608950.0,3524378.43,327281
2022-09,888.9584,541331244.9,608950.0,4345384.13,364460
2022-12,894.1766,544508819.31,608950.0,4123495.33,402596
2023-03,895.8825,545547644.23,608950.0,7297792.68,446175
2023-06,891.6826,542990118.05,608950.0,7717215.94,492185
2023-09,891.3418,542782613.97,608950.0,5132988.27,536711
2023-12,924.7592,563132086.63,608950.0,6892403.84,585436
2024-03,925.2369,563423040.34,608950.0,8338528.24,640303
2024-06,922.7005,561878475.84,608950.0,8548461.52,698849
2024-09,923.4417,562329797.83,608950.0,7696325.73,758447
2024-12,1016.5845,619049140.76,608950.0,7138292.5,821034
2025-03,1015.0979,618143895.61,608950.0,8634374.98,881973
2025-06,1013.9302,617432818.11,608950.0,8249913.85,947457
2025-09,1010.7625,615503815.86,608950.0,6261746.91,1014838
2025-12,1034.3751,629882731.32,608950.0,7285185.13,1085476
2026-03,1036.0764,630918740.98,608950.0,11952533.45,1161396
