data,fechamento,abertura,maxima,minima,volume
2023-12-11,8.2567,8.3333,9.0,7.8667,599457
2023-12-18,7.8333,8.1333,8.1967,7.7707,727390
2023-12-25,8.2793,7.8667,8.2993,7.8,160512
2024-01-01,8.5247,8.28,8.5367,8.28,166466
2024-01-08,8.368,8.5333,8.5333,8.2533,271795
2024-01-15,8.3513,8.368,8.4893,8.2867,377215
2024-01-22,8.3667,8.3613,8.506,8.3267,267460
2024-01-29,8.4787,8.5,8.5913,8.276,277000
2024-02-05,8.6593,8.4787,9.0,8.4067,260500
2024-02-12,9.0333,8.8,9.5333,8.6667,166242
2024-02-19,9.3267,9.05,9.3333,9.0073,230860
2024-02-26,9.4667,9.3333,9.666,9.134,180040
2024-03-04,9.5967,9.5993,9.9907,9.2013,216925
2024-03-11,9.7333,9.5,9.866,9.334,322315
2024-03-18,9.66,9.7333,9.9333,9.6333,169405
2024-03-25,9.34,9.66,9.8533,9.2067,176201
2024-04-01,9.3347,9.4,9.5967,9.3007,173920
2024-04-08,9.166,9.334,9.42,9.1,196750
2024-04-15,8.72,9.264,9.264,8.6333,334720
2024-04-22,8.3333,8.6,8.6,8.3267,663370
2024-04-29,8.7,8.3347,8.7693,8.3347,297971
2024-05-06,8.7867,8.7,8.7867,8.6333,236575
2024-05-13,8.678,8.7867,8.9933,8.6667,373765
2024-05-20,8.718,8.6787,8.7973,8.6607,371680
2024-05-27,8.8,8.7367,8.8667,8.6713,265496
2024-06-03,8.8,8.7993,8.93,8.6333,280225
2024-06-10,9.18,8.8467,9.25,8.7373,430030
2024-06-17,8.9367,9.0733,9.13,8.7807,189730
2024-06-24,9.17,9.044,10.25,8.74,261913
2024-07-01,9.25,9.19,9.57,9.15,361785
2024-07-08,9.41,9.3,9.43,9.02,239361
2024-07-15,9.37,9.42,9.5,9.28,253045
2024-07-22,9.3,9.39,9.4,9.14,280810
2024-07-29,9.31,9.3,9.44,9.28,193642
2024-08-05,9.35,9.3,9.39,9.26,210296
2024-08-12,9.29,9.34,9.38,9.25,350287
2024-08-19,9.2,9.29,9.34,9.16,281071
2024-08-26,9.17,9.23,9.23,9.14,285582
2024-09-02,9.18,9.17,9.2,9.09,569971
2024-09-09,9.15,9.16,9.31,9.09,572380
2024-09-16,9.19,9.15,9.23,9.06,253692
2024-09-23,9.15,9.19,9.42,9.07,304186
2024-09-30,9.27,9.15,9.29,9.08,413903
2024-10-07,9.31,9.32,9.37,9.13,417924
2024-10-14,9.23,9.31,9.65,9.11,700224
2024-10-21,8.95,9.25,9.27,8.7,703067
2024-10-28,8.86,8.98,9.1,8.67,553966
2024-11-04,8.86,8.89,8.94,8.74,525503
2024-11-11,8.99,8.95,9.0,8.71,413004
2024-11-18,8.77,8.99,8.99,8.52,461458
2024-11-25,8.68,8.78,9.06,8.65,394399
2024-12-02,8.72,8.78,8.78,8.2,396874
2024-12-09,8.83,8.74,8.83,8.51,314420
2024-12-16,8.39,8.66,8.74,8.27,392961
2024-12-23,8.6,8.41,8.95,8.4,214235
2024-12-30,8.89,8.69,8.94,8.45,150500
2025-01-06,8.8,8.89,8.9,8.75,150456
2025-01-13,8.71,8.89,8.98,8.6,224052
2025-01-20,8.76,8.76,8.77,8.63,153326
2025-01-27,8.63,8.78,8.81,8.4,270532
2025-02-03,8.72,8.63,8.9,8.57,207058
