data,fechamento,abertura,maxima,minima,volume
2018-10-01,120.87,120.63,122.9,120.63,1476
2018-10-08,121.19,120.95,121.19,117.9,4869
2018-10-15,121.55,121.29,122.35,120.31,46397
2018-10-22,121.85,121.6,122.95,114.21,17380
2018-10-29,121.46,121.91,122.03,120.1,19573
2018-11-05,121.81,121.46,122.0,120.11,17208
2018-11-12,122.09,121.88,123.12,121.6,13449
2018-11-19,122.45,122.5,122.5,122.12,25301
2018-11-26,122.95,122.54,122.99,122.53,30243
2018-12-03,122.34,122.02,122.34,121.95,14637
2018-12-10,122.73,122.25,122.73,122.25,29410
2018-12-17,123.12,123.5,123.5,122.0,109017
2018-12-24,123.45,123.12,123.55,122.91,21022
2018-12-31,122.54,122.4,122.54,122.3,14285
2019-01-07,122.75,122.61,123.3,121.95,98049
2019-01-14,123.15,122.86,123.2,122.04,63038
2019-01-21,123.55,123.5,125.99,122.8,21205
2019-01-28,123.3,123.66,124.59,122.05,40262
2019-02-04,123.71,123.3,123.71,123.09,19665
2019-02-11,124.03,123.79,124.03,123.11,40559
2019-02-18,124.44,125.0,125.0,123.91,23363
2019-02-25,123.96,124.49,128.0,122.91,29502
2019-03-04,124.22,124.04,124.27,123.83,11699
2019-03-11,124.64,124.25,124.77,122.91,13730
2019-03-18,125.01,125.0,125.08,124.25,44475
2019-03-25,125.35,125.13,125.79,125.0,27991
2019-04-01,124.7,124.64,124.82,124.0,20299
2019-04-08,125.42,124.7,125.55,124.65,28335
2019-04-15,125.5,125.4,125.52,124.96,46866
2019-04-22,125.98,125.52,126.09,125.5,44347
2019-04-29,125.38,125.99,126.14,125.28,35305
2019-05-06,125.7,125.39,125.99,125.02,35111
2019-05-13,126.1,125.9,126.32,125.7,34182
2019-05-20,126.22,126.1,126.56,123.5,24135
2019-05-27,126.89,126.5,126.92,126.3,39762
2019-06-03,126.49,126.79,126.79,126.0,44736
2019-06-10,126.58,126.49,126.95,126.3,72617
2019-06-17,127.05,126.99,127.15,126.58,39494
2019-06-24,127.57,127.2,127.86,127.05,102128
2019-07-01,126.97,126.65,127.09,125.5,70821
2019-07-08,127.54,127.36,129.0,126.25,67222
2019-07-15,129.3,127.84,130.49,127.8,59552
2019-07-22,132.55,129.3,137.0,129.1,67125
2019-07-29,134.91,134.4,135.85,132.0,54531
2019-08-05,137.91,135.49,139.79,135.49,36168
2019-08-12,139.89,137.9,139.98,137.5,21683
2019-08-19,138.65,139.5,140.0,136.01,22769
2019-08-26,137.45,138.61,139.98,137.0,42683
2019-09-02,136.76,138.35,138.98,136.5,54578
2019-09-09,137.22,136.76,137.75,136.5,28280
2019-09-16,138.0,137.0,138.62,136.79,28626
2019-09-23,139.0,138.63,139.5,137.94,25315
2019-09-30,138.07,139.19,140.19,136.0,29577
2019-10-07,138.32,139.1,139.2,133.0,23066
2019-10-14,138.25,138.33,139.05,137.0,24999
2019-10-21,137.92,138.39,138.45,137.5,16840
2019-10-28,137.22,137.92,139.5,136.02,42394
2019-11-04,136.7,137.22,137.47,135.49,62671
2019-11-11,136.37,137.0,137.0,135.8,41955
2019-11-18,138.4,136.99,138.99,136.49,38733
2019-11-25,141.98,138.4,144.8,138.4,36808
2019-12-02,136.69,140.99,144.99,135.61,133101
2019-12-09,136.8,136.72,137.18,136.11,110569
2019-12-16,136.7,136.97,137.2,136.31,84443
2019-12-23,139.0,136.75,139.81,136.52,73626
2019-12-30,139.89,139.0,140.5,138.2,63021
2020-01-06,140.1,139.89,141.0,139.26,97551
2020-01-13,140.25,140.1,140.6,139.88,80589
2020-01-20,139.88,140.5,140.72,139.11,86445
2020-01-27,139.67,139.94,140.8,139.0,89218
2020-02-03,135.6,139.0,139.0,135.5,65062
2020-02-10,136.9,135.76,137.0,133.87,43724
2020-02-17,136.35,136.97,137.69,135.01,31619
2020-02-24,136.0,134.77,136.3,129.5,42430
2020-03-02,127.68,133.0,133.39,124.9,44878
2020-03-09,117.59,127.0,127.0,99.0,78999
2020-03-16,101.0,110.0,114.5,80.02,81397
2020-03-23,100.93,101.0,102.99,89.89,50837
2020-03-30,99.98,99.98,109.0,99.6,31872
2020-04-06,102.0,100.03,103.99,99.98,27670
2020-04-13,108.21,102.53,110.0,102.5,28542
2020-04-20,102.0,108.5,108.89,102.0,33625
2020-04-27,105.8,104.88,105.8,103.0,39728
2020-05-04,104.32,104.6,105.46,103.76,39408
2020-05-11,103.0,104.32,104.49,101.02,75623
2020-05-18,108.87,103.0,109.0,103.0,33857
2020-05-25,115.6,108.6,116.58,108.6,37661
2020-06-01,122.82,115.91,124.05,115.8,63566
2020-06-08,123.0,123.3,124.0,122.5,56712
2020-06-15,127.35,123.0,127.5,122.51,73044
2020-06-22,130.7,127.56,130.77,127.56,57741
2020-06-29,135.17,130.5,135.23,130.5,43649
