data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2017-06,117.5492,17753691.09,151031.9461,1462057.74,14848
2017-09,146.1713,29808344.35,203927.4225,885036.4,17630
2017-12,113.1816,44424362.34,392505.0084,1647973.5,21465
2018-02,114.8933,48007151.5,417841.0131,1599531.57,24799
2018-05,117.5145,62502219.2,533002.97,133820.29,28678
2018-09,121.6003,96417012.74,792900.8847,69989.52,34076
2018-12,125.8075,118737048.37,943799.2225,2054551.0,39730
2019-03,122.5429,132678490.59,1082710.6199,7875693.91,46430
2019-06,127.872,185538074.22,1450966.753,24262081.08,54022
2019-09,139.7208,215301926.07,1540944.1967,5460385.53,61777
2019-12,133.4633,459862172.33,3445608.564,173314185.22,76319
2020-03,132.2646,458385653.15,3465671.3057,95201782.51,90424
2020-06,127.8131,442958281.63,3465671.3057,34754652.84,105685
2020-09,124.6237,733988273.6,5889636.3057,202656336.58,121622
2020-12,132.9994,793195198.08,5963902.3057,149195097.92,140540
2021-03,128.7876,952034746.67,7398581.5879,163634805.36,163470
2021-06,131.4853,1487042542.65,11309571.5879,554951142.83,194533
2021-09,129.1908,1461093085.94,11309571.5879,297968140.82,224155
2021-12,132.3619,1496956687.22,11309571.5879,73366834.53,256088
2022-03,130.0572,1470891440.2,11309571.3637,35284869.17,289988
2022-06,124.3994,1406903970.82,11309571.3637,27785694.25,326469
2022-09,119.1913,1348002618.83,11309571.3637,57169916.27,362709
2022-12,133.1205,1834999005.05,13784500.3637,120404438.75,401463
2023-03,128.4409,1770493547.79,13784500.3637,20814071.96,446534
2023-06,119.4832,1647016644.13,13784500.3637,16541055.34,491824
2023-09,114.6272,1580078952.49,13784500.3637,1246193.13,531089
2023-12,123.4247,2364894946.54,19160622.3637,390828257.91,585033
2024-03,119.5815,2291256759.87,19160622.3637,101444171.2,641941
2024-06,115.3861,2210869724.22,19160622.3637,482911898.76,699808
2024-09,112.4547,2650327678.98,23567968.3637,116815478.52,760139
2024-12,115.152,2713898563.46,23567968.3637,27453633.26,820557
2025-03,113.1908,2667676366.58,23567968.3637,38392352.69,881553
2025-06,111.1488,2619551443.98,23567968.3637,14895321.14,947793
2025-09,108.8447,2565249593.0,23567968.3637,4564636.35,1015816
2025-12,106.713,2515008519.29,23567968.3637,25887936.47,1085264
2026-03,110.5419,2605248432.44,23567968.3637,43572326.23,1161646
