data,fechamento,abertura,maxima,minima,volume
2023-06-26,97.0,95.08,98.5,95.07,69097
2023-07-03,98.98,97.0,99.49,95.91,52253
2023-07-10,99.18,98.88,102.46,97.71,85350
2023-07-17,99.95,100.0,100.2,98.98,90910
2023-07-24,99.0,99.75,100.0,98.96,37636
2023-07-31,97.93,99.0,99.5,97.52,55069
2023-08-07,97.99,97.93,98.08,97.58,26763
2023-08-14,97.35,97.99,98.76,96.04,48232
2023-08-21,97.5,97.35,98.0,96.23,37681
2023-08-28,99.9,97.0,101.4,96.54,60983
2023-09-04,100.25,99.91,101.2,99.25,29215
2023-09-11,99.59,100.25,100.89,99.07,38192
2023-09-18,99.21,99.58,100.79,98.47,62564
2023-09-25,99.08,99.21,99.58,96.7,33410
2023-10-02,100.1,98.94,100.2,98.9,51171
2023-10-09,99.89,100.1,100.1,98.05,27069
2023-10-16,97.82,99.9,100.2,96.81,40123
2023-10-23,97.7,97.68,99.73,96.81,34779
2023-10-30,97.75,97.7,98.98,96.93,23652
2023-11-06,98.79,97.65,98.93,97.0,31211
2023-11-13,98.16,98.76,98.76,97.03,38339
2023-11-20,97.46,97.99,98.19,97.1,36245
2023-11-27,96.74,97.45,98.98,95.71,44910
2023-12-04,97.35,96.72,97.48,96.15,30164
2023-12-11,97.18,97.36,97.95,96.3,33840
2023-12-18,96.3,97.95,97.95,96.09,47004
2023-12-25,97.7,96.28,98.98,96.12,22565
2024-01-01,97.0,97.72,98.97,96.11,36679
2024-01-08,97.93,97.0,98.8,96.65,35726
2024-01-15,98.31,97.93,99.29,97.79,31492
2024-01-22,98.29,98.0,99.49,97.61,42514
2024-01-29,98.71,98.29,100.07,98.02,31727
2024-02-05,100.05,98.71,100.09,98.48,28450
2024-02-12,100.17,99.8,100.7,99.21,22763
2024-02-19,100.04,100.33,100.4,99.32,37473
2024-02-26,99.85,100.04,100.99,99.01,33349
2024-03-04,99.35,99.83,99.98,99.05,31052
2024-03-11,99.99,99.35,100.1,98.89,36292
2024-03-18,99.99,99.99,100.12,99.39,43574
2024-03-25,100.14,99.99,102.52,99.59,75808
2024-04-01,99.99,100.0,102.5,99.01,55951
2024-04-08,101.28,99.99,102.89,99.59,56284
2024-04-15,99.62,101.28,102.84,99.5,48065
2024-04-22,102.5,99.62,102.59,99.43,38735
2024-04-29,99.0,102.01,102.49,98.75,29573
2024-05-06,100.5,99.35,101.2,99.12,38862
2024-05-13,101.86,100.5,103.25,99.92,69834
