data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2016-12,96.6964,139131965.92,1438853.0,1453153.4,8057
2017-03,96.7989,139279346.53,1438853.0,1586202.34,11788
2017-06,96.8882,139407913.88,1438853.0,1918977.34,15001
2017-09,97.0283,139609494.86,1438853.0,2123499.45,17793
2017-12,93.1491,134027791.57,1438853.0,2146340.19,21196
2018-03,93.2123,134118858.76,1438853.0,2105675.81,25149
2018-06,93.0509,133886499.95,1438853.0,1839832.31,29173
2018-09,92.9312,136244349.36,1466077.0,58606418.1,33835
2018-12,92.7642,317529261.92,3422972.0,64271969.04,39555
2019-03,92.2377,315727188.57,3422972.0,63418274.9,46489
2019-06,92.1117,439381946.72,4770100.0,152298798.6,53992
2019-09,92.7168,442268253.03,4770100.0,152256437.25,62152
2019-12,95.4595,455351406.96,4770100.0,151028082.06,76698
2020-03,95.4356,455237326.55,4770100.0,149218395.67,91259
2020-06,95.4796,455447379.78,4770100.0,127499803.85,106643
2020-09,95.7399,456688784.76,4770100.0,103680811.48,121801
2020-12,106.138,506288698.23,4770100.0,185370324.14,140623
2021-03,103.4887,661815225.95,6395050.0,230998484.87,164965
2021-06,100.6825,643869641.19,6395050.0,71401837.05,193757
2021-09,101.2335,647393285.87,6395050.0,2511114.53,225577
2021-12,97.4087,622933473.38,6395050.0,17708429.37,257521
2022-03,97.5038,623541568.26,6395050.0,10881688.54,290661
2022-06,99.4341,635885877.3,6395050.0,8221574.83,327082
2022-09,98.7119,631267650.82,6395050.0,7020920.67,364584
2022-12,97.8696,625880844.9,6395050.0,6100536.22,402669
2023-03,96.9348,619902894.1,6395050.0,8422769.54,446483
2023-06,95.8801,613157980.81,6395050.0,7642315.46,491236
2023-09,95.4462,610382959.16,6395050.0,6210277.93,533678
2023-12,98.0291,626900706.27,6395050.0,25708513.32,585448
2024-03,103.2781,660468510.89,6395050.0,64792610.06,640720
2024-06,100.5849,778436145.09,7739092.0,40028168.62,697796
2024-09,99.7923,772301555.04,7739092.0,67479123.5,757209
2024-12,96.5675,747344432.15,7739092.0,34233553.58,821141
2025-03,95.432,738556983.79,7739092.0,61294203.15,877485
2025-06,86.8267,671959446.55,7739092.0,13887860.6,946386
2025-09,85.6687,662998239.01,7739092.0,52287522.94,1010406
2025-12,82.8207,640957237.62,7739092.0,11824693.13,1083340
2026-03,80.8009,625325727.6,7739092.0,70547233.15,1162445
