data,fechamento,abertura,maxima,minima,volume
2020-01-20,115.6721,102.4592,117.1951,102.4592,26367
2020-01-27,108.7887,114.2974,117.1951,108.7887,897
2020-02-03,114.2282,110.2722,114.7227,110.2722,197
2020-02-10,114.2282,114.7227,114.7227,105.8218,243
2020-02-17,113.7238,113.2392,114.7227,113.2392,31
2020-02-24,115.7117,113.7238,115.7117,113.7238,24
2020-03-02,115.6622,115.1183,115.6622,115.1084,1874
2020-03-09,109.7678,115.6622,115.6622,98.8988,566
2020-03-16,94.9429,100.8768,103.8438,88.0101,11227
2020-03-23,94.9429,91.9759,97.9099,89.009,244
2020-03-30,94.9429,93.9539,94.9429,89.009,3934
2020-04-06,94.9429,94.9429,94.9429,80.6026,1988
2020-04-13,95.7044,94.9429,95.7044,92.9649,9273
2020-04-20,92.9649,93.9539,95.1901,90.9869,3692
2020-04-27,92.9649,93.944,93.9539,91.6792,13713
2020-05-04,93.4693,92.866,96.9209,92.4704,17798
2020-05-11,92.9056,93.4594,93.855,92.3122,6532
2020-05-18,93.4594,93.6572,93.6572,92.7177,5590
2020-05-25,94.1517,93.5089,94.9429,92.7671,27687
2020-06-01,100.3724,94.4484,101.7175,93.9539,30544
2020-06-08,100.8669,100.3823,101.3713,99.423,18471
2020-06-15,100.3823,100.8669,100.8669,99.7593,40356
2020-06-22,100.1648,100.3922,101.3515,99.7889,62700
2020-06-29,100.8669,100.4812,103.3493,99.8878,95586
2020-07-06,105.8119,100.8768,105.8218,100.8768,135657
2020-07-13,103.9822,105.8218,106.3163,102.8548,53203
2020-07-20,103.8438,103.9921,104.8229,102.0142,62427
2020-07-27,103.5174,103.4482,104.3086,103.3295,123524
2020-08-03,101.8658,103.5471,103.7449,100.8768,263782
2020-08-10,101.49,102.0339,102.3504,100.9263,213002
2020-08-17,100.7977,101.49,101.49,99.8186,138971
2020-08-24,100.8768,101.0252,101.8065,100.2439,65013
2020-08-31,100.4713,101.3614,101.6878,100.0856,197819
2020-09-07,100.8669,100.4713,101.668,100.4713,120303
2020-09-14,100.7779,100.8768,101.49,100.679,62873
2020-09-21,100.2834,100.679,101.1142,99.9571,128290
2020-09-28,99.1065,100.4713,100.4713,98.0088,109817
2020-10-05,98.8494,99.3835,99.7593,98.5824,90976
2020-10-12,98.8988,98.8494,99.2944,98.7802,42004
2020-10-19,98.9483,98.8988,99.3933,98.7999,80759
2020-10-26,98.8494,99.3637,99.3933,94.1715,123540
2020-11-02,99.69,98.8494,99.8878,98.3055,79218
2020-11-09,101.0153,100.7878,105.3273,99.8878,67564
2020-11-16,100.3428,100.8768,100.8768,100.0164,94764
2020-11-23,100.5406,100.3625,100.8669,100.0856,92519
2020-11-30,99.8285,100.5406,100.6296,99.0571,128933
2020-12-07,99.7395,100.1746,100.1746,99.3933,242627
2020-12-14,99.8878,99.7889,100.3625,99.5911,157672
2020-12-21,99.8878,99.7889,100.3625,99.4428,92485
2020-12-28,100.7779,99.8878,100.7779,99.7889,200359
2021-01-04,101.3515,100.9559,101.8164,99.8483,120762
2021-01-11,101.2131,101.668,102.0142,100.768,123966
2021-01-18,103.735,101.2625,105.7229,101.223,83821
2021-01-25,105.4262,103.735,105.624,102.8548,113559
2021-02-01,104.813,105.4361,106.8108,103.6954,210795
2021-02-08,107.5031,104.3383,108.6898,103.3493,144597
2021-02-15,109.5799,107.5031,113.6743,106.8108,84681
2021-02-22,110.6579,109.9755,110.8458,106.8108,104446
2021-03-01,107.1569,110.5689,110.7173,105.8218,100260
2021-03-08,106.7514,107.1569,107.5031,105.6536,218495
2021-03-15,106.0196,106.7514,106.8108,105.624,165451
2021-03-22,105.7229,106.2174,106.3163,105.3273,70628
2021-03-29,105.1295,105.7229,106.3163,104.3383,66736
2021-04-05,105.08,105.1394,105.8218,104.1504,99430
2021-04-12,104.9811,104.8526,105.2185,102.8548,164587
2021-04-19,104.2592,104.9811,105.0998,103.7449,77746
2021-04-26,106.3163,104.2592,106.3163,104.2394,118342
2021-05-03,107.9481,106.2668,108.6799,104.8328,122146
2021-05-10,107.3547,107.9481,108.2942,106.4349,177413
2021-05-17,105.9207,107.5525,107.7008,105.8119,133246
2021-05-24,104.0515,106.8009,106.8108,103.4086,193221
2021-05-31,104.7635,104.2196,105.5251,103.3493,154616
2021-06-07,104.635,104.8229,105.2976,103.8438,212980
2021-06-14,104.2592,104.8427,105.535,102.8548,127086
2021-06-21,102.746,104.2592,105.3273,99.7889,133525
2021-06-28,100.3724,103.0032,103.0526,97.8901,151492
2021-07-05,99.8878,101.846,101.846,99.512,124194
2021-07-12,104.4075,100.1746,104.813,99.69,119899
2021-07-19,102.0241,104.4075,104.7635,101.3417,131864
2021-07-26,102.1131,102.2515,102.4592,99.423,261030
2021-08-02,101.3515,101.8658,101.8658,101.1735,97191
2021-08-09,101.2724,101.4208,101.6581,100.59,61680
2021-08-16,100.2834,101.2724,101.3614,99.4032,80256
2021-08-23,100.7779,100.2834,101.3713,99.8878,125707
2021-08-30,99.8384,100.7779,101.4208,99.1065,99959
2021-09-06,100.0856,100.5702,100.8669,99.1263,47332
