data,vp_cota,patrimonio_liquido,n_cotas,fonte_doc_id
2019-10,100.7152,54574663.96,541871,67334
2019-12,100.1667,54277437.57,541871,76807
2020-03,101.2591,189249901.68,1868966,91208
2020-06,98.3148,256861379.08,2612643,106929
2020-09,100.2688,459624925.54,4583926,121818
2020-12,107.7318,511486563.19,4747778,139517
2021-02,121.4984,556826708.51,4582995,163486
2021-06,106.3085,599741902.13,5641522,194694
2021-09,102.6098,578875374.53,5641522,224610
2021-12,101.9252,738428430.97,7244808,257829
2022-03,97.9010,709274040.52,7244808,291444
2022-06,98.0986,710705561.28,7244808,326923
2022-09,102.9963,914775705.08,8881638,364251
2022-12,105.4522,936587821.89,8881638,402671
2023-03,103.4325,1240433505.05,11992687,446651
2023-06,105.0697,1260068389.62,11992687,491854
2023-09,103.0140,1366990696.26,13269951,537431
2023-12,107.6135,1654260300.76,15372233,584452
2024-03,108.7820,1672222883.34,15372233,637080
2024-06,106.5703,2135195004.62,20035563,698236
2024-09,104.5987,2095693970.08,20035563,758133
2024-12,101.9903,2043433946.45,20035563,820728
2025-03,101.2694,2028989060.86,20035563,881783
2025-06,103.8768,2081229858.98,20035563,947036
2025-09,101.5540,3299823689.43,32493284,1013890
2025-12,103.0076,3347054221.02,32493284,1084537
2026-03,99.9808,6241874154.24,62430702,1161058
