data,fechamento,abertura,maxima,minima,volume
2023-09-25,96.75,96.74,96.98,95.6,77262
2023-10-02,88.49,95.3,95.73,87.62,126861
2023-10-09,88.71,88.49,89.89,86.21,84227
2023-10-16,92.51,88.8,93.8,88.33,65754
2023-10-23,92.4,92.61,92.78,89.99,39855
2023-10-30,90.99,92.39,93.0,90.36,36025
2023-11-06,90.95,90.99,91.27,90.45,38553
2023-11-13,91.2,90.95,91.27,90.4,39225
2023-11-20,93.0,91.25,93.49,91.2,39876
2023-11-27,93.65,92.9,94.84,92.5,93733
2023-12-04,94.26,93.67,94.65,93.16,66730
2023-12-11,95.75,94.29,96.5,94.0,39751
2023-12-18,95.43,95.27,96.8,94.0,62990
2023-12-25,97.84,95.45,97.97,95.41,15696
2024-01-01,97.45,97.65,97.74,96.49,28093
2024-01-08,99.87,97.45,100.97,97.2,170835
2024-01-15,103.8,99.9,104.38,99.89,78392
2024-01-22,104.99,103.52,105.49,103.4,49516
2024-01-29,104.71,104.95,105.5,103.8,33103
2024-02-05,101.2,104.0,104.1,100.37,41996
2024-02-12,101.95,101.0,103.5,100.5,80802
2024-02-19,103.1,102.74,103.78,100.46,60185
2024-02-26,102.55,103.0,105.2,101.9,50168
2024-03-04,103.4,102.49,104.03,101.62,33961
2024-03-11,106.21,103.12,107.49,102.9,49846
2024-03-18,105.95,107.2,107.25,104.0,53425
2024-03-25,106.89,105.26,107.29,104.73,29837
2024-04-01,103.9,105.97,107.0,103.4,59344
2024-04-08,104.57,104.0,106.8,103.52,63345
2024-04-15,104.3,104.55,104.69,103.27,43225
2024-04-22,104.6,104.0,104.6,102.97,42456
2024-04-29,103.84,103.99,104.48,102.99,14816
2024-05-06,100.03,101.25,101.63,99.3,65333
2024-05-13,101.9,100.0,102.14,99.36,54084
2024-05-20,102.75,102.11,104.41,101.22,0
2024-05-27,104.0,102.11,104.7,102.11,0
2024-06-03,103.23,102.03,103.47,101.25,0
2024-06-10,101.4,103.0,105.17,100.66,0
2024-06-17,102.5,101.2,102.59,100.56,0
2024-06-24,103.75,101.65,104.99,101.5,0
2024-07-01,102.02,102.97,103.2,100.1,0
2024-07-08,102.0,102.23,102.3,98.99,0
2024-07-15,102.4,102.0,103.0,101.6,0
2024-07-22,102.21,102.4,103.98,101.8,0
2024-07-29,104.19,103.0,104.4,101.55,0
2024-08-05,103.44,103.7,103.79,102.3,0
2024-08-12,102.22,103.44,103.44,101.26,0
2024-08-19,102.65,102.5,103.2,101.85,0
2024-08-26,103.57,102.65,103.8,102.33,0
2024-09-02,101.97,102.5,103.24,101.53,0
2024-09-09,99.59,101.97,102.42,98.55,0
2024-09-16,100.0,99.61,101.0,99.03,0
2024-09-23,99.95,100.0,100.3,98.5,0
2024-09-30,96.9,99.95,100.1,96.8,0
2024-10-07,96.68,96.9,97.78,95.3,0
2024-10-14,96.16,96.99,97.89,95.3,0
2024-10-21,95.0,96.15,96.5,93.01,0
2024-10-28,95.0,94.74,97.0,93.16,0
2024-11-04,93.91,94.95,95.7,93.2,0
2024-11-11,88.73,93.2,93.91,88.03,0
2024-11-18,89.99,88.8,90.99,88.7,0
2024-11-25,90.0,90.0,92.2,88.89,0
2024-12-02,90.15,90.2,90.45,87.26,0
2024-12-09,85.02,90.17,90.2,83.63,0
2024-12-16,81.0,85.05,85.8,80.31,0
2024-12-23,84.92,81.01,84.99,81.0,0
2024-12-30,87.82,85.78,88.16,85.05,0
2025-01-06,84.89,86.12,88.59,83.1,0
2025-01-13,85.22,84.9,87.64,84.15,0
2025-01-20,84.0,85.5,85.99,82.9,0
2025-01-27,84.45,84.0,84.97,83.37,0
2025-02-03,82.0,83.78,84.35,81.0,0
2025-02-10,81.46,81.9,83.05,81.13,0
2025-02-17,85.49,81.7,85.73,81.44,0
2025-02-24,87.5,85.49,88.44,84.0,0
2025-03-03,88.81,86.47,89.75,85.55,0
2025-03-10,90.15,88.28,91.41,87.38,0
2025-03-17,91.9,90.23,92.36,89.5,0
2025-03-24,90.4,91.9,92.96,89.9,0
2025-03-31,86.95,90.48,90.8,86.84,0
2025-04-07,85.29,86.95,86.95,85.06,0
2025-04-14,85.39,85.5,86.78,85.01,0
2025-04-21,87.84,86.19,88.46,85.18,0
2025-04-28,87.7,87.81,89.48,86.8,0
2025-05-05,89.85,88.55,90.39,88.26,0
