data,fechamento,abertura,maxima,minima,volume
2020-01-27,105.4,102.53,110.0,102.53,18762
2020-02-03,107.4,105.98,109.0,104.8,38734
2020-02-10,106.8,107.89,108.2,105.0,20785
2020-02-17,106.8,106.79,106.8,104.75,22858
2020-02-24,107.95,106.8,108.49,105.25,6021
2020-03-02,104.05,107.0,107.15,102.5,23041
2020-03-09,101.95,104.5,104.5,96.0,23202
2020-03-16,92.9,101.54,101.54,79.0,21071
2020-03-23,92.0,92.0,93.49,80.0,19187
2020-03-30,86.5,91.97,92.0,85.0,30161
2020-04-06,88.25,86.5,92.5,86.25,15249
2020-04-13,89.0,89.0,92.5,88.0,12098
2020-04-20,90.0,89.8,99.99,87.0,30465
2020-04-27,95.25,90.5,96.57,88.0,22273
2020-05-04,90.9,94.8,95.89,90.0,10123
2020-05-11,91.85,91.25,92.3,88.35,26781
2020-05-18,95.4,91.85,95.5,91.0,15118
2020-05-25,92.0,96.0,96.3,91.5,14962
2020-06-01,95.59,91.9,96.0,90.0,13060
2020-06-08,93.3,95.99,96.24,93.3,18979
2020-06-15,101.0,93.3,101.4,93.2,56219
2020-06-22,99.0,101.98,102.0,99.0,55751
2020-06-29,102.0,99.01,102.15,97.0,35474
2020-07-06,100.8,101.88,101.89,98.0,35922
2020-07-13,101.0,100.4,101.48,99.46,42143
2020-07-20,101.75,100.01,102.0,99.26,29164
2020-07-27,101.8,101.97,102.0,100.75,29827
2020-08-03,100.1,101.87,102.0,98.52,32610
2020-08-10,101.0,99.52,102.0,99.31,34374
2020-08-17,101.1,101.49,101.49,99.5,42981
2020-08-24,100.0,101.24,101.7,98.99,34668
2020-08-31,101.5,100.59,101.59,99.81,33962
2020-09-07,99.51,101.5,101.54,99.3,25134
2020-09-14,100.79,100.04,100.99,99.0,34693
2020-09-21,102.75,100.79,103.0,100.15,39457
2020-09-28,102.85,102.5,103.34,100.6,27502
2020-10-05,103.49,102.74,103.75,101.01,27383
2020-10-12,114.99,103.49,114.99,103.0,22400
2020-10-19,102.8,111.0,112.71,100.0,21991
2020-10-26,104.5,103.24,106.5,101.0,38643
2020-11-02,102.0,104.5,104.5,100.79,17843
2020-11-09,106.0,102.0,106.99,100.5,28645
2020-11-16,104.5,105.5,106.0,104.0,20463
2020-11-23,102.0,104.02,104.5,101.75,17187
2020-11-30,101.83,102.01,105.81,101.11,19474
2020-12-07,102.99,101.82,102.99,101.5,23478
2020-12-14,102.72,102.99,104.5,102.3,17785
2020-12-21,104.49,103.01,104.5,103.01,9933
2020-12-28,106.0,104.48,106.0,103.44,26606
2021-01-04,104.0,105.49,105.5,104.0,15373
2021-01-11,103.0,104.49,105.45,103.0,33628
2021-01-18,104.5,104.15,105.24,103.31,26496
2021-01-25,105.5,104.5,106.0,104.01,22143
2021-02-01,104.09,104.63,104.85,101.55,24588
2021-02-08,105.9,104.22,105.9,102.5,26799
2021-02-15,105.98,105.9,106.99,105.45,22418
2021-02-22,104.98,105.97,105.98,103.99,64914
2021-03-01,105.4,104.41,106.35,103.21,42382
2021-03-08,104.52,105.44,105.9,103.02,45223
2021-03-15,105.3,104.68,105.5,102.27,64904
2021-03-22,104.2,105.3,105.3,103.03,32841
2021-03-29,103.0,104.18,104.9,102.01,31042
2021-04-05,103.45,103.92,104.49,102.95,32092
2021-04-12,103.0,103.69,103.8,99.11,80359
2021-04-19,102.98,103.48,103.51,101.25,34205
2021-04-26,103.0,102.97,104.0,100.06,39011
2021-05-03,102.9,101.55,103.65,101.31,43481
2021-05-10,102.0,102.99,103.0,101.26,34597
2021-05-17,101.55,102.0,102.9,99.99,49363
2021-05-24,101.7,101.99,102.14,100.5,33873
2021-05-31,101.4,101.4,102.62,100.2,33675
2021-06-07,99.98,101.19,101.42,99.0,64067
2021-06-14,98.31,99.95,99.97,97.66,39610
2021-06-21,96.98,98.31,98.99,95.3,50657
2021-06-28,94.42,96.0,97.18,92.11,35898
2021-07-05,94.5,93.8,96.67,93.6,37434
2021-07-12,98.3,94.87,99.99,94.33,76246
2021-07-19,98.01,99.8,99.8,96.09,43473
2021-07-26,97.78,98.97,98.97,97.0,31053
2021-08-02,96.8,97.69,98.01,95.13,36633
2021-08-09,96.93,96.8,97.8,94.89,27079
2021-08-16,96.32,96.92,96.94,94.14,59741
2021-08-23,95.7,96.53,96.93,93.27,54141
2021-08-30,93.76,95.27,95.47,92.56,52802
2021-09-06,94.0,93.78,95.0,92.45,55987
2021-09-13,94.07,94.0,95.5,92.72,78310
2021-09-20,94.89,93.67,95.37,93.26,51077
2021-09-27,94.5,94.51,96.39,93.9,57534
2021-10-04,95.19,94.4,95.9,94.0,55409
2021-10-11,97.5,95.45,97.5,94.54,28504
2021-10-18,95.85,97.76,98.0,94.15,54010
2021-10-25,95.85,95.89,96.9,95.23,37314
2021-11-01,94.89,94.66,95.8,92.39,61641
2021-11-08,96.0,95.35,97.69,93.53,77729
2021-11-15,97.74,96.0,98.5,95.53,36579
2021-11-22,96.74,97.97,98.4,95.5,54181
2021-11-29,94.81,96.5,98.18,94.8,50409
2021-12-06,96.72,95.36,99.0,95.05,59313
2021-12-13,97.76,97.05,98.9,95.6,61082
2021-12-20,98.68,97.76,99.0,97.5,45014
2021-12-27,100.0,98.01,104.31,98.01,40716
2022-01-03,98.85,98.94,99.98,97.01,41706
2022-01-10,99.9,98.92,100.64,96.51,60683
2022-01-17,98.02,99.91,100.25,97.45,90172
2022-01-24,98.0,98.11,98.4,97.76,78355
2022-01-31,97.15,98.2,98.4,95.11,113945
2022-02-07,96.94,97.15,97.15,96.5,67645
2022-02-14,97.15,96.94,97.15,96.3,46578
2022-02-21,97.9,97.13,97.9,96.0,41471
2022-02-28,94.8,97.9,97.9,93.92,50128
2022-03-07,96.8,94.82,97.0,94.11,64766
2022-03-14,95.97,96.83,96.96,94.81,69267
2022-03-21,97.2,95.93,99.84,95.11,62723
2022-03-28,96.7,97.21,98.31,94.15,45221
2022-04-04,97.75,97.0,98.73,96.35,57748
2022-04-11,98.2,97.73,98.26,96.92,28905
2022-04-18,98.46,98.27,98.99,97.11,29901
2022-04-25,98.83,98.6,98.99,96.77,46192
2022-05-02,97.34,97.41,99.49,96.82,43755
2022-05-09,99.84,97.35,99.99,95.29,48598
2022-05-16,97.47,99.79,99.79,96.09,54241
2022-05-23,98.63,98.49,99.99,97.05,52355
