data,fechamento,abertura,maxima,minima,volume
2018-07-30,9.9401,9.9401,10.3377,9.9401,4345
2018-08-06,9.9401,9.9401,9.9401,9.9401,2012
2018-08-13,10.0395,9.9401,10.0395,9.9401,140
2018-08-20,9.9401,10.0395,10.0395,9.9401,1598
2018-08-27,9.9898,9.9401,9.9898,9.9401,774
2018-09-03,9.9898,9.9898,9.9898,9.9898,0
2018-09-10,9.9401,9.9898,9.9898,9.9391,29586
2018-09-17,9.955,9.9401,9.955,9.9401,50
2018-09-24,9.9401,9.954,9.9898,9.9391,5893
2018-10-01,9.9401,9.3487,9.9401,9.3487,330
2018-10-08,9.9401,9.9401,9.9401,9.9352,110
2018-10-15,9.9411,9.8815,9.9411,9.8417,5913
2018-10-22,9.9898,9.9411,9.9898,9.9391,8509
2018-10-29,9.9401,9.9898,9.9898,9.8904,5070
2018-11-05,9.9401,9.9401,9.9451,9.9401,130
2018-11-12,9.9391,9.9401,9.9401,9.9391,20
2018-11-19,9.9401,9.9391,9.9401,9.4779,9948
2018-11-26,9.9391,9.9401,9.9401,9.9352,6478
2018-12-03,9.9401,9.8397,9.9401,9.4431,15592
2018-12-10,9.9401,9.9401,9.9501,9.9391,16829
2018-12-17,9.9401,9.9401,9.9401,9.9381,56225
2018-12-24,9.9401,9.9401,9.9401,9.9381,9939
2018-12-31,9.9898,9.9401,9.9898,9.9401,35824
2019-01-07,10.0395,9.9898,10.0395,9.9898,106849
2019-01-14,10.0167,9.9898,10.2383,9.9898,8821
2019-01-21,10.0395,10.0395,10.0892,9.9381,22965
2019-01-28,10.0882,10.0395,10.0882,9.9202,45007
2019-02-04,9.9401,10.0395,10.0882,9.8576,90349
2019-02-11,9.9401,9.9401,10.0385,9.8835,74384
2019-02-18,9.9998,9.9421,10.0097,9.9381,53246
2019-02-25,9.9988,9.9998,9.9998,9.9699,83086
2019-03-04,10.0385,9.9988,10.0693,9.9829,60119
2019-03-11,10.0743,10.0395,10.8317,9.9401,114052
2019-03-18,9.9401,10.0544,10.0793,9.9103,81034
2019-03-25,9.9391,9.9401,10.1379,9.8914,158346
2019-04-01,10.0107,10.0405,10.2363,9.9153,270779
2019-04-08,9.9391,10.0107,10.0137,9.9391,220175
