data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2018-07,98.1219,39407530.6,401618.0,20858156.93,30838
2018-09,97.7333,39251459.66,401618.0,3971010.03,34031
2018-12,97.4334,39131017.8,401618.0,3017429.61,39331
2019-03,96.8856,108603708.84,1120948.0,36001758.63,46557
2019-06,96.6402,108328591.49,1120948.0,5992813.39,53758
2019-09,96.9401,287191561.71,2962568.0,96049797.71,62140
2019-12,97.071,437442280.09,4506414.0,27209024.15,76846
2020-03,96.8984,436664164.24,4506414.0,43593749.59,91341
2020-06,96.878,436572564.64,4506414.0,19604505.53,107348
2020-09,96.8253,436334709.45,4506414.0,23657660.71,122118
2020-12,97.0662,437420608.61,4506414.0,6171173.08,140734
2021-03,96.6928,435738002.39,4506414.0,22469798.72,165458
2021-06,97.1121,437627487.94,4506414.0,4622089.64,195580
2021-09,96.9827,437044080.45,4506414.0,19840833.74,226386
2021-12,97.9001,441178250.99,4506414.0,9663965.41,257496
2022-03,97.0371,535719360.76,5520769.0,111776496.17,291251
2022-06,96.5275,730786906.98,7570766.0,13417899.16,327859
2022-09,9.6442,730139166.53,75707660.0,22202288.78,365840
2022-12,9.6394,994983513.26,103220707.0,80632842.31,402768
2023-03,9.6286,993872454.27,103220707.0,66816952.5,447142
2023-06,9.6475,995817375.7,103220707.0,15595958.72,493107
2023-09,9.6373,994767385.73,103220707.0,78975046.07,537449
2023-12,9.6421,995264979.41,103220707.0,21767639.65,585288
2024-03,9.7377,1005135243.63,103220707.0,27736177.24,639569
2024-06,9.6222,1101899964.99,114516482.0,109188443.09,695664
2024-09,9.7279,1421265250.77,146101287.0,229371308.28,758723
2024-12,9.6142,1404648272.5,146101287.0,18533688.61,821318
2025-03,9.7461,1423918121.46,146101287.0,52817748.14,881705
2025-06,9.7637,1426486204.1,146101287.0,23871532.6,947058
2025-09,9.779,1428717468.19,146101287.0,101871725.72,1014492
2025-12,9.8174,1434329594.84,146101287.0,12919548.55,1083977
2026-03,9.8023,1432131432.7,146101287.0,86964138.79,1161949
