data,fechamento,abertura,maxima,minima,volume
2019-03-18,108.0,108.0,111.0,108.0,9118
2019-03-25,112.5,110.99,112.5,110.81,3837
2019-04-01,112.5,112.1,112.5,111.12,1083
2019-04-08,112.98,112.49,112.99,111.6,2025
2019-04-15,112.99,112.99,112.99,112.0,280
2019-04-22,110.0,112.99,112.99,109.5,4120
2019-04-29,112.0,112.0,112.99,110.11,3002
2019-05-06,111.49,112.0,112.5,109.91,11108
2019-05-13,110.0,111.49,111.49,109.2,11700
2019-05-20,110.1,110.01,110.99,109.98,19645
2019-05-27,110.6,110.69,111.97,110.0,44797
2019-06-03,110.38,112.0,112.0,109.5,75476
2019-06-10,110.29,110.39,110.5,104.51,54634
2019-06-17,110.0,110.27,110.3,109.71,36475
2019-06-24,110.99,110.0,110.99,109.9,64633
2019-07-01,112.96,110.79,113.2,110.25,134648
2019-07-08,114.0,112.96,115.0,111.0,163546
2019-07-15,114.6,114.4,115.48,113.0,131338
2019-07-22,114.2,115.41,115.49,112.79,167949
2019-07-29,118.3,114.4,123.77,114.4,142508
2019-08-05,118.0,118.29,123.18,117.0,127399
2019-08-12,120.46,118.49,120.98,113.51,90097
2019-08-19,119.5,120.45,120.8,117.0,96379
2019-08-26,121.27,119.77,122.3,118.36,107419
2019-09-02,120.7,121.19,122.0,119.24,93375
2019-09-09,121.0,120.7,122.0,119.88,63497
2019-09-16,120.75,121.46,122.24,119.25,93717
2019-09-23,117.81,120.69,126.26,114.01,105219
2019-09-30,114.22,118.5,120.87,113.51,116293
2019-10-07,115.25,114.38,116.97,113.7,197114
2019-10-14,118.2,115.0,118.99,112.98,154273
2019-10-21,119.98,117.8,119.99,116.51,94866
2019-10-28,125.47,119.97,125.7,117.5,124630
2019-11-04,125.75,125.47,130.34,123.53,119840
2019-11-11,126.5,126.0,128.2,117.76,85079
2019-11-18,130.0,126.66,130.49,124.0,138776
2019-11-25,130.46,129.59,134.11,127.16,131384
2019-12-02,130.81,126.03,142.0,126.03,181380
2019-12-09,137.5,130.5,137.89,127.5,155499
2019-12-16,134.65,137.5,137.79,132.12,178381
2019-12-23,146.76,135.8,148.92,135.59,78017
2019-12-30,147.0,147.93,151.5,143.32,80878
2020-01-06,142.07,146.68,149.19,130.88,202321
2020-01-13,140.7,142.07,143.54,137.14,158181
2020-01-20,139.2,144.15,150.0,139.0,245863
2020-01-27,137.5,139.2,145.99,137.21,147465
2020-02-03,126.6,137.0,137.0,123.0,207501
2020-02-10,124.1,126.5,126.5,122.68,219023
2020-02-17,125.05,124.0,126.9,123.8,212080
2020-02-24,123.8,125.05,125.05,121.0,262790
2020-03-02,124.8,123.51,125.8,122.81,225821
2020-03-09,115.5,123.02,124.0,109.0,245685
2020-03-16,97.05,114.4,114.4,65.0,178090
2020-03-23,112.99,97.15,115.5,85.1,151168
2020-03-30,101.05,112.87,115.5,100.0,123145
2020-04-06,101.97,103.0,105.0,98.11,155906
