data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2018-12,99.3861,64799722.41,652000.0,6438020.0,39354
2019-03,107.0022,76741959.14,717200.0,3693757.85,46144
2019-06,105.829,232548968.21,2197403.0,38049723.83,54124
2019-09,105.6094,232066429.91,2197403.0,33148812.27,62115
2019-12,109.7671,480716877.3,4379425.0,183511140.1,76741
2020-03,112.1212,789195393.85,7038771.0,306575970.65,91217
2020-06,112.8643,794426013.19,7038771.0,96584861.86,107000
2020-09,112.7235,1213001385.91,10760855.0,332948138.66,121825
2020-12,113.6035,1222470571.65,10760855.0,80725263.71,140252
2021-03,114.3826,1715440589.03,14997396.0,435185795.25,165188
2021-06,114.1891,1712539409.11,14997396.0,96774492.77,195026
2021-09,113.9275,1708615548.48,14997396.0,89839968.8,226141
2021-12,114.166,1712192304.32,14997396.0,27115414.16,257871
2022-03,113.734,1705713972.9,14997396.0,18489247.36,291083
2022-06,113.3743,1700319033.8,14997396.0,17357534.26,326901
2022-09,113.9621,1709134335.24,14997396.0,19849771.91,365429
2022-12,112.2683,1683731866.6,14997396.0,10652030.99,401979
2023-03,111.8346,1677228504.13,14997396.0,14831056.07,446880
2023-06,111.958,1679078750.87,14997396.0,45033088.88,492079
2023-09,111.6855,1674992386.14,14997396.0,31361706.96,537100
2023-12,114.0924,1711089166.83,14997396.0,23904844.66,583157
2024-03,114.0565,1710550995.61,14997396.0,18561703.54,640184
2024-06,113.7666,1706203001.5,14997396.0,15379246.06,698618
2024-09,113.5471,1702910933.11,14997396.0,8193427.03,757679
2024-12,112.9733,1694305487.03,14997396.0,61549829.45,820718
2025-03,112.7081,1690328197.72,14997396.0,54090520.2,880594
2025-06,112.4191,1685994235.99,14997396.0,51547512.9,946789
2025-09,112.5866,1688506029.67,14997396.0,43220753.48,1012956
2025-12,113.2817,1698931170.8,14997396.0,29166540.17,1084279
2026-03,112.44,1686306976.86,14997396.0,89556129.83,1161146
