data,fechamento,abertura,maxima,minima,volume
2019-11-25,12.6817,12.6024,12.8524,12.523,942263
2019-12-02,12.8008,12.6817,12.8187,12.5428,1148079
2019-12-09,13.3565,12.6559,13.559,12.6559,1646112
2019-12-16,13.6939,13.2037,13.7872,12.9894,2815338
2019-12-23,14.2893,13.6939,14.4878,13.5034,833210
2019-12-30,14.3885,14.4639,14.5513,13.9202,751280
2020-01-06,14.0908,14.3885,14.6822,13.297,1611733
2020-01-13,13.3982,13.9916,14.1901,13.3962,1401386
2020-01-20,13.2474,13.5074,13.68,13.1203,1203470
2020-01-27,13.2474,13.2434,13.3526,12.6063,1146950
2020-02-03,13.6344,13.0568,13.8924,13.0429,2506477
2020-02-10,13.7931,13.6463,13.8705,13.4736,1732603
2020-02-17,13.5709,13.7912,13.7931,13.0033,1482178
2020-02-24,13.2474,13.5709,13.5709,12.8405,616866
2020-03-02,13.4518,13.2573,14.3766,13.1283,975497
2020-03-09,11.4215,13.0985,13.3764,10.8162,1690811
2020-03-16,9.5262,11.2131,11.2707,7.3451,1467278
2020-03-23,10.8757,9.3277,10.9115,8.2362,1080076
2020-03-30,10.1434,10.8738,11.1119,9.9211,1343103
2020-04-06,10.072,9.9231,10.5463,9.9211,1086985
2020-04-13,10.3181,10.1216,10.7309,9.9231,930042
2020-04-20,9.9251,10.4133,10.6773,9.8259,768941
2020-04-27,9.9906,10.0224,10.2387,9.8021,796250
2020-05-04,10.2407,10.0482,10.3915,9.8338,836333
2020-05-11,9.9013,10.3141,10.4669,9.9013,1215024
2020-05-18,9.9827,10.0243,10.193,9.7961,1554967
2020-05-25,10.2784,9.9946,10.32,9.9926,1161467
2020-06-01,11.5108,10.2089,11.5108,10.1236,2205902
2020-06-08,11.7073,11.7093,12.003,11.354,799187
2020-06-15,11.741,11.6815,12.1657,11.4156,844802
2020-06-22,11.5108,11.741,11.8006,11.3124,1376258
2020-06-29,11.9653,11.5088,12.3047,11.4513,900878
2020-07-06,12.0268,12.0665,12.265,11.8065,823852
2020-07-13,12.0209,12.0268,12.1062,11.9077,838695
2020-07-20,11.7073,12.0407,12.265,11.4632,1062476
2020-07-27,11.4493,11.7311,11.7728,11.3739,935025
2020-08-03,11.5088,11.4493,11.6894,11.1198,813013
2020-08-10,11.5902,11.5307,11.745,11.2806,1018000
2020-08-17,11.4116,11.4453,11.6815,11.3044,988588
2020-08-24,11.5108,11.4116,11.5108,11.3143,1225892
2020-08-31,11.4116,11.5108,11.6597,11.364,840297
2020-09-07,11.6934,11.4116,11.7093,11.4116,805818
2020-09-14,11.7212,11.6934,11.8859,11.6855,1114949
2020-09-21,11.6894,11.8065,11.8065,11.5942,1093644
2020-09-28,11.7887,11.6894,11.8681,11.6815,922586
2020-10-05,12.0844,11.8641,12.2451,11.7311,1056051
2020-10-12,12.1042,12.0844,12.2015,11.9077,867110
2020-10-19,12.0169,12.0665,12.1459,11.8978,1253438
2020-10-26,11.8085,12.0229,12.0864,11.5505,1027492
2020-11-02,11.7986,11.8085,11.9474,11.3005,657099
2020-11-09,11.7529,11.9077,11.9871,11.5148,733017
2020-11-16,11.8284,11.7688,11.8681,11.6755,984386
2020-11-23,11.9732,11.8879,11.9871,11.7887,877182
2020-11-30,11.8204,11.9732,11.9871,11.7291,771983
2020-12-07,11.6755,11.7192,11.8581,11.5505,958793
2020-12-14,11.6716,11.7013,11.8085,11.5902,1069681
2020-12-21,12.2769,11.8581,12.2809,11.8303,771192
2020-12-28,12.5527,12.3027,12.6996,12.2809,335019
2021-01-04,12.525,12.5428,12.9001,12.2848,788872
2021-01-11,12.4714,12.5329,12.5964,12.2074,1170482
2021-01-18,12.4317,12.4753,12.5031,12.2431,976635
2021-01-25,12.6599,12.4317,12.6956,12.2709,1176039
2021-02-01,12.5964,12.5726,12.6579,12.4079,935434
2021-02-08,12.5944,12.5031,12.5984,12.4833,1080484
2021-02-15,12.5647,12.5944,12.6024,12.4634,656037
2021-02-22,12.3047,12.5428,12.5726,12.2749,2284823
2021-03-01,12.2352,12.3146,12.4059,11.8859,1069475
2021-03-08,12.2828,12.2471,12.3047,11.9931,935957
2021-03-15,12.0625,12.2828,12.3483,11.7232,690893
2021-03-22,12.1757,12.0625,12.2451,11.9574,697435
2021-03-29,12.2054,12.1261,12.263,11.88,615575
2021-04-05,11.9474,12.2054,12.2054,11.9216,692410
2021-04-12,12.0288,11.9534,12.1062,11.9276,761139
2021-04-19,12.0665,12.0288,12.1062,11.9693,720830
2021-04-26,12.0883,12.0645,12.1439,11.9077,1032072
2021-05-03,12.0467,12.0407,12.0645,11.9296,822215
2021-05-10,11.9455,12.0467,12.0864,11.8085,1040295
2021-05-17,11.9752,11.9653,11.9752,11.8581,925302
2021-05-24,12.0387,11.9732,12.1062,11.7093,938427
2021-05-31,11.9832,12.0387,12.0844,11.9018,586956
2021-06-07,11.9216,11.9832,11.9871,11.8859,1030238
2021-06-14,11.9355,11.9554,11.9673,11.8681,832296
2021-06-21,11.62,11.9355,11.9435,11.1139,1275417
2021-06-28,11.749,11.5108,11.872,11.0782,990371
