data,vp_cota,patrimonio_liquido,n_cotas,fonte_doc_id
2019-12,12.31,612124346.92,9942726,
2020-03,12.14,603327723.32,9942726,
2020-06,12.16,604649683.81,9942726,
2020-09,12.10,601321700.32,9942726,
2020-12,12.20,772996774.84,12673868,
2021-03,12.07,764666376.16,12673868,
2021-06,11.93,756120700.67,12673868,
2021-09,11.76,745451696.93,12673868,
2021-12,11.04,699302246.47,12673868,
2022-03,10.99,910328271.55,16565259,
2022-06,10.80,894547083.83,16565259,
2022-09,10.78,892610542.90,16565259,
2022-12,10.95,906890470.29,16565259,
2023-03,10.89,902026395.50,16565259,
2023-06,10.87,900167469.92,16565259,
2023-09,10.79,894056653.95,82826295,1119307
2023-12,10.84,897853061.93,82826295,
2024-03,10.83,896723319.79,82826295,
2024-06,10.75,890502336.49,82826295,
2024-09,10.68,884341899.97,82826295,
2024-12,10.30,853231755.70,82826295,
2025-03,10.29,852283536.07,82826295,
2025-06,10.24,847824062.68,82826295,
2025-09,10.02,829637912.87,82826295,1012940
2025-12,9.86,816316591.78,82826295,1084282
2026-03,9.86,816535746.28,82826295,1161148
