data,fechamento,abertura,maxima,minima,volume
2017-10-30,101.4951,101.6745,104.5755,100.6876,71566
2017-11-06,101.4453,101.4951,102.6415,99.7106,51652
2017-11-13,100.6776,101.6745,102.6814,99.7505,72887
2017-11-20,100.5879,100.6776,100.8371,98.1953,69991
2017-11-27,99.1823,100.897,101.6745,92.7123,78591
2017-12-04,99.6209,100.2689,100.6378,98.0857,111291
2017-12-11,99.6907,99.6708,100.3885,99.1922,88558
2017-12-18,101.3854,99.6907,101.4851,99.5013,75224
2017-12-25,103.6883,101.3854,104.5656,100.6976,57486
2018-01-01,106.6591,103.6883,108.1445,103.6783,70696
2018-01-08,108.3638,106.8784,109.5401,106.4697,76587
2018-01-15,111.6336,108.3638,111.6336,108.0647,64181
2018-01-22,113.1689,111.4542,114.5446,109.2211,49877
2018-01-29,106.669,113.6474,114.4449,104.0771,100386
2018-02-05,108.6529,106.679,109.6598,106.669,102790
2018-02-12,108.7725,108.6529,109.6598,108.6529,47771
2018-02-19,111.6536,109.1513,112.3414,108.8622,114191
2018-02-26,110.6567,111.6536,112.3414,109.1613,87469
2018-03-05,110.3576,110.7065,111.5838,109.6598,76249
2018-03-12,109.1613,110.3676,113.1489,108.1744,83135
2018-03-19,107.666,109.7196,110.1183,106.998,63532
2018-03-26,107.0877,107.6261,109.6598,106.9881,75937
2018-04-02,110.0187,107.1476,112.5508,107.1476,80170
2018-04-09,109.6598,109.7595,110.6367,108.4236,93397
2018-04-16,108.2641,109.6498,109.6498,103.8976,88529
2018-04-23,112.6505,108.3638,114.6443,108.2641,70227
2018-04-30,106.8684,112.6505,114.0462,106.8186,205005
2018-05-07,107.1476,107.1675,107.656,106.7887,170820
2018-05-14,105.6422,107.1376,107.1376,105.393,124974
2018-05-21,104.1867,105.6522,106.0908,104.1867,199879
2018-05-28,102.3026,104.1668,105.1338,98.1953,104390
2018-06-04,98.6938,102.482,103.1799,98.6938,117985
2018-06-11,94.1977,99.591,100.0895,93.7093,98008
2018-06-18,98.4745,94.098,98.9929,91.8151,118070
2018-06-25,100.6876,98.5742,101.5848,96.8395,65275
2018-07-02,102.3823,101.4652,105.6721,99.6907,64875
2018-07-09,102.5518,102.3823,103.6185,101.844,56761
2018-07-16,102.0434,102.5618,102.5817,101.6845,76935
2018-07-23,102.482,102.3524,102.5618,99.7904,85925
2018-07-30,100.8371,102.482,104.6653,99.6907,72634
2018-08-06,100.8272,100.8571,102.0733,100.6876,79286
2018-08-13,101.535,101.2758,102.0334,99.9798,103438
2018-08-20,100.6776,101.6845,102.0633,100.3387,85014
2018-08-27,99.1922,100.6876,101.1761,97.6969,107903
2018-09-03,98.1953,98.3449,99.6608,97.2184,63603
2018-09-10,97.1984,98.5044,99.6608,97.0888,83582
2018-09-17,97.8763,97.1984,97.996,96.1018,101136
2018-09-24,95.2146,97.9062,98.1953,94.7759,105349
2018-10-01,97.3579,95.8127,98.2452,94.7161,168867
2018-10-08,99.4315,97.7368,100.5979,96.8994,109695
2018-10-15,101.6845,99.8402,102.6216,99.6907,143001
2018-10-22,101.6845,101.7842,102.0833,101.1861,105148
2018-10-29,101.525,101.6745,101.6845,99.4415,93478
2018-11-05,103.2796,101.535,103.6684,101.3954,126962
2018-11-12,103.778,103.2796,103.9774,102.6814,86244
2018-11-19,102.9805,103.9475,104.4759,102.163,182884
2018-11-26,104.7949,103.1799,106.1606,102.8808,180391
2018-12-03,105.1039,104.9643,105.6422,101.3356,130058
2018-12-10,105.3531,105.1039,105.4528,103.778,119592
2018-12-17,106.0211,105.3531,106.2803,104.9444,119087
2018-12-24,107.666,106.0211,107.666,105.6921,67154
2018-12-31,108.1644,107.666,108.1644,106.7687,80856
2019-01-07,108.1644,108.1644,108.6629,107.7058,140396
2019-01-14,108.0547,108.1644,108.5034,106.669,126131
2019-01-21,105.3033,108.0647,108.0647,105.1737,121049
2019-01-28,106.669,105.3133,107.4666,102.5817,129748
2019-02-04,107.0678,106.669,107.8653,106.1706,120960
2019-02-11,106.7787,107.0678,107.5663,106.1806,94534
2019-02-18,105.6821,107.1476,107.4068,105.074,134731
2019-02-25,106.0709,105.8715,106.4697,103.9774,136087
2019-03-04,106.9681,106.0709,107.3569,106.0709,82423
2019-03-11,107.3469,106.9681,107.646,106.8186,125464
2019-03-18,107.7158,107.3669,108.4535,107.1974,112073
2019-03-25,108.6629,107.7158,109.6498,107.5663,108010
2019-04-01,109.1613,108.6529,109.6498,107.7856,119129
2019-04-08,107.7258,109.1414,109.1414,107.666,98555
2019-04-15,108.5532,107.8255,108.7626,107.666,82945
2019-04-22,107.965,108.5432,108.5532,106.669,90821
2019-04-29,104.4061,107.965,108.1544,100.6876,147600
2019-05-06,105.1338,104.3762,105.6123,103.3992,78097
2019-05-13,104.0671,105.1338,105.1737,103.2098,84882
2019-05-20,104.0771,104.0671,104.6653,102.821,79630
2019-05-27,104.8646,104.1768,104.9743,103.9774,66798
2019-06-03,104.6752,104.8646,105.6721,104.1768,116078
2019-06-10,104.6852,104.6752,105.6622,104.2565,104865
2019-06-17,106.6391,104.8846,106.6391,104.2765,82712
2019-06-24,106.6192,106.6391,106.669,105.3232,104769
2019-07-01,107.7457,106.4896,108.1544,105.4229,122913
2019-07-08,108.1744,107.7756,108.6529,106.4697,127675
2019-07-15,109.1115,108.1146,109.5601,107.8853,132058
2019-07-22,108.9121,109.1015,109.6598,107.666,113570
2019-07-29,113.3583,108.9121,113.6474,108.9121,109757
2019-08-05,111.5738,112.1122,116.1297,109.7395,185745
2019-08-12,109.7096,111.6536,112.0523,108.7925,150195
2019-08-19,109.6598,109.8492,110.1483,108.6728,138677
2019-08-26,113.6474,109.6598,114.1459,108.5133,122643
2019-09-02,112.6505,113.0393,116.5484,111.8031,185897
2019-09-09,117.0568,113.4181,118.6319,113.1489,136164
2019-09-16,121.6227,117.0568,124.6034,117.0369,162706
2019-09-23,123.8158,121.6725,124.1149,116.9671,166208
2019-09-30,119.0805,123.8158,124.5835,114.6443,276657
2019-10-07,121.2239,119.0805,121.4233,117.6948,201104
2019-10-14,124.1149,121.2039,124.4838,120.1273,184160
2019-10-21,128.2421,124.2146,129.0995,124.2146,193056
2019-10-28,130.5848,128.1025,130.5948,127.6041,216687
2019-11-04,135.6591,130.0964,137.5732,129.4982,205400
2019-11-11,134.3133,135.5793,135.6491,130.5948,140233
2019-11-18,140.9028,134.5824,142.3583,134.4329,138526
2019-11-25,136.5762,140.9028,141.5508,135.5694,179039
2019-12-02,134.4628,134.5824,139.4772,132.7083,232098
2019-12-09,132.3494,134.4529,136.5762,132.1101,308199
2019-12-16,129.5979,132.5986,133.5756,129.3586,528716
2019-12-23,137.0249,130.8939,138.9589,129.5879,362558
2019-12-30,144.0531,137.0249,144.0531,137.0249,169443
2020-01-06,138.4704,144.0531,147.3728,130.0964,387368
2020-01-13,138.8193,138.4704,140.5639,137.7327,222207
2020-01-20,138.6797,138.8193,141.9595,138.5701,195081
2020-01-27,136.6062,138.7695,140.0555,135.0809,233508
2020-02-03,131.492,136.5862,137.4635,131.2926,314007
2020-02-10,131.9706,131.492,132.3992,129.6079,255634
2020-02-17,129.3586,131.9905,132.0902,129.3387,212468
2020-02-24,126.4776,129.3586,129.3586,126.0589,132823
2020-03-02,127.8035,126.5972,130.5549,126.5175,225957
2020-03-09,109.6598,119.6288,127.1056,103.6783,521481
2020-03-16,77.2603,104.6852,104.6852,60.0636,719291
2020-03-23,98.4047,74.768,102.1531,69.3947,337738
2020-03-30,89.2232,97.6969,98.6938,84.7371,328926
2020-04-06,93.6395,90.0307,94.7062,89.3029,200195
2020-04-13,95.7031,93.4999,98.4346,93.1111,285286
2020-04-20,97.6969,95.7031,101.6646,95.2046,226536
2020-04-27,97.8464,97.7467,101.6845,97.6969,90638
2020-05-04,96.4906,97.4177,99.3916,93.7093,137000
2020-05-11,93.2008,96.4906,96.4906,89.931,135327
2020-05-18,94.4868,93.46,94.6862,92.7123,108433
2020-05-25,99.2919,94.5068,100.3985,94.5068,158819
2020-06-01,107.7656,99.591,108.5632,99.591,216480
2020-06-08,110.6567,108.6629,111.8031,108.4635,180129
2020-06-15,109.6598,110.4473,110.4473,106.679,152376
2020-06-22,103.0204,109.1912,109.4105,101.5848,290861
2020-06-29,105.5525,103.1799,105.6721,101.6845,173365
2020-07-06,105.8815,105.6721,106.669,104.7749,230021
2020-07-13,103.3792,105.8217,106.4697,102.5917,168873
2020-07-20,102.6814,103.3792,104.6453,101.3854,142957
2020-07-27,102.831,102.6615,104.0572,101.6347,110862
2020-08-03,105.1238,102.8808,105.6622,98.8932,148287
2020-08-10,107.1675,105.1837,108.2242,102.4123,199052
2020-08-17,106.5694,107.1675,107.5364,105.4528,168388
2020-08-24,107.8554,106.6491,107.9152,105.5724,268905
2020-08-31,108.3438,107.8853,108.6629,107.1874,117755
2020-09-07,110.6268,108.3438,113.8468,107.8255,157810
2020-09-14,113.9764,111.1452,114.6144,110.7065,166137
2020-09-21,109.7694,114.3452,114.3452,108.7725,127978
2020-09-28,112.3913,109.7694,114.2256,108.1843,113190
2020-10-05,113.3483,112.4112,113.6275,111.3944,100562
2020-10-12,116.5982,113.3483,117.4157,113.0592,267327
2020-10-19,116.5384,116.5982,117.2263,114.6642,129465
2020-10-26,109.4704,116.5384,116.5683,105.8715,190215
2020-11-02,111.6536,109.4704,112.6006,106.669,101539
2020-11-09,113.6175,112.152,115.6312,112.152,113158
2020-11-16,112.152,113.6175,114.3153,110.3377,117309
2020-11-23,114.6144,112.2816,114.6343,112.152,102718
2020-11-30,113.2486,114.6144,115.3122,112.491,154057
2020-12-07,112.5508,113.2486,113.9265,110.8361,168914
2020-12-14,114.6343,112.5508,114.6343,110.2778,168855
2020-12-21,114.5845,113.5278,114.6044,111.7134,81687
