data,fechamento,abertura,maxima,minima,volume
2016-04-25,107.6185,107.6968,107.9906,107.2758,20401
2016-05-02,107.6381,107.501,107.6968,105.8366,10671
2016-05-09,107.364,106.943,107.6968,106.7178,12258
2016-05-16,108.4014,107.501,111.6773,107.3248,19832
2016-05-23,107.9051,109.1856,109.1856,102.7431,15632
2016-05-30,108.6496,107.8058,110.089,106.1381,6969
2016-06-06,110.6846,108.6893,111.9254,108.2029,20139
2016-06-13,111.4787,110.6846,111.4787,109.6919,18781
2016-06-20,110.9824,111.6177,111.6773,110.6846,10491
2016-06-27,111.6773,111.1809,113.1564,110.8831,8551
2016-07-04,111.6276,112.67,112.67,111.2306,18711
2016-07-11,111.6773,111.6773,111.6773,111.3,26254
2016-07-18,112.1736,111.6673,112.1736,111.4291,25498
2016-07-25,112.1736,112.1736,112.1736,111.1809,31736
2016-08-01,113.0869,111.9651,113.0869,109.8408,18804
2016-08-08,112.9678,113.0869,113.1663,111.7765,24875
2016-08-15,113.1663,112.9678,113.1663,112.5905,36039
2016-08-22,113.1564,113.1663,113.1663,112.9181,34258
2016-08-29,116.0947,113.1663,116.1444,112.1736,25904
2016-09-05,116.333,116.1444,118.6261,113.8612,12250
2016-09-12,117.1271,116.3429,118.1099,115.1517,15966
2016-09-19,119.1224,117.1271,122.0012,116.8492,18307
2016-09-26,122.1005,119.1125,122.1799,118.6261,12871
2016-10-03,121.0582,121.6141,122.1005,118.1297,16754
2016-10-10,122.0012,121.0482,124.5822,119.6287,8152
2016-10-17,123.8873,120.1846,126.9051,120.1846,13416
2016-10-24,128.1062,124.9098,129.0394,123.8873,10758
2016-10-31,125.6742,128.0467,129.0394,125.1083,7904
2016-11-07,125.5253,125.6543,127.5603,124.2943,15640
2016-11-14,126.1705,124.5425,127.0639,124.5425,10571
2016-11-21,125.8727,127.0044,128.95,125.8727,11993
2016-11-28,123.5796,126.9746,127.183,122.5968,15124
2016-12-05,121.2071,123.5399,124.3638,120.5122,9432
2016-12-12,118.8842,121.1177,121.6041,116.6506,10867
2016-12-19,122.1005,119.6585,122.1005,117.6334,10445
2016-12-26,122.1005,122.0906,122.1005,119.4302,8212
2017-01-02,122.0906,122.1005,122.6068,119.1224,6893
2017-01-09,122.7954,122.1005,124.0462,120.125,11736
2017-01-16,120.1151,123.4902,123.5895,119.6287,14138
2017-01-23,119.6188,120.1052,120.1151,117.6334,14695
2017-01-30,122.0111,119.6188,122.9939,117.1867,13250
2017-02-06,123.0932,120.6214,123.0932,120.6214,9934
2017-02-13,125.0785,123.0832,126.4981,121.6141,11257
2017-02-20,127.0044,125.565,129.0096,125.0785,9120
2017-02-27,127.0639,127.0044,128.0566,125.0785,4341
2017-03-06,126.5378,127.054,128.0566,124.0362,10679
2017-03-13,127.0639,126.4683,127.0639,124.6815,7429
2017-03-20,117.1371,126.3591,126.5676,116.055,16259
2017-03-27,118.6658,117.1371,121.2071,116.1444,7716
2017-04-03,116.1444,117.0576,119.0132,114.159,8179
2017-04-10,116.1444,116.1444,118.7055,114.6752,6894
2017-04-17,115.648,116.1344,118.0305,114.7546,14670
2017-04-24,112.2233,115.6381,115.648,112.0743,15783
2017-05-01,112.4714,112.2233,113.1663,110.1882,9457
2017-05-08,111.2306,112.6005,112.9777,111.0817,18983
2017-05-15,110.3868,111.6475,112.1736,108.6992,23473
2017-05-22,112.1736,111.6673,112.1736,110.4463,13358
2017-05-29,112.1736,112.1736,112.5707,111.1809,23958
