data,vp_cota,patrimonio_liquido,n_cotas,caixa_liquido,fonte_doc_id
2017-03,104.0175,176257878.49,1694502.0,4951379.2,11747
2017-06,102.19,173161152.58,1694502.0,7126399.4,14901
2017-09,104.7283,234779848.46,2241799.0,11760312.33,17935
2017-12,103.9879,233119958.73,2241799.0,7908451.85,21191
2018-03,104.1799,233550300.48,2241799.0,1041732.98,25257
2018-06,99.1748,222329855.46,2241799.0,1562199.11,29179
2018-09,100.1752,224572681.42,2241799.0,3062256.03,33667
2018-12,101.6674,227917848.27,2241799.0,8814769.95,39412
2019-03,101.235,226948545.46,2241799.0,14197540.98,46190
2019-06,102.7569,230360399.56,2241799.0,10691971.93,53823
2019-09,107.2633,520279723.96,4850490.0,162706720.32,61929
2019-12,107.0414,519203148.53,4850490.0,45849099.99,76389
2020-03,103.484,501948240.39,4850490.0,32951981.21,91042
2020-06,105.1153,509860720.64,4850490.0,7868025.76,106842
2020-09,102.048,1020479932.4,10000000.0,487858678.98,121932
2020-12,103.5812,1035812344.35,10000000.0,358574016.24,140466
2021-03,100.2329,1002329166.68,10000000.0,331526300.46,165136
2021-06,100.3482,1003482292.8,10000000.0,61254004.83,195313
2021-09,97.9552,979552050.24,10000000.0,56341643.59,226026
2021-12,97.0325,1057669059.51,10900157.0,20340140.87,256574
2022-03,97.2118,1254344529.49,12903214.0,86605833.29,290190
2022-06,95.494,1255993323.47,13152584.0,24357894.25,326281
2022-09,93.7215,1232679447.58,13152584.0,28076794.07,363993
2022-12,91.1705,1421569816.78,15592424.0,87742180.47,402496
2023-03,92.2308,1438101963.07,15592424.0,57851337.43,445610
2023-06,93.6847,1460771267.12,15592424.0,31096569.37,491970
2023-09,92.6735,1445003818.34,15592424.0,60376936.73,536890
2023-12,94.0964,1467190277.61,15592424.0,55001541.56,584792
2024-03,103.3347,1611238186.08,15592424.0,93046854.23,637434
2024-06,90.9051,1417430320.44,15592424.0,15584732.09,698612
2024-09,90.6708,1413777341.89,15592424.0,34468857.03,758970
2024-12,86.775,1353033113.1,15592424.0,29567641.82,820733
2025-03,87.302,1361249999.99,15592424.0,28330665.22,880646
2025-06,84.5477,1318304009.55,15592424.0,39532830.7,946516
2025-09,83.9597,1309134575.31,15592424.0,46096802.78,1014618
2025-12,84.3288,1314889906.26,15592424.0,71596676.73,1083722
2026-03,84.4407,1316635896.64,15592424.0,13319753.26,1162387
